train_id,stop_order,station_id,arrival,departure
ASHIZURI_N_1,1,KOCHI,,06:00
ASHIZURI_N_1,2,SUSAKI,06:35,06:36
ASHIZURI_N_1,3,KUBOKAWA,07:10,07:11
ASHIZURI_N_1,4,NAKAMURA,07:40,
ASHIZURI_N_3,1,KOCHI,,07:00
ASHIZURI_N_3,2,SUSAKI,07:35,07:36
ASHIZURI_N_3,3,KUBOKAWA,08:10,08:11
ASHIZURI_N_3,4,NAKAMURA,08:40,
ASHIZURI_N_5,1,KOCHI,,08:00
ASHIZURI_N_5,2,SUSAKI,08:35,08:36
ASHIZURI_N_5,3,KUBOKAWA,09:10,09:11
ASHIZURI_N_5,4,NAKAMURA,09:40,
ASHIZURI_N_7,1,KOCHI,,10:00
ASHIZURI_N_7,2,SUSAKI,10:35,10:36
ASHIZURI_N_7,3,KUBOKAWA,11:10,11:11
ASHIZURI_N_7,4,NAKAMURA,11:40,
ASHIZURI_N_9,1,KOCHI,,12:00
ASHIZURI_N_9,2,SUSAKI,12:35,12:36
ASHIZURI_N_9,3,KUBOKAWA,13:10,13:11
ASHIZURI_N_9,4,NAKAMURA,13:40,
ASHIZURI_N_11,1,KOCHI,,14:00
ASHIZURI_N_11,2,SUSAKI,14:35,14:36
ASHIZURI_N_11,3,KUBOKAWA,15:10,15:11
ASHIZURI_N_11,4,NAKAMURA,15:40,
ASHIZURI_N_13,1,KOCHI,,18:00
ASHIZURI_N_13,2,SUSAKI,18:35,18:36
ASHIZURI_N_13,3,KUBOKAWA,19:10,19:11
ASHIZURI_N_13,4,NAKAMURA,19:40,
ASHIZURI_N_2,1,NAKAMURA,,07:30
ASHIZURI_N_2,2,KUBOKAWA,07:59,08:00
ASHIZURI_N_2,3,SUSAKI,08:34,08:35
ASHIZURI_N_2,4,KOCHI,09:10,
ASHIZURI_N_4,1,NAKAMURA,,08:30
ASHIZURI_N_4,2,KUBOKAWA,08:59,09:00
ASHIZURI_N_4,3,SUSAKI,09:34,09:35
ASHIZURI_N_4,4,KOCHI,10:10,
ASHIZURI_N_6,1,NAKAMURA,,09:30
ASHIZURI_N_6,2,KUBOKAWA,09:59,10:00
ASHIZURI_N_6,3,SUSAKI,10:34,10:35
ASHIZURI_N_6,4,KOCHI,11:10,
ASHIZURI_N_8,1,NAKAMURA,,11:30
ASHIZURI_N_8,2,KUBOKAWA,11:59,12:00
ASHIZURI_N_8,3,SUSAKI,12:34,12:35
ASHIZURI_N_8,4,KOCHI,13:10,
ASHIZURI_N_10,1,NAKAMURA,,13:30
ASHIZURI_N_10,2,KUBOKAWA,13:59,14:00
ASHIZURI_N_10,3,SUSAKI,14:34,14:35
ASHIZURI_N_10,4,KOCHI,15:10,
ASHIZURI_N_12,1,NAKAMURA,,15:30
ASHIZURI_N_12,2,KUBOKAWA,15:59,16:00
ASHIZURI_N_12,3,SUSAKI,16:34,16:35
ASHIZURI_N_12,4,KOCHI,17:10,
ASHIZURI_N_14,1,NAKAMURA,,19:30
ASHIZURI_N_14,2,KUBOKAWA,19:59,20:00
ASHIZURI_N_14,3,SUSAKI,20:34,20:35
ASHIZURI_N_14,4,KOCHI,21:10,
ASHIZURI_S_1,1,KOCHI,,09:00
ASHIZURI_S_1,2,SUSAKI,09:35,09:36
ASHIZURI_S_1,3,KUBOKAWA,10:10,10:11
ASHIZURI_S_1,4,NAKAMURA,10:40,10:42
ASHIZURI_S_1,5,SUKUMO,11:10,
ASHIZURI_S_3,1,KOCHI,,16:00
ASHIZURI_S_3,2,SUSAKI,16:35,16:36
ASHIZURI_S_3,3,KUBOKAWA,17:10,17:11
ASHIZURI_S_3,4,NAKAMURA,17:40,17:42
ASHIZURI_S_3,5,SUKUMO,18:10,
ASHIZURI_S_2,1,SUKUMO,,08:30
ASHIZURI_S_2,2,NAKAMURA,08:58,09:00
ASHIZURI_S_2,3,KUBOKAWA,09:29,09:30
ASHIZURI_S_2,4,SUSAKI,10:04,10:05
ASHIZURI_S_2,5,KOCHI,10:40,
ASHIZURI_S_4,1,SUKUMO,,17:30
ASHIZURI_S_4,2,NAKAMURA,17:58,18:00
ASHIZURI_S_4,3,KUBOKAWA,18:29,18:30
ASHIZURI_S_4,4,SUSAKI,19:04,19:05
ASHIZURI_S_4,5,KOCHI,19:40,
