train_id,stop_order,station_id,arrival,departure
ASOBOY_B_1,1,BEPPU,,08:48
ASOBOY_B_1,2,OITA,09:03,09:06
ASOBOY_B_1,3,ASO,11:48,
ASOBOY_B_2,1,ASO,,14:00
ASOBOY_B_2,2,OITA,16:42,16:45
ASOBOY_B_2,3,BEPPU,17:00,
ASOBOY_K_3,1,KUMAMOTO,,08:32
ASOBOY_K_3,2,ASO,10:42,10:43
ASOBOY_K_3,3,MIYAJI,10:52,
ASOBOY_K_5,1,KUMAMOTO,,14:30
ASOBOY_K_5,2,ASO,16:40,16:41
ASOBOY_K_5,3,MIYAJI,16:50,
ASOBOY_K_4,1,MIYAJI,,11:30
ASOBOY_K_4,2,ASO,11:39,11:40
ASOBOY_K_4,3,KUMAMOTO,13:50,
ASOBOY_K_6,1,MIYAJI,,17:30
ASOBOY_K_6,2,ASO,17:39,17:40
ASOBOY_K_6,3,KUMAMOTO,19:50,
