train_id,stop_order,station_id,arrival,departure
AZUSA_1,1,SHINJUKU,,06:30
AZUSA_1,2,HACHIOJI,07:02,07:03
AZUSA_1,3,OTSUKI,07:34,07:35
AZUSA_1,4,KOFU,07:55,07:57
AZUSA_1,5,KOBUCHIZAWA,08:18,08:19
AZUSA_1,6,CHINO,08:33,08:34
AZUSA_1,7,KAMISUWA,08:41,08:42
AZUSA_1,8,SHIOJIRI,09:00,09:01
AZUSA_1,9,MATSUMOTO,09:15,
AZUSA_3,1,SHINJUKU,,08:00
AZUSA_3,2,HACHIOJI,08:32,08:33
AZUSA_3,3,OTSUKI,09:04,09:05
AZUSA_3,4,KOFU,09:25,09:27
AZUSA_3,5,KOBUCHIZAWA,09:48,09:49
AZUSA_3,6,CHINO,10:03,10:04
AZUSA_3,7,KAMISUWA,10:11,10:12
AZUSA_3,8,SHIOJIRI,10:30,10:31
AZUSA_3,9,MATSUMOTO,10:45,
AZUSA_5,1,SHINJUKU,,09:00
AZUSA_5,2,HACHIOJI,09:32,09:33
AZUSA_5,3,OTSUKI,10:04,10:05
AZUSA_5,4,KOFU,10:25,10:27
AZUSA_5,5,KOBUCHIZAWA,10:48,10:49
AZUSA_5,6,CHINO,11:03,11:04
AZUSA_5,7,KAMISUWA,11:11,11:12
AZUSA_5,8,SHIOJIRI,11:30,11:31
AZUSA_5,9,MATSUMOTO,11:45,
AZUSA_7,1,SHINJUKU,,10:00
AZUSA_7,2,HACHIOJI,10:32,10:33
AZUSA_7,3,OTSUKI,11:04,11:05
AZUSA_7,4,KOFU,11:25,11:27
AZUSA_7,5,KOBUCHIZAWA,11:48,11:49
AZUSA_7,6,CHINO,12:03,12:04
AZUSA_7,7,KAMISUWA,12:11,12:12
AZUSA_7,8,SHIOJIRI,12:30,12:31
AZUSA_7,9,MATSUMOTO,12:45,
AZUSA_9,1,SHINJUKU,,11:00
AZUSA_9,2,HACHIOJI,11:32,11:33
AZUSA_9,3,OTSUKI,12:04,12:05
AZUSA_9,4,KOFU,12:25,12:27
AZUSA_9,5,KOBUCHIZAWA,12:48,12:49
AZUSA_9,6,CHINO,13:03,13:04
AZUSA_9,7,KAMISUWA,13:11,13:12
AZUSA_9,8,SHIOJIRI,13:30,13:31
AZUSA_9,9,MATSUMOTO,13:45,
AZUSA_11,1,SHINJUKU,,12:00
AZUSA_11,2,HACHIOJI,12:32,12:33
AZUSA_11,3,OTSUKI,13:04,13:05
AZUSA_11,4,KOFU,13:25,13:27
AZUSA_11,5,KOBUCHIZAWA,13:48,13:49
AZUSA_11,6,CHINO,14:03,14:04
AZUSA_11,7,KAMISUWA,14:11,14:12
AZUSA_11,8,SHIOJIRI,14:30,14:31
