train_id,name,direction
AZUSA_1,あずさ1,down
AZUSA_3,あずさ3,down
AZUSA_5,あずさ5,down
AZUSA_7,あずさ7,down
AZUSA_9,あずさ9,down
AZUSA_11,あずさ11,down
AZUSA_13,あずさ13,down
AZUSA_15,あずさ15,down
AZUSA_17,あずさ17,down
AZUSA_19,あずさ19,down
AZUSA_21,あずさ21,down
AZUSA_23,あずさ23,down
AZUSA_25,あずさ25,down
AZUSA_27,あずさ27,down
AZUSA_29,あずさ29,down
AZUSA_2,あずさ2,up
AZUSA_4,あずさ4,up
AZUSA_6,あずさ6,up
AZUSA_8,あずさ8,up
AZUSA_10,あずさ10,up
AZUSA_12,あずさ12,up
AZUSA_14,あずさ14,up
AZUSA_16,あずさ16,up
AZUSA_18,あずさ18,up
AZUSA_20,あずさ20,up
AZUSA_22,あずさ22,up
AZUSA_24,あずさ24,up
AZUSA_26,あずさ26,up
AZUSA_28,あずさ28,up
AZUSA_30,あずさ30,up
KAIJI_1,かいじ1,down
KAIJI_3,かいじ3,down
KAIJI_5,かいじ5,down
KAIJI_7,かいじ7,down
KAIJI_9,かいじ9,down
KAIJI_11,かいじ11,down
KAIJI_13,かいじ13,down
KAIJI_15,かいじ15,down
KAIJI_17,かいじ17,down
KAIJI_19,かいじ19,down
KAIJI_21,かいじ21,down
KAIJI_23,かいじ23,down
KAIJI_25,かいじ25,down
KAIJI_27,かいじ27,down
KAIJI_29,かいじ29,down
KAIJI_31,かいじ31,down
KAIJI_33,かいじ33,down
KAIJI_2,かいじ2,up
KAIJI_4,かいじ4,up
KAIJI_6,かいじ6,up
KAIJI_8,かいじ8,up
KAIJI_10,かいじ10,up
KAIJI_12,かいじ12,up
KAIJI_14,かいじ14,up
KAIJI_16,かいじ16,up
KAIJI_18,かいじ18,up
KAIJI_20,かいじ20,up
KAIJI_22,かいじ22,up
KAIJI_24,かいじ24,up
KAIJI_26,かいじ26,up
KAIJI_28,かいじ28,up
KAIJI_30,かいじ30,up
KAIJI_32,かいじ32,up
