train_id,stop_order,station_id,arrival,departure
AZUSA_1,1,SHINJUKU,,07:00
AZUSA_1,2,HACHIOJI,07:20,07:21
AZUSA_1,3,OTSUKI,07:50,07:51
AZUSA_1,4,KOFU,08:30,08:32
AZUSA_1,5,KOBUCHIZAWA,09:00,09:01
AZUSA_1,6,CHINO,09:18,09:19
AZUSA_1,7,KAMISUWA,09:26,09:27
AZUSA_1,8,SHIOJIRI,09:40,09:41
AZUSA_1,9,MATSUMOTO,09:50,
AZUSA_3,1,SHINJUKU,,08:00
AZUSA_3,2,HACHIOJI,08:20,08:21
AZUSA_3,3,OTSUKI,08:50,08:51
AZUSA_3,4,KOFU,09:30,09:32
AZUSA_3,5,KOBUCHIZAWA,10:00,10:01
AZUSA_3,6,CHINO,10:18,10:19
AZUSA_3,7,KAMISUWA,10:26,10:27
AZUSA_3,8,SHIOJIRI,10:40,10:41
AZUSA_3,9,MATSUMOTO,10:50,
AZUSA_5,1,SHINJUKU,,09:00
AZUSA_5,2,HACHIOJI,09:20,09:21
AZUSA_5,3,OTSUKI,09:50,09:51
AZUSA_5,4,KOFU,10:30,10:32
AZUSA_5,5,KOBUCHIZAWA,11:00,11:01
AZUSA_5,6,CHINO,11:18,11:19
AZUSA_5,7,KAMISUWA,11:26,11:27
AZUSA_5,8,SHIOJIRI,11:40,11:41
AZUSA_5,9,MATSUMOTO,11:50,
AZUSA_7,1,SHINJUKU,,10:00
AZUSA_7,2,HACHIOJI,10:20,10:21
AZUSA_7,3,OTSUKI,10:50,10:51
AZUSA_7,4,KOFU,11:30,11:32
AZUSA_7,5,KOBUCHIZAWA,12:00,12:01
AZUSA_7,6,CHINO,12:18,12:19
AZUSA_7,7,KAMISUWA,12:26,12:27
AZUSA_7,8,SHIOJIRI,12:40,12:41
AZUSA_7,9,MATSUMOTO,12:50,
AZUSA_9,1,SHINJUKU,,11:00
AZUSA_9,2,HACHIOJI,11:20,11:21
AZUSA_9,3,OTSUKI,11:50,11:51
AZUSA_9,4,KOFU,12:30,12:32
AZUSA_9,5,KOBUCHIZAWA,13:00,13:01
AZUSA_9,6,CHINO,13:18,13:19
AZUSA_9,7,KAMISUWA,13:26,13:27
AZUSA_9,8,SHIOJIRI,13:40,13:41
AZUSA_9,9,MATSUMOTO,13:50,
AZUSA_11,1,SHINJUKU,,12:00
AZUSA_11,2,HACHIOJI,12:20,12:21
AZUSA_11,3,OTSUKI,12:50,12:51
AZUSA_11,4,KOFU,13:30,13:32
AZUSA_11,5,KOBUCHIZAWA,14:00,14:01
AZUSA_11,6,CHINO,14:18,14:19
AZUSA_11,7,KAMISUWA,14:26,14:27
AZUSA_11,8,SHIOJIRI,14:40,14:41
AZUSA_11,9,MATSUMOTO,14:50,
AZUSA_13,1,SHINJUKU,,13:00
AZUSA_13,2,HACHIOJI,13:20,13:21
AZUSA_13,3,OTSUKI,13:50,13:51
AZUSA_13,4,KOFU,14:30,14:32
AZUSA_13,5,KOBUCHIZAWA,15:00,15:01
AZUSA_13,6,CHINO,15:18,15:19
AZUSA_13,7,KAMISUWA,15:26,15:27
AZUSA_13,8,SHIOJIRI,15:40,15:41
AZUSA_13,9,MATSUMOTO,15:50,
AZUSA_15,1,SHINJUKU,,14:00
AZUSA_15,2,HACHIOJI,14:20,14:21
AZUSA_15,3,OTSUKI,14:50,14:51
AZUSA_15,4,KOFU,15:30,15:32
AZUSA_15,5,KOBUCHIZAWA,16:00,16:01
AZUSA_15,6,CHINO,16:18,16:19
AZUSA_15,7,KAMISUWA,16:26,16:27
AZUSA_15,8,SHIOJIRI,16:40,16:41
AZUSA_15,9,MATSUMOTO,16:50,
AZUSA_17,1,SHINJUKU,,15:00
AZUSA_17,2,HACHIOJI,15:20,15:21
AZUSA_17,3,OTSUKI,15:50,15:51
AZUSA_17,4,KOFU,16:30,16:32
AZUSA_17,5,KOBUCHIZAWA,17:00,17:01
AZUSA_17,6,CHINO,17:18,17:19
AZUSA_17,7,KAMISUWA,17:26,17:27
AZUSA_17,8,SHIOJIRI,17:40,17:41
AZUSA_17,9,MATSUMOTO,17:50,
AZUSA_19,1,SHINJUKU,,16:00
AZUSA_19,2,HACHIOJI,16:20,16:21
AZUSA_19,3,OTSUKI,16:50,16:51
AZUSA_19,4,KOFU,17:30,17:32
AZUSA_19,5,KOBUCHIZAWA,18:00,18:01
AZUSA_19,6,CHINO,18:18,18:19
AZUSA_19,7,KAMISUWA,18:26,18:27
AZUSA_19,8,SHIOJIRI,18:40,18:41
AZUSA_19,9,MATSUMOTO,18:50,
AZUSA_21,1,SHINJUKU,,17:00
AZUSA_21,2,HACHIOJI,17:20,17:21
AZUSA_21,3,OTSUKI,17:50,17:51
AZUSA_21,4,KOFU,18:30,18:32
AZUSA_21,5,KOBUCHIZAWA,19:00,19:01
AZUSA_21,6,CHINO,19:18,19:19
AZUSA_21,7,KAMISUWA,19:26,19:27
AZUSA_21,8,SHIOJIRI,19:40,19:41
AZUSA_21,9,MATSUMOTO,19:50,
AZUSA_23,1,SHINJUKU,,18:00
AZUSA_23,2,HACHIOJI,18:20,18:21
AZUSA_23,3,OTSUKI,18:50,18:51
AZUSA_23,4,KOFU,19:30,19:32
AZUSA_23,5,KOBUCHIZAWA,20:00,20:01
AZUSA_23,6,CHINO,20:18,20:19
AZUSA_23,7,KAMISUWA,20:26,20:27
AZUSA_23,8,SHIOJIRI,20:40,20:41
AZUSA_23,9,MATSUMOTO,20:50,
AZUSA_25,1,SHINJUKU,,19:00
AZUSA_25,2,HACHIOJI,19:20,19:21
AZUSA_25,3,OTSUKI,19:50,19:51
AZUSA_25,4,KOFU,20:30,20:32
AZUSA_25,5,KOBUCHIZAWA,21:00,21:01
AZUSA_25,6,CHINO,21:18,21:19
AZUSA_25,7,KAMISUWA,21:26,21:27
AZUSA_25,8,SHIOJIRI,21:40,21:41
AZUSA_25,9,MATSUMOTO,21:50,
KAIJI_27,1,SHINJUKU,,08:30
KAIJI_27,2,HACHIOJI,08:55,08:56
KAIJI_27,3,OTSUKI,09:30,09:31
KAIJI_27,4,KOFU,10:10,
KAIJI_29,1,SHINJUKU,,10:00
KAIJI_29,2,HACHIOJI,10:25,10:26
KAIJI_29,3,OTSUKI,11:00,11:01
KAIJI_29,4,KOFU,11:40,
KAIJI_31,1,SHINJUKU,,11:30
KAIJI_31,2,HACHIOJI,11:55,11:56
KAIJI_31,3,OTSUKI,12:30,12:31
KAIJI_31,4,KOFU,13:10,
KAIJI_33,1,SHINJUKU,,13:00
KAIJI_33,2,HACHIOJI,13:25,13:26
KAIJI_33,3,OTSUKI,14:00,14:01
KAIJI_33,4,KOFU,14:40,
KAIJI_35,1,SHINJUKU,,14:30
KAIJI_35,2,HACHIOJI,14:55,14:56
KAIJI_35,3,OTSUKI,15:30,15:31
KAIJI_35,4,KOFU,16:10,
KAIJI_37,1,SHINJUKU,,16:00
KAIJI_37,2,HACHIOJI,16:25,16:26
KAIJI_37,3,OTSUKI,17:00,17:01
KAIJI_37,4,KOFU,17:40,
KAIJI_39,1,SHINJUKU,,17:30
KAIJI_39,2,HACHIOJI,17:55,17:56
KAIJI_39,3,OTSUKI,18:30,18:31
KAIJI_39,4,KOFU,19:10,
KAIJI_41,1,SHINJUKU,,19:30
KAIJI_41,2,HACHIOJI,19:55,19:56
KAIJI_41,3,OTSUKI,20:30,20:31
KAIJI_41,4,KOFU,21:10,
AZUSA_2,1,MATSUMOTO,,06:00
AZUSA_2,2,SHIOJIRI,06:09,06:10
AZUSA_2,3,KAMISUWA,06:24,06:25
AZUSA_2,4,CHINO,06:32,06:33
AZUSA_2,5,KOBUCHIZAWA,06:50,06:51
AZUSA_2,6,KOFU,07:20,07:22
AZUSA_2,7,OTSUKI,08:00,08:01
AZUSA_2,8,HACHIOJI,08:30,08:31
AZUSA_2,9,SHINJUKU,08:50,
