train_id,stop_order,station_id,arrival,departure
FUJIKAWA_1,1,SHIZUOKA,,06:00
FUJIKAWA_1,2,FUJI,06:20,06:21
FUJIKAWA_1,3,FUJINOMIYA,06:35,06:36
FUJIKAWA_1,4,MINOBU,07:25,07:26
FUJIKAWA_1,5,KAJIKAZAWAGUCHI,07:50,07:51
FUJIKAWA_1,6,KOFU,08:10,
FUJIKAWA_3,1,SHIZUOKA,,08:00
FUJIKAWA_3,2,FUJI,08:20,08:21
FUJIKAWA_3,3,FUJINOMIYA,08:35,08:36
FUJIKAWA_3,4,MINOBU,09:25,09:26
FUJIKAWA_3,5,KAJIKAZAWAGUCHI,09:50,09:51
FUJIKAWA_3,6,KOFU,10:10,
FUJIKAWA_5,1,SHIZUOKA,,10:00
FUJIKAWA_5,2,FUJI,10:20,10:21
FUJIKAWA_5,3,FUJINOMIYA,10:35,10:36
FUJIKAWA_5,4,MINOBU,11:25,11:26
FUJIKAWA_5,5,KAJIKAZAWAGUCHI,11:50,11:51
FUJIKAWA_5,6,KOFU,12:10,
FUJIKAWA_7,1,SHIZUOKA,,12:00
FUJIKAWA_7,2,FUJI,12:20,12:21
FUJIKAWA_7,3,FUJINOMIYA,12:35,12:36
FUJIKAWA_7,4,MINOBU,13:25,13:26
FUJIKAWA_7,5,KAJIKAZAWAGUCHI,13:50,13:51
FUJIKAWA_7,6,KOFU,14:10,
FUJIKAWA_9,1,SHIZUOKA,,14:00
FUJIKAWA_9,2,FUJI,14:20,14:21
FUJIKAWA_9,3,FUJINOMIYA,14:35,14:36
FUJIKAWA_9,4,MINOBU,15:25,15:26
FUJIKAWA_9,5,KAJIKAZAWAGUCHI,15:50,15:51
FUJIKAWA_9,6,KOFU,16:10,
FUJIKAWA_11,1,SHIZUOKA,,16:00
FUJIKAWA_11,2,FUJI,16:20,16:21
FUJIKAWA_11,3,FUJINOMIYA,16:35,16:36
FUJIKAWA_11,4,MINOBU,17:25,17:26
FUJIKAWA_11,5,KAJIKAZAWAGUCHI,17:50,17:51
FUJIKAWA_11,6,KOFU,18:10,
FUJIKAWA_13,1,SHIZUOKA,,18:00
FUJIKAWA_13,2,FUJI,18:20,18:21
FUJIKAWA_13,3,FUJINOMIYA,18:35,18:36
FUJIKAWA_13,4,MINOBU,19:25,19:26
FUJIKAWA_13,5,KAJIKAZAWAGUCHI,19:50,19:51
FUJIKAWA_13,6,KOFU,20:10,
FUJIKAWA_2,1,KOFU,,07:00
FUJIKAWA_2,2,KAJIKAZAWAGUCHI,07:19,07:20
FUJIKAWA_2,3,MINOBU,07:44,07:45
FUJIKAWA_2,4,FUJINOMIYA,08:34,08:35
FUJIKAWA_2,5,FUJI,08:49,08:50
FUJIKAWA_2,6,SHIZUOKA,09:10,
FUJIKAWA_4,1,KOFU,,09:00
FUJIKAWA_4,2,KAJIKAZAWAGUCHI,09:19,09:20
FUJIKAWA_4,3,MINOBU,09:44,09:45
FUJIKAWA_4,4,FUJINOMIYA,10:34,10:35
FUJIKAWA_4,5,FUJI,10:49,10:50
FUJIKAWA_4,6,SHIZUOKA,11:10,
FUJIKAWA_6,1,KOFU,,11:00
FUJIKAWA_6,2,KAJIKAZAWAGUCHI,11:19,11:20
FUJIKAWA_6,3,MINOBU,11:44,11:45
FUJIKAWA_6,4,FUJINOMIYA,12:34,12:35
FUJIKAWA_6,5,FUJI,12:49,12:50
FUJIKAWA_6,6,SHIZUOKA,13:10,
FUJIKAWA_8,1,KOFU,,13:00
FUJIKAWA_8,2,KAJIKAZAWAGUCHI,13:19,13:20
FUJIKAWA_8,3,MINOBU,13:44,13:45
FUJIKAWA_8,4,FUJINOMIYA,14:34,14:35
FUJIKAWA_8,5,FUJI,14:49,14:50
FUJIKAWA_8,6,SHIZUOKA,15:10,
FUJIKAWA_10,1,KOFU,,15:00
FUJIKAWA_10,2,KAJIKAZAWAGUCHI,15:19,15:20
FUJIKAWA_10,3,MINOBU,15:44,15:45
FUJIKAWA_10,4,FUJINOMIYA,16:34,16:35
FUJIKAWA_10,5,FUJI,16:49,16:50
FUJIKAWA_10,6,SHIZUOKA,17:10,
FUJIKAWA_12,1,KOFU,,17:00
FUJIKAWA_12,2,KAJIKAZAWAGUCHI,17:19,17:20
FUJIKAWA_12,3,MINOBU,17:44,17:45
FUJIKAWA_12,4,FUJINOMIYA,18:34,18:35
FUJIKAWA_12,5,FUJI,18:49,18:50
FUJIKAWA_12,6,SHIZUOKA,19:10,
FUJIKAWA_14,1,KOFU,,19:00
FUJIKAWA_14,2,KAJIKAZAWAGUCHI,19:19,19:20
FUJIKAWA_14,3,MINOBU,19:44,19:45
FUJIKAWA_14,4,FUJINOMIYA,20:34,20:35
FUJIKAWA_14,5,FUJI,20:49,20:50
FUJIKAWA_14,6,SHIZUOKA,21:10,
