train_id,stop_order,station_id,arrival,departure
FJ_1,1,SHIZUOKA,,07:00
FJ_1,2,FUJI,07:20,07:22
FJ_1,3,FUJINOMIYA,07:30,07:31
FJ_1,4,MINOBU,08:20,08:21
FJ_1,5,KAJIKAZAWAGUCHI,08:50,08:51
FJ_1,6,KOFU,09:10,
FJ_3,1,SHIZUOKA,,09:00
FJ_3,2,FUJI,09:20,09:22
FJ_3,3,FUJINOMIYA,09:30,09:31
FJ_3,4,MINOBU,10:20,10:21
FJ_3,5,KAJIKAZAWAGUCHI,10:50,10:51
FJ_3,6,KOFU,11:10,
FJ_5,1,SHIZUOKA,,11:00
FJ_5,2,FUJI,11:20,11:22
FJ_5,3,FUJINOMIYA,11:30,11:31
FJ_5,4,MINOBU,12:20,12:21
FJ_5,5,KAJIKAZAWAGUCHI,12:50,12:51
FJ_5,6,KOFU,13:10,
FJ_7,1,SHIZUOKA,,13:00
FJ_7,2,FUJI,13:20,13:22
FJ_7,3,FUJINOMIYA,13:30,13:31
FJ_7,4,MINOBU,14:20,14:21
FJ_7,5,KAJIKAZAWAGUCHI,14:50,14:51
FJ_7,6,KOFU,15:10,
FJ_9,1,SHIZUOKA,,15:00
FJ_9,2,FUJI,15:20,15:22
FJ_9,3,FUJINOMIYA,15:30,15:31
FJ_9,4,MINOBU,16:20,16:21
FJ_9,5,KAJIKAZAWAGUCHI,16:50,16:51
FJ_9,6,KOFU,17:10,
FJ_11,1,SHIZUOKA,,17:00
FJ_11,2,FUJI,17:20,17:22
FJ_11,3,FUJINOMIYA,17:30,17:31
FJ_11,4,MINOBU,18:20,18:21
FJ_11,5,KAJIKAZAWAGUCHI,18:50,18:51
FJ_11,6,KOFU,19:10,
FJ_13,1,SHIZUOKA,,19:00
FJ_13,2,FUJI,19:20,19:22
FJ_13,3,FUJINOMIYA,19:30,19:31
FJ_13,4,MINOBU,20:20,20:21
FJ_13,5,KAJIKAZAWAGUCHI,20:50,20:51
FJ_13,6,KOFU,21:10,
FJ_2,1,KOFU,,07:00
FJ_2,2,KAJIKAZAWAGUCHI,07:19,07:20
FJ_2,3,MINOBU,07:49,07:50
FJ_2,4,FUJINOMIYA,08:39,08:40
FJ_2,5,FUJI,08:48,08:50
FJ_2,6,SHIZUOKA,09:10,
FJ_4,1,KOFU,,09:00
FJ_4,2,KAJIKAZAWAGUCHI,09:19,09:20
FJ_4,3,MINOBU,09:49,09:50
FJ_4,4,FUJINOMIYA,10:39,10:40
FJ_4,5,FUJI,10:48,10:50
FJ_4,6,SHIZUOKA,11:10,
FJ_6,1,KOFU,,11:00
FJ_6,2,KAJIKAZAWAGUCHI,11:19,11:20
FJ_6,3,MINOBU,11:49,11:50
FJ_6,4,FUJINOMIYA,12:39,12:40
FJ_6,5,FUJI,12:48,12:50
FJ_6,6,SHIZUOKA,13:10,
FJ_8,1,KOFU,,13:00
FJ_8,2,KAJIKAZAWAGUCHI,13:19,13:20
FJ_8,3,MINOBU,13:49,13:50
FJ_8,4,FUJINOMIYA,14:39,14:40
FJ_8,5,FUJI,14:48,14:50
FJ_8,6,SHIZUOKA,15:10,
FJ_10,1,KOFU,,15:00
FJ_10,2,KAJIKAZAWAGUCHI,15:19,15:20
FJ_10,3,MINOBU,15:49,15:50
FJ_10,4,FUJINOMIYA,16:39,16:40
FJ_10,5,FUJI,16:48,16:50
FJ_10,6,SHIZUOKA,17:10,
FJ_12,1,KOFU,,17:00
FJ_12,2,KAJIKAZAWAGUCHI,17:19,17:20
FJ_12,3,MINOBU,17:49,17:50
FJ_12,4,FUJINOMIYA,18:39,18:40
FJ_12,5,FUJI,18:48,18:50
FJ_12,6,SHIZUOKA,19:10,
FJ_14,1,KOFU,,19:00
FJ_14,2,KAJIKAZAWAGUCHI,19:19,19:20
FJ_14,3,MINOBU,19:49,19:50
FJ_14,4,FUJINOMIYA,20:39,20:40
FJ_14,5,FUJI,20:48,20:50
FJ_14,6,SHIZUOKA,21:10,
