train_id,stop_order,station_id,arrival,departure
HARUKA_1,1,KYOTO,,06:30
HARUKA_1,2,SHIN_OSAKA,07:01,07:02
HARUKA_1,3,TENNOJI,07:19,07:20
HARUKA_1,4,HINENO,07:40,07:41
HARUKA_1,5,KANSAI_AIRPORT,07:50,
HARUKA_3,1,KYOTO,,07:00
HARUKA_3,2,SHIN_OSAKA,07:31,07:32
HARUKA_3,3,TENNOJI,07:49,07:50
HARUKA_3,4,HINENO,08:10,08:11
HARUKA_3,5,KANSAI_AIRPORT,08:20,
HARUKA_5,1,KYOTO,,07:30
HARUKA_5,2,SHIN_OSAKA,08:01,08:02
HARUKA_5,3,TENNOJI,08:19,08:20
HARUKA_5,4,HINENO,08:40,08:41
HARUKA_5,5,KANSAI_AIRPORT,08:50,
HARUKA_7,1,KYOTO,,08:00
HARUKA_7,2,SHIN_OSAKA,08:31,08:32
HARUKA_7,3,TENNOJI,08:49,08:50
HARUKA_7,4,HINENO,09:10,09:11
HARUKA_7,5,KANSAI_AIRPORT,09:20,
HARUKA_9,1,KYOTO,,08:30
HARUKA_9,2,SHIN_OSAKA,09:01,09:02
HARUKA_9,3,TENNOJI,09:19,09:20
HARUKA_9,4,HINENO,09:40,09:41
HARUKA_9,5,KANSAI_AIRPORT,09:50,
HARUKA_11,1,KYOTO,,09:00
HARUKA_11,2,SHIN_OSAKA,09:31,09:32
HARUKA_11,3,TENNOJI,09:49,09:50
HARUKA_11,4,HINENO,10:10,10:11
HARUKA_11,5,KANSAI_AIRPORT,10:20,
HARUKA_13,1,KYOTO,,09:30
HARUKA_13,2,SHIN_OSAKA,10:01,10:02
HARUKA_13,3,TENNOJI,10:19,10:20
HARUKA_13,4,HINENO,10:40,10:41
HARUKA_13,5,KANSAI_AIRPORT,10:50,
HARUKA_15,1,KYOTO,,10:00
HARUKA_15,2,SHIN_OSAKA,10:31,10:32
HARUKA_15,3,TENNOJI,10:49,10:50
HARUKA_15,4,HINENO,11:10,11:11
HARUKA_15,5,KANSAI_AIRPORT,11:20,
HARUKA_17,1,KYOTO,,10:30
HARUKA_17,2,SHIN_OSAKA,11:01,11:02
HARUKA_17,3,TENNOJI,11:19,11:20
HARUKA_17,4,HINENO,11:40,11:41
HARUKA_17,5,KANSAI_AIRPORT,11:50,
HARUKA_19,1,KYOTO,,11:00
HARUKA_19,2,SHIN_OSAKA,11:31,11:32
HARUKA_19,3,TENNOJI,11:49,11:50
HARUKA_19,4,HINENO,12:10,12:11
HARUKA_19,5,KANSAI_AIRPORT,12:20,
HARUKA_21,1,KYOTO,,11:30
HARUKA_21,2,SHIN_OSAKA,12:01,12:02
HARUKA_21,3,TENNOJI,12:19,12:20
HARUKA_21,4,HINENO,12:40,12:41
HARUKA_21,5,KANSAI_AIRPORT,12:50,
HARUKA_23,1,KYOTO,,12:00
HARUKA_23,2,SHIN_OSAKA,12:31,12:32
HARUKA_23,3,TENNOJI,12:49,12:50
HARUKA_23,4,HINENO,13:10,13:11
HARUKA_23,5,KANSAI_AIRPORT,13:20,
HARUKA_25,1,KYOTO,,12:30
HARUKA_25,2,SHIN_OSAKA,13:01,13:02
HARUKA_25,3,TENNOJI,13:19,13:20
HARUKA_25,4,HINENO,13:40,13:41
HARUKA_25,5,KANSAI_AIRPORT,13:50,
HARUKA_27,1,KYOTO,,13:00
HARUKA_27,2,SHIN_OSAKA,13:31,13:32
HARUKA_27,3,TENNOJI,13:49,13:50
HARUKA_27,4,HINENO,14:10,14:11
HARUKA_27,5,KANSAI_AIRPORT,14:20,
HARUKA_29,1,KYOTO,,13:30
HARUKA_29,2,SHIN_OSAKA,14:01,14:02
HARUKA_29,3,TENNOJI,14:19,14:20
HARUKA_29,4,HINENO,14:40,14:41
HARUKA_29,5,KANSAI_AIRPORT,14:50,
HARUKA_31,1,KYOTO,,14:00
HARUKA_31,2,SHIN_OSAKA,14:31,14:32
HARUKA_31,3,TENNOJI,14:49,14:50
HARUKA_31,4,HINENO,15:10,15:11
HARUKA_31,5,KANSAI_AIRPORT,15:20,
HARUKA_33,1,KYOTO,,14:30
HARUKA_33,2,SHIN_OSAKA,15:01,15:02
HARUKA_33,3,TENNOJI,15:19,15:20
HARUKA_33,4,HINENO,15:40,15:41
HARUKA_33,5,KANSAI_AIRPORT,15:50,
HARUKA_35,1,KYOTO,,15:00
HARUKA_35,2,SHIN_OSAKA,15:31,15:32
HARUKA_35,3,TENNOJI,15:49,15:50
HARUKA_35,4,HINENO,16:10,16:11
HARUKA_35,5,KANSAI_AIRPORT,16:20,
HARUKA_37,1,KYOTO,,15:30
HARUKA_37,2,SHIN_OSAKA,16:01,16:02
HARUKA_37,3,TENNOJI,16:19,16:20
HARUKA_37,4,HINENO,16:40,16:41
HARUKA_37,5,KANSAI_AIRPORT,16:50,
HARUKA_39,1,KYOTO,,16:00
HARUKA_39,2,SHIN_OSAKA,16:31,16:32
HARUKA_39,3,TENNOJI,16:49,16:50
HARUKA_39,4,HINENO,17:10,17:11
HARUKA_39,5,KANSAI_AIRPORT,17:20,
HARUKA_41,1,KYOTO,,16:30
HARUKA_41,2,SHIN_OSAKA,17:01,17:02
HARUKA_41,3,TENNOJI,17:19,17:20
HARUKA_41,4,HINENO,17:40,17:41
HARUKA_41,5,KANSAI_AIRPORT,17:50,
HARUKA_43,1,KYOTO,,17:00
HARUKA_43,2,SHIN_OSAKA,17:31,17:32
HARUKA_43,3,TENNOJI,17:49,17:50
HARUKA_43,4,HINENO,18:10,18:11
HARUKA_43,5,KANSAI_AIRPORT,18:20,
HARUKA_45,1,KYOTO,,17:30
HARUKA_45,2,SHIN_OSAKA,18:01,18:02
HARUKA_45,3,TENNOJI,18:19,18:20
HARUKA_45,4,HINENO,18:40,18:41
HARUKA_45,5,KANSAI_AIRPORT,18:50,
HARUKA_47,1,KYOTO,,18:00
HARUKA_47,2,SHIN_OSAKA,18:31,18:32
HARUKA_47,3,TENNOJI,18:49,18:50
HARUKA_47,4,HINENO,19:10,19:11
HARUKA_47,5,KANSAI_AIRPORT,19:20,
HARUKA_49,1,KYOTO,,18:30
HARUKA_49,2,SHIN_OSAKA,19:01,19:02
HARUKA_49,3,TENNOJI,19:19,19:20
HARUKA_49,4,HINENO,19:40,19:41
HARUKA_49,5,KANSAI_AIRPORT,19:50,
HARUKA_51,1,KYOTO,,19:00
HARUKA_51,2,SHIN_OSAKA,19:31,19:32
HARUKA_51,3,TENNOJI,19:49,19:50
HARUKA_51,4,HINENO,20:10,20:11
HARUKA_51,5,KANSAI_AIRPORT,20:20,
HARUKA_53,1,KYOTO,,19:30
HARUKA_53,2,SHIN_OSAKA,20:01,20:02
HARUKA_53,3,TENNOJI,20:19,20:20
HARUKA_53,4,HINENO,20:40,20:41
HARUKA_53,5,KANSAI_AIRPORT,20:50,
HARUKA_55,1,KYOTO,,20:00
HARUKA_55,2,SHIN_OSAKA,20:31,20:32
HARUKA_55,3,TENNOJI,20:49,20:50
HARUKA_55,4,HINENO,21:10,21:11
HARUKA_55,5,KANSAI_AIRPORT,21:20,
HARUKA_57,1,KYOTO,,20:30
HARUKA_57,2,SHIN_OSAKA,21:01,21:02
HARUKA_57,3,TENNOJI,21:19,21:20
HARUKA_57,4,HINENO,21:40,21:41
HARUKA_57,5,KANSAI_AIRPORT,21:50,
HARUKA_59,1,KYOTO,,21:00
HARUKA_59,2,SHIN_OSAKA,21:31,21:32
HARUKA_59,3,TENNOJI,21:49,21:50
HARUKA_59,4,HINENO,22:10,22:11
HARUKA_59,5,KANSAI_AIRPORT,22:20,
HARUKA_61,1,KYOTO,,21:30
HARUKA_61,2,SHIN_OSAKA,22:01,22:02
HARUKA_61,3,TENNOJI,22:19,22:20
HARUKA_61,4,HINENO,22:40,22:41
HARUKA_61,5,KANSAI_AIRPORT,22:50,
HARUKA_63,1,KYOTO,,22:00
HARUKA_63,2,SHIN_OSAKA,22:31,22:32
HARUKA_63,3,TENNOJI,22:49,22:50
HARUKA_63,4,HINENO,23:10,23:11
HARUKA_63,5,KANSAI_AIRPORT,23:20,
HARUKA_2,1,KANSAI_AIRPORT,,06:16
HARUKA_2,2,HINENO,06:25,06:26
HARUKA_2,3,TENNOJI,06:46,06:47
HARUKA_2,4,SHIN_OSAKA,07:04,07:05
HARUKA_2,5,KYOTO,07:36,
HARUKA_4,1,KANSAI_AIRPORT,,07:00
HARUKA_4,2,HINENO,07:09,07:10
HARUKA_4,3,TENNOJI,07:30,07:31
HARUKA_4,4,SHIN_OSAKA,07:48,07:49
HARUKA_4,5,KYOTO,08:20,
HARUKA_6,1,KANSAI_AIRPORT,,07:30
HARUKA_6,2,HINENO,07:39,07:40
HARUKA_6,3,TENNOJI,08:00,08:01
HARUKA_6,4,SHIN_OSAKA,08:18,08:19
HARUKA_6,5,KYOTO,08:50,
HARUKA_8,1,KANSAI_AIRPORT,,08:00
HARUKA_8,2,HINENO,08:09,08:10
HARUKA_8,3,TENNOJI,08:30,08:31
HARUKA_8,4,SHIN_OSAKA,08:48,08:49
HARUKA_8,5,KYOTO,09:20,
HARUKA_10,1,KANSAI_AIRPORT,,08:30
HARUKA_10,2,HINENO,08:39,08:40
HARUKA_10,3,TENNOJI,09:00,09:01
HARUKA_10,4,SHIN_OSAKA,09:18,09:19
HARUKA_10,5,KYOTO,09:50,
HARUKA_12,1,KANSAI_AIRPORT,,09:00
HARUKA_12,2,HINENO,09:09,09:10
HARUKA_12,3,TENNOJI,09:30,09:31
HARUKA_12,4,SHIN_OSAKA,09:48,09:49
HARUKA_12,5,KYOTO,10:20,
HARUKA_14,1,KANSAI_AIRPORT,,09:30
HARUKA_14,2,HINENO,09:39,09:40
HARUKA_14,3,TENNOJI,10:00,10:01
HARUKA_14,4,SHIN_OSAKA,10:18,10:19
HARUKA_14,5,KYOTO,10:50,
HARUKA_16,1,KANSAI_AIRPORT,,10:00
HARUKA_16,2,HINENO,10:09,10:10
HARUKA_16,3,TENNOJI,10:30,10:31
HARUKA_16,4,SHIN_OSAKA,10:48,10:49
HARUKA_16,5,KYOTO,11:20,
HARUKA_18,1,KANSAI_AIRPORT,,10:30
HARUKA_18,2,HINENO,10:39,10:40
HARUKA_18,3,TENNOJI,11:00,11:01
HARUKA_18,4,SHIN_OSAKA,11:18,11:19
HARUKA_18,5,KYOTO,11:50,
HARUKA_20,1,KANSAI_AIRPORT,,11:00
HARUKA_20,2,HINENO,11:09,11:10
HARUKA_20,3,TENNOJI,11:30,11:31
HARUKA_20,4,SHIN_OSAKA,11:48,11:49
HARUKA_20,5,KYOTO,12:20,
HARUKA_22,1,KANSAI_AIRPORT,,11:30
HARUKA_22,2,HINENO,11:39,11:40
HARUKA_22,3,TENNOJI,12:00,12:01
HARUKA_22,4,SHIN_OSAKA,12:18,12:19
HARUKA_22,5,KYOTO,12:50,
HARUKA_24,1,KANSAI_AIRPORT,,12:00
HARUKA_24,2,HINENO,12:09,12:10
HARUKA_24,3,TENNOJI,12:30,12:31
HARUKA_24,4,SHIN_OSAKA,12:48,12:49
HARUKA_24,5,KYOTO,13:20,
HARUKA_26,1,KANSAI_AIRPORT,,12:30
HARUKA_26,2,HINENO,12:39,12:40
HARUKA_26,3,TENNOJI,13:00,13:01
HARUKA_26,4,SHIN_OSAKA,13:18,13:19
HARUKA_26,5,KYOTO,13:50,
HARUKA_28,1,KANSAI_AIRPORT,,13:00
HARUKA_28,2,HINENO,13:09,13:10
HARUKA_28,3,TENNOJI,13:30,13:31
HARUKA_28,4,SHIN_OSAKA,13:48,13:49
HARUKA_28,5,KYOTO,14:20,
HARUKA_30,1,KANSAI_AIRPORT,,13:30
HARUKA_30,2,HINENO,13:39,13:40
HARUKA_30,3,TENNOJI,14:00,14:01
HARUKA_30,4,SHIN_OSAKA,14:18,14:19
HARUKA_30,5,KYOTO,14:50,
HARUKA_32,1,KANSAI_AIRPORT,,14:00
HARUKA_32,2,HINENO,14:09,14:10
HARUKA_32,3,TENNOJI,14:30,14:31
HARUKA_32,4,SHIN_OSAKA,14:48,14:49
HARUKA_32,5,KYOTO,15:20,
HARUKA_34,1,KANSAI_AIRPORT,,14:30
HARUKA_34,2,HINENO,14:39,14:40
HARUKA_34,3,TENNOJI,15:00,15:01
HARUKA_34,4,SHIN_OSAKA,15:18,15:19
HARUKA_34,5,KYOTO,15:50,
HARUKA_36,1,KANSAI_AIRPORT,,15:00
HARUKA_36,2,HINENO,15:09,15:10
HARUKA_36,3,TENNOJI,15:30,15:31
HARUKA_36,4,SHIN_OSAKA,15:48,15:49
HARUKA_36,5,KYOTO,16:20,
HARUKA_38,1,KANSAI_AIRPORT,,15:30
HARUKA_38,2,HINENO,15:39,15:40
HARUKA_38,3,TENNOJI,16:00,16:01
HARUKA_38,4,SHIN_OSAKA,16:18,16:19
HARUKA_38,5,KYOTO,16:50,
HARUKA_40,1,KANSAI_AIRPORT,,16:00
HARUKA_40,2,HINENO,16:09,16:10
HARUKA_40,3,TENNOJI,16:30,16:31
HARUKA_40,4,SHIN_OSAKA,16:48,16:49
HARUKA_40,5,KYOTO,17:20,
HARUKA_42,1,KANSAI_AIRPORT,,16:30
HARUKA_42,2,HINENO,16:39,16:40
HARUKA_42,3,TENNOJI,17:00,17:01
HARUKA_42,4,SHIN_OSAKA,17:18,17:19
HARUKA_42,5,KYOTO,17:50,
HARUKA_44,1,KANSAI_AIRPORT,,17:00
HARUKA_44,2,HINENO,17:09,17:10
HARUKA_44,3,TENNOJI,17:30,17:31
HARUKA_44,4,SHIN_OSAKA,17:48,17:49
HARUKA_44,5,KYOTO,18:20,
HARUKA_46,1,KANSAI_AIRPORT,,17:30
HARUKA_46,2,HINENO,17:39,17:40
HARUKA_46,3,TENNOJI,18:00,18:01
HARUKA_46,4,SHIN_OSAKA,18:18,18:19
HARUKA_46,5,KYOTO,18:50,
HARUKA_48,1,KANSAI_AIRPORT,,18:00
HARUKA_48,2,HINENO,18:09,18:10
HARUKA_48,3,TENNOJI,18:30,18:31
HARUKA_48,4,SHIN_OSAKA,18:48,18:49
HARUKA_48,5,KYOTO,19:20,
HARUKA_50,1,KANSAI_AIRPORT,,18:30
HARUKA_50,2,HINENO,18:39,18:40
HARUKA_50,3,TENNOJI,19:00,19:01
HARUKA_50,4,SHIN_OSAKA,19:18,19:19
HARUKA_50,5,KYOTO,19:50,
HARUKA_52,1,KANSAI_AIRPORT,,19:00
HARUKA_52,2,HINENO,19:09,19:10
HARUKA_52,3,TENNOJI,19:30,19:31
HARUKA_52,4,SHIN_OSAKA,19:48,19:49
HARUKA_52,5,KYOTO,20:20,
HARUKA_54,1,KANSAI_AIRPORT,,19:30
HARUKA_54,2,HINENO,19:39,19:40
HARUKA_54,3,TENNOJI,20:00,20:01
HARUKA_54,4,SHIN_OSAKA,20:18,20:19
HARUKA_54,5,KYOTO,20:50,
HARUKA_56,1,KANSAI_AIRPORT,,20:00
HARUKA_56,2,HINENO,20:09,20:10
HARUKA_56,3,TENNOJI,20:30,20:31
HARUKA_56,4,SHIN_OSAKA,20:48,20:49
HARUKA_56,5,KYOTO,21:20,
HARUKA_58,1,KANSAI_AIRPORT,,20:30
HARUKA_58,2,HINENO,20:39,20:40
HARUKA_58,3,TENNOJI,21:00,21:01
HARUKA_58,4,SHIN_OSAKA,21:18,21:19
HARUKA_58,5,KYOTO,21:50,
HARUKA_60,1,KANSAI_AIRPORT,,21:00
HARUKA_60,2,HINENO,21:09,21:10
HARUKA_60,3,TENNOJI,21:30,21:31
HARUKA_60,4,SHIN_OSAKA,21:48,21:49
HARUKA_60,5,KYOTO,22:20,
HARUKA_62,1,KANSAI_AIRPORT,,21:30
HARUKA_62,2,HINENO,21:39,21:40
HARUKA_62,3,TENNOJI,22:00,22:01
HARUKA_62,4,SHIN_OSAKA,22:18,22:19
HARUKA_62,5,KYOTO,22:50,
HARUKA_64,1,KANSAI_AIRPORT,,22:00
HARUKA_64,2,HINENO,22:09,22:10
HARUKA_64,3,TENNOJI,22:30,22:31
HARUKA_64,4,SHIN_OSAKA,22:48,22:49
HARUKA_64,5,KYOTO,23:20,
