train_id,name,direction
HARUKA_1,はるか1,down
HARUKA_3,はるか3,down
HARUKA_5,はるか5,down
HARUKA_7,はるか7,down
HARUKA_9,はるか9,down
HARUKA_11,はるか11,down
HARUKA_13,はるか13,down
HARUKA_15,はるか15,down
HARUKA_17,はるか17,down
HARUKA_19,はるか19,down
HARUKA_21,はるか21,down
HARUKA_23,はるか23,down
HARUKA_25,はるか25,down
HARUKA_27,はるか27,down
HARUKA_29,はるか29,down
HARUKA_31,はるか31,down
HARUKA_2,はるか2,up
HARUKA_4,はるか4,up
HARUKA_6,はるか6,up
HARUKA_8,はるか8,up
HARUKA_10,はるか10,up
HARUKA_12,はるか12,up
HARUKA_14,はるか14,up
HARUKA_16,はるか16,up
HARUKA_18,はるか18,up
HARUKA_20,はるか20,up
HARUKA_22,はるか22,up
HARUKA_24,はるか24,up
HARUKA_26,はるか26,up
HARUKA_28,はるか28,up
HARUKA_30,はるか30,up
HARUKA_32,はるか32,up
