train_id,stop_order,station_id,arrival,departure
HARUKA_1,1,KYOTO,,06:00
HARUKA_1,2,SHIN_OSAKA,06:30,06:32
HARUKA_1,3,TENNOJI,06:50,06:51
HARUKA_1,4,HINENO,07:10,07:11
HARUKA_1,5,KANSAI_AIRPORT,07:20,
HARUKA_3,1,KYOTO,,07:00
HARUKA_3,2,SHIN_OSAKA,07:30,07:32
HARUKA_3,3,TENNOJI,07:50,07:51
HARUKA_3,4,HINENO,08:10,08:11
HARUKA_3,5,KANSAI_AIRPORT,08:20,
HARUKA_5,1,KYOTO,,08:00
HARUKA_5,2,SHIN_OSAKA,08:30,08:32
HARUKA_5,3,TENNOJI,08:50,08:51
HARUKA_5,4,HINENO,09:10,09:11
HARUKA_5,5,KANSAI_AIRPORT,09:20,
HARUKA_7,1,KYOTO,,09:00
HARUKA_7,2,SHIN_OSAKA,09:30,09:32
HARUKA_7,3,TENNOJI,09:50,09:51
HARUKA_7,4,HINENO,10:10,10:11
HARUKA_7,5,KANSAI_AIRPORT,10:20,
HARUKA_9,1,KYOTO,,10:00
HARUKA_9,2,SHIN_OSAKA,10:30,10:32
HARUKA_9,3,TENNOJI,10:50,10:51
HARUKA_9,4,HINENO,11:10,11:11
HARUKA_9,5,KANSAI_AIRPORT,11:20,
HARUKA_11,1,KYOTO,,11:00
HARUKA_11,2,SHIN_OSAKA,11:30,11:32
HARUKA_11,3,TENNOJI,11:50,11:51
HARUKA_11,4,HINENO,12:10,12:11
HARUKA_11,5,KANSAI_AIRPORT,12:20,
HARUKA_13,1,KYOTO,,12:00
HARUKA_13,2,SHIN_OSAKA,12:30,12:32
HARUKA_13,3,TENNOJI,12:50,12:51
HARUKA_13,4,HINENO,13:10,13:11
HARUKA_13,5,KANSAI_AIRPORT,13:20,
HARUKA_15,1,KYOTO,,13:00
HARUKA_15,2,SHIN_OSAKA,13:30,13:32
HARUKA_15,3,TENNOJI,13:50,13:51
HARUKA_15,4,HINENO,14:10,14:11
HARUKA_15,5,KANSAI_AIRPORT,14:20,
HARUKA_17,1,KYOTO,,14:00
HARUKA_17,2,SHIN_OSAKA,14:30,14:32
HARUKA_17,3,TENNOJI,14:50,14:51
HARUKA_17,4,HINENO,15:10,15:11
HARUKA_17,5,KANSAI_AIRPORT,15:20,
HARUKA_19,1,KYOTO,,15:00
HARUKA_19,2,SHIN_OSAKA,15:30,15:32
HARUKA_19,3,TENNOJI,15:50,15:51
HARUKA_19,4,HINENO,16:10,16:11
HARUKA_19,5,KANSAI_AIRPORT,16:20,
HARUKA_21,1,KYOTO,,16:00
HARUKA_21,2,SHIN_OSAKA,16:30,16:32
HARUKA_21,3,TENNOJI,16:50,16:51
HARUKA_21,4,HINENO,17:10,17:11
HARUKA_21,5,KANSAI_AIRPORT,17:20,
HARUKA_23,1,KYOTO,,17:00
HARUKA_23,2,SHIN_OSAKA,17:30,17:32
HARUKA_23,3,TENNOJI,17:50,17:51
HARUKA_23,4,HINENO,18:10,18:11
HARUKA_23,5,KANSAI_AIRPORT,18:20,
HARUKA_25,1,KYOTO,,18:00
HARUKA_25,2,SHIN_OSAKA,18:30,18:32
HARUKA_25,3,TENNOJI,18:50,18:51
HARUKA_25,4,HINENO,19:10,19:11
HARUKA_25,5,KANSAI_AIRPORT,19:20,
HARUKA_27,1,KYOTO,,19:00
HARUKA_27,2,SHIN_OSAKA,19:30,19:32
HARUKA_27,3,TENNOJI,19:50,19:51
HARUKA_27,4,HINENO,20:10,20:11
HARUKA_27,5,KANSAI_AIRPORT,20:20,
HARUKA_29,1,KYOTO,,20:00
HARUKA_29,2,SHIN_OSAKA,20:30,20:32
HARUKA_29,3,TENNOJI,20:50,20:51
HARUKA_29,4,HINENO,21:10,21:11
HARUKA_29,5,KANSAI_AIRPORT,21:20,
HARUKA_31,1,KYOTO,,21:00
HARUKA_31,2,SHIN_OSAKA,21:30,21:32
HARUKA_31,3,TENNOJI,21:50,21:51
HARUKA_31,4,HINENO,22:10,22:11
HARUKA_31,5,KANSAI_AIRPORT,22:20,
HARUKA_2,1,KANSAI_AIRPORT,,07:00
HARUKA_2,2,HINENO,07:09,07:10
HARUKA_2,3,TENNOJI,07:29,07:30
HARUKA_2,4,SHIN_OSAKA,07:48,07:50
HARUKA_2,5,KYOTO,08:20,
HARUKA_4,1,KANSAI_AIRPORT,,08:00
HARUKA_4,2,HINENO,08:09,08:10
HARUKA_4,3,TENNOJI,08:29,08:30
HARUKA_4,4,SHIN_OSAKA,08:48,08:50
HARUKA_4,5,KYOTO,09:20,
HARUKA_6,1,KANSAI_AIRPORT,,09:00
HARUKA_6,2,HINENO,09:09,09:10
HARUKA_6,3,TENNOJI,09:29,09:30
HARUKA_6,4,SHIN_OSAKA,09:48,09:50
HARUKA_6,5,KYOTO,10:20,
HARUKA_8,1,KANSAI_AIRPORT,,10:00
HARUKA_8,2,HINENO,10:09,10:10
HARUKA_8,3,TENNOJI,10:29,10:30
HARUKA_8,4,SHIN_OSAKA,10:48,10:50
HARUKA_8,5,KYOTO,11:20,
HARUKA_10,1,KANSAI_AIRPORT,,11:00
HARUKA_10,2,HINENO,11:09,11:10
HARUKA_10,3,TENNOJI,11:29,11:30
HARUKA_10,4,SHIN_OSAKA,11:48,11:50
HARUKA_10,5,KYOTO,12:20,
HARUKA_12,1,KANSAI_AIRPORT,,12:00
HARUKA_12,2,HINENO,12:09,12:10
HARUKA_12,3,TENNOJI,12:29,12:30
HARUKA_12,4,SHIN_OSAKA,12:48,12:50
HARUKA_12,5,KYOTO,13:20,
HARUKA_14,1,KANSAI_AIRPORT,,13:00
HARUKA_14,2,HINENO,13:09,13:10
HARUKA_14,3,TENNOJI,13:29,13:30
HARUKA_14,4,SHIN_OSAKA,13:48,13:50
HARUKA_14,5,KYOTO,14:20,
HARUKA_16,1,KANSAI_AIRPORT,,14:00
HARUKA_16,2,HINENO,14:09,14:10
HARUKA_16,3,TENNOJI,14:29,14:30
HARUKA_16,4,SHIN_OSAKA,14:48,14:50
