train_id,stop_order,station_id,arrival,departure
HASHIDATE_1,1,KYOTO,,08:34
HASHIDATE_1,2,SONOBE,09:09,09:10
HASHIDATE_1,3,AYABE,09:42,09:43
HASHIDATE_1,4,FUKUCHIYAMA,09:54,09:56
HASHIDATE_1,5,MIYAZU,10:29,10:30
HASHIDATE_1,6,AMANOHASHIDATE,10:39,
HASHIDATE_3,1,KYOTO,,10:34
HASHIDATE_3,2,SONOBE,11:09,11:10
HASHIDATE_3,3,AYABE,11:42,11:43
HASHIDATE_3,4,FUKUCHIYAMA,11:54,11:56
HASHIDATE_3,5,MIYAZU,12:29,12:30
HASHIDATE_3,6,AMANOHASHIDATE,12:39,
HASHIDATE_5,1,KYOTO,,14:34
HASHIDATE_5,2,SONOBE,15:09,15:10
HASHIDATE_5,3,AYABE,15:42,15:43
HASHIDATE_5,4,FUKUCHIYAMA,15:54,15:56
HASHIDATE_5,5,MIYAZU,16:29,16:30
HASHIDATE_5,6,AMANOHASHIDATE,16:39,
HASHIDATE_7,1,KYOTO,,17:34
HASHIDATE_7,2,SONOBE,18:09,18:10
HASHIDATE_7,3,AYABE,18:42,18:43
HASHIDATE_7,4,FUKUCHIYAMA,18:54,18:56
HASHIDATE_7,5,MIYAZU,19:29,19:30
HASHIDATE_7,6,AMANOHASHIDATE,19:39,
HASHIDATE_2,1,AMANOHASHIDATE,,07:00
HASHIDATE_2,2,MIYAZU,07:10,07:11
HASHIDATE_2,3,FUKUCHIYAMA,07:43,07:45
HASHIDATE_2,4,AYABE,07:56,07:57
HASHIDATE_2,5,SONOBE,08:29,08:30
HASHIDATE_2,6,KYOTO,09:05,
HASHIDATE_4,1,AMANOHASHIDATE,,11:00
HASHIDATE_4,2,MIYAZU,11:10,11:11
HASHIDATE_4,3,FUKUCHIYAMA,11:43,11:45
HASHIDATE_4,4,AYABE,11:56,11:57
HASHIDATE_4,5,SONOBE,12:29,12:30
HASHIDATE_4,6,KYOTO,13:05,
HASHIDATE_6,1,AMANOHASHIDATE,,15:00
HASHIDATE_6,2,MIYAZU,15:10,15:11
HASHIDATE_6,3,FUKUCHIYAMA,15:43,15:45
HASHIDATE_6,4,AYABE,15:56,15:57
HASHIDATE_6,5,SONOBE,16:29,16:30
HASHIDATE_6,6,KYOTO,17:05,
HASHIDATE_8,1,AMANOHASHIDATE,,17:00
HASHIDATE_8,2,MIYAZU,17:10,17:11
HASHIDATE_8,3,FUKUCHIYAMA,17:43,17:45
HASHIDATE_8,4,AYABE,17:56,17:57
HASHIDATE_8,5,SONOBE,18:29,18:30
HASHIDATE_8,6,KYOTO,19:05,
