train_id,stop_order,station_id,arrival,departure
HD_1,1,KYOTO,,09:00
HD_1,2,SONOBE,09:30,09:31
HD_1,3,AYABE,10:00,10:01
HD_1,4,FUKUCHIYAMA,10:15,10:17
HD_1,5,MIYAZU,10:50,10:51
HD_1,6,AMANOHASHIDATE,11:00,
HD_3,1,KYOTO,,12:00
HD_3,2,SONOBE,12:30,12:31
HD_3,3,AYABE,13:00,13:01
HD_3,4,FUKUCHIYAMA,13:15,13:17
HD_3,5,MIYAZU,13:50,13:51
HD_3,6,AMANOHASHIDATE,14:00,
HD_5,1,KYOTO,,15:00
HD_5,2,SONOBE,15:30,15:31
HD_5,3,AYABE,16:00,16:01
HD_5,4,FUKUCHIYAMA,16:15,16:17
HD_5,5,MIYAZU,16:50,16:51
HD_5,6,AMANOHASHIDATE,17:00,
HD_7,1,KYOTO,,18:00
HD_7,2,SONOBE,18:30,18:31
HD_7,3,AYABE,19:00,19:01
HD_7,4,FUKUCHIYAMA,19:15,19:17
HD_7,5,MIYAZU,19:50,19:51
HD_7,6,AMANOHASHIDATE,20:00,
HD_2,1,AMANOHASHIDATE,,07:00
HD_2,2,MIYAZU,07:09,07:10
HD_2,3,FUKUCHIYAMA,07:43,07:45
HD_2,4,AYABE,07:59,08:00
HD_2,5,SONOBE,08:29,08:30
HD_2,6,KYOTO,09:00,
HD_4,1,AMANOHASHIDATE,,11:00
HD_4,2,MIYAZU,11:09,11:10
HD_4,3,FUKUCHIYAMA,11:43,11:45
HD_4,4,AYABE,11:59,12:00
HD_4,5,SONOBE,12:29,12:30
HD_4,6,KYOTO,13:00,
HD_6,1,AMANOHASHIDATE,,14:00
HD_6,2,MIYAZU,14:09,14:10
HD_6,3,FUKUCHIYAMA,14:43,14:45
HD_6,4,AYABE,14:59,15:00
HD_6,5,SONOBE,15:29,15:30
HD_6,6,KYOTO,16:00,
HD_8,1,AMANOHASHIDATE,,17:00
HD_8,2,MIYAZU,17:09,17:10
HD_8,3,FUKUCHIYAMA,17:43,17:45
HD_8,4,AYABE,17:59,18:00
HD_8,5,SONOBE,18:29,18:30
HD_8,6,KYOTO,19:00,
