train_id,stop_order,station_id,arrival,departure
HIDA_1,1,NAGOYA,,06:38
HIDA_1,2,GIFU,06:57,06:58
HIDA_1,3,MINO_OTA,07:23,07:24
HIDA_1,4,GERO,08:18,08:20
HIDA_1,5,TAKAYAMA,08:58,09:03
HIDA_1,6,HIDA_FURUKAWA,09:16,09:17
HIDA_1,7,TOYAMA,10:38,
HIDA_3,1,NAGOYA,,07:43
HIDA_3,2,GIFU,08:02,08:03
HIDA_3,3,MINO_OTA,08:28,08:29
HIDA_3,4,GERO,09:23,09:25
HIDA_3,5,TAKAYAMA,10:03,10:08
HIDA_3,6,HIDA_FURUKAWA,10:21,10:22
HIDA_3,7,TOYAMA,11:43,
HIDA_5,1,NAGOYA,,09:39
HIDA_5,2,GIFU,09:58,09:59
HIDA_5,3,MINO_OTA,10:24,10:25
HIDA_5,4,GERO,11:19,11:21
HIDA_5,5,TAKAYAMA,11:59,12:04
HIDA_5,6,HIDA_FURUKAWA,12:17,12:18
HIDA_5,7,TOYAMA,13:39,
HIDA_7,1,NAGOYA,,11:43
HIDA_7,2,GIFU,12:02,12:03
HIDA_7,3,MINO_OTA,12:28,12:29
HIDA_7,4,GERO,13:23,13:25
HIDA_7,5,TAKAYAMA,14:03,14:08
HIDA_7,6,HIDA_FURUKAWA,14:21,14:22
HIDA_7,7,TOYAMA,15:43,
HIDA_9,1,NAGOYA,,12:48
HIDA_9,2,GIFU,13:07,13:08
HIDA_9,3,MINO_OTA,13:33,13:34
HIDA_9,4,GERO,14:28,14:30
HIDA_9,5,TAKAYAMA,15:08,15:13
HIDA_9,6,HIDA_FURUKAWA,15:26,15:27
HIDA_9,7,TOYAMA,16:48,
HIDA_11,1,NAGOYA,,14:48
HIDA_11,2,GIFU,15:07,15:08
HIDA_11,3,MINO_OTA,15:33,15:34
HIDA_11,4,GERO,16:28,16:30
HIDA_11,5,TAKAYAMA,17:08,17:13
HIDA_11,6,HIDA_FURUKAWA,17:26,17:27
HIDA_11,7,TOYAMA,18:48,
HIDA_13,1,NAGOYA,,15:48
HIDA_13,2,GIFU,16:07,16:08
HIDA_13,3,MINO_OTA,16:33,16:34
HIDA_13,4,GERO,17:28,17:30
HIDA_13,5,TAKAYAMA,18:08,18:13
HIDA_13,6,HIDA_FURUKAWA,18:26,18:27
HIDA_13,7,TOYAMA,19:48,
HIDA_15,1,NAGOYA,,17:03
HIDA_15,2,GIFU,17:22,17:23
HIDA_15,3,MINO_OTA,17:48,17:49
HIDA_15,4,GERO,18:43,18:45
HIDA_15,5,TAKAYAMA,19:23,19:28
HIDA_15,6,HIDA_FURUKAWA,19:41,19:42
HIDA_15,7,TOYAMA,21:03,
HIDA_17,1,NAGOYA,,18:08
HIDA_17,2,GIFU,18:27,18:28
HIDA_17,3,MINO_OTA,18:53,18:54
HIDA_17,4,GERO,19:48,19:50
HIDA_17,5,TAKAYAMA,20:28,20:33
HIDA_17,6,HIDA_FURUKAWA,20:46,20:47
HIDA_17,7,TOYAMA,22:08,
HIDA_19,1,NAGOYA,,20:08
HIDA_19,2,GIFU,20:27,20:28
HIDA_19,3,MINO_OTA,20:53,20:54
HIDA_19,4,GERO,21:48,21:50
HIDA_19,5,TAKAYAMA,22:28,22:33
HIDA_19,6,HIDA_FURUKAWA,22:46,22:47
HIDA_19,7,TOYAMA,24:08,
HIDA_2,1,TOYAMA,,06:23
HIDA_2,2,HIDA_FURUKAWA,07:44,07:45
HIDA_2,3,TAKAYAMA,07:58,08:03
HIDA_2,4,GERO,08:41,08:43
HIDA_2,5,MINO_OTA,09:37,09:38
HIDA_2,6,GIFU,10:03,10:04
HIDA_2,7,NAGOYA,10:23,
HIDA_4,1,TOYAMA,,08:32
HIDA_4,2,HIDA_FURUKAWA,09:53,09:54
HIDA_4,3,TAKAYAMA,10:07,10:12
HIDA_4,4,GERO,10:50,10:52
HIDA_4,5,MINO_OTA,11:46,11:47
HIDA_4,6,GIFU,12:12,12:13
HIDA_4,7,NAGOYA,12:32,
HIDA_6,1,TOYAMA,,09:51
HIDA_6,2,HIDA_FURUKAWA,11:12,11:13
HIDA_6,3,TAKAYAMA,11:26,11:31
HIDA_6,4,GERO,12:09,12:11
HIDA_6,5,MINO_OTA,13:05,13:06
HIDA_6,6,GIFU,13:31,13:32
HIDA_6,7,NAGOYA,13:51,
HIDA_8,1,TOYAMA,,12:36
HIDA_8,2,HIDA_FURUKAWA,13:57,13:58
HIDA_8,3,TAKAYAMA,14:11,14:16
HIDA_8,4,GERO,14:54,14:56
HIDA_8,5,MINO_OTA,15:50,15:51
HIDA_8,6,GIFU,16:16,16:17
HIDA_8,7,NAGOYA,16:36,
HIDA_10,1,TOYAMA,,13:51
HIDA_10,2,HIDA_FURUKAWA,15:12,15:13
HIDA_10,3,TAKAYAMA,15:26,15:31
HIDA_10,4,GERO,16:09,16:11
HIDA_10,5,MINO_OTA,17:05,17:06
HIDA_10,6,GIFU,17:31,17:32
HIDA_10,7,NAGOYA,17:51,
HIDA_12,1,TOYAMA,,14:36
HIDA_12,2,HIDA_FURUKAWA,15:57,15:58
HIDA_12,3,TAKAYAMA,16:11,16:16
HIDA_12,4,GERO,16:54,16:56
HIDA_12,5,MINO_OTA,17:50,17:51
HIDA_12,6,GIFU,18:16,18:17
HIDA_12,7,NAGOYA,18:36,
HIDA_14,1,TOYAMA,,15:51
HIDA_14,2,HIDA_FURUKAWA,17:12,17:13
HIDA_14,3,TAKAYAMA,17:26,17:31
HIDA_14,4,GERO,18:09,18:11
HIDA_14,5,MINO_OTA,19:05,19:06
HIDA_14,6,GIFU,19:31,19:32
HIDA_14,7,NAGOYA,19:51,
HIDA_16,1,TOYAMA,,17:51
HIDA_16,2,HIDA_FURUKAWA,19:12,19:13
HIDA_16,3,TAKAYAMA,19:26,19:31
HIDA_16,4,GERO,20:09,20:11
HIDA_16,5,MINO_OTA,21:05,21:06
HIDA_16,6,GIFU,21:31,21:32
HIDA_16,7,NAGOYA,21:51,
HIDA_18,1,TOYAMA,,18:51
HIDA_18,2,HIDA_FURUKAWA,20:12,20:13
HIDA_18,3,TAKAYAMA,20:26,20:31
HIDA_18,4,GERO,21:09,21:11
HIDA_18,5,MINO_OTA,22:05,22:06
HIDA_18,6,GIFU,22:31,22:32
HIDA_18,7,NAGOYA,22:51,
HIDA_20,1,TOYAMA,,20:08
HIDA_20,2,HIDA_FURUKAWA,21:29,21:30
HIDA_20,3,TAKAYAMA,21:43,21:48
HIDA_20,4,GERO,22:26,22:28
HIDA_20,5,MINO_OTA,23:22,23:23
HIDA_20,6,GIFU,23:48,23:49
HIDA_20,7,NAGOYA,24:08,
