train_id,stop_order,station_id,arrival,departure
HIDA_1,1,NAGOYA,,06:38
HIDA_1,2,GIFU,06:57,06:58
HIDA_1,3,MINO_OTA,07:23,07:24
HIDA_1,4,GERO,08:18,08:20
HIDA_1,5,TAKAYAMA,08:58,09:03
HIDA_1,6,HIDA_FURUKAWA,09:16,09:17
HIDA_1,7,TOYAMA,10:38,
HIDA_3,1,NAGOYA,,08:43
HIDA_3,2,GIFU,09:02,09:03
HIDA_3,3,MINO_OTA,09:28,09:29
HIDA_3,4,GERO,10:23,10:25
HIDA_3,5,TAKAYAMA,11:03,11:08
HIDA_3,6,HIDA_FURUKAWA,11:21,11:22
HIDA_3,7,TOYAMA,12:43,
HIDA_5,1,NAGOYA,,16:03
HIDA_5,2,GIFU,16:22,16:23
HIDA_5,3,MINO_OTA,16:48,16:49
HIDA_5,4,GERO,17:43,17:45
HIDA_5,5,TAKAYAMA,18:23,18:28
HIDA_5,6,HIDA_FURUKAWA,18:41,18:42
HIDA_5,7,TOYAMA,20:03,
HIDA_2,1,TOYAMA,,06:23
HIDA_2,2,HIDA_FURUKAWA,07:44,07:45
HIDA_2,3,TAKAYAMA,07:58,08:03
HIDA_2,4,GERO,08:41,08:43
HIDA_2,5,MINO_OTA,09:37,09:38
HIDA_2,6,GIFU,10:03,10:04
HIDA_2,7,NAGOYA,10:23,
HIDA_4,1,TOYAMA,,12:36
HIDA_4,2,HIDA_FURUKAWA,13:57,13:58
HIDA_4,3,TAKAYAMA,14:11,14:16
HIDA_4,4,GERO,14:54,14:56
HIDA_4,5,MINO_OTA,15:50,15:51
HIDA_4,6,GIFU,16:16,16:17
HIDA_4,7,NAGOYA,16:36,
HIDA_6,1,TOYAMA,,17:51
HIDA_6,2,HIDA_FURUKAWA,19:12,19:13
HIDA_6,3,TAKAYAMA,19:26,19:31
HIDA_6,4,GERO,20:09,20:11
HIDA_6,5,MINO_OTA,21:05,21:06
HIDA_6,6,GIFU,21:31,21:32
HIDA_6,7,NAGOYA,21:51,
HIDA_T_1,1,NAGOYA,,07:43
HIDA_T_1,2,GIFU,08:02,08:03
HIDA_T_1,3,MINO_OTA,08:28,08:29
HIDA_T_1,4,GERO,09:23,09:25
HIDA_T_1,5,TAKAYAMA,10:03,
HIDA_T_3,1,NAGOYA,,09:39
HIDA_T_3,2,GIFU,09:58,09:59
HIDA_T_3,3,MINO_OTA,10:24,10:25
HIDA_T_3,4,GERO,11:19,11:21
HIDA_T_3,5,TAKAYAMA,11:59,
HIDA_T_5,1,NAGOYA,,11:43
HIDA_T_5,2,GIFU,12:02,12:03
HIDA_T_5,3,MINO_OTA,12:28,12:29
HIDA_T_5,4,GERO,13:23,13:25
HIDA_T_5,5,TAKAYAMA,14:03,
HIDA_T_7,1,NAGOYA,,12:48
HIDA_T_7,2,GIFU,13:07,13:08
HIDA_T_7,3,MINO_OTA,13:33,13:34
HIDA_T_7,4,GERO,14:28,14:30
HIDA_T_7,5,TAKAYAMA,15:08,
HIDA_T_9,1,NAGOYA,,14:48
HIDA_T_9,2,GIFU,15:07,15:08
HIDA_T_9,3,MINO_OTA,15:33,15:34
HIDA_T_9,4,GERO,16:28,16:30
HIDA_T_9,5,TAKAYAMA,17:08,
HIDA_T_11,1,NAGOYA,,17:48
HIDA_T_11,2,GIFU,18:07,18:08
HIDA_T_11,3,MINO_OTA,18:33,18:34
HIDA_T_11,4,GERO,19:28,19:30
HIDA_T_11,5,TAKAYAMA,20:08,
HIDA_T_13,1,NAGOYA,,19:08
HIDA_T_13,2,GIFU,19:27,19:28
HIDA_T_13,3,MINO_OTA,19:53,19:54
HIDA_T_13,4,GERO,20:48,20:50
HIDA_T_13,5,TAKAYAMA,21:28,
HIDA_T_2,1,TAKAYAMA,,08:32
HIDA_T_2,2,GERO,09:10,09:12
HIDA_T_2,3,MINO_OTA,10:06,10:07
HIDA_T_2,4,GIFU,10:32,10:33
HIDA_T_2,5,NAGOYA,10:52,
HIDA_T_4,1,TAKAYAMA,,09:51
HIDA_T_4,2,GERO,10:29,10:31
HIDA_T_4,3,MINO_OTA,11:25,11:26
HIDA_T_4,4,GIFU,11:51,11:52
HIDA_T_4,5,NAGOYA,12:11,
HIDA_T_6,1,TAKAYAMA,,13:51
HIDA_T_6,2,GERO,14:29,14:31
HIDA_T_6,3,MINO_OTA,15:25,15:26
HIDA_T_6,4,GIFU,15:51,15:52
HIDA_T_6,5,NAGOYA,16:11,
HIDA_T_8,1,TAKAYAMA,,14:36
HIDA_T_8,2,GERO,15:14,15:16
HIDA_T_8,3,MINO_OTA,16:10,16:11
HIDA_T_8,4,GIFU,16:36,16:37
HIDA_T_8,5,NAGOYA,16:56,
HIDA_T_10,1,TAKAYAMA,,15:51
HIDA_T_10,2,GERO,16:29,16:31
HIDA_T_10,3,MINO_OTA,17:25,17:26
HIDA_T_10,4,GIFU,17:51,17:52
HIDA_T_10,5,NAGOYA,18:11,
HIDA_T_12,1,TAKAYAMA,,18:51
HIDA_T_12,2,GERO,19:29,19:31
HIDA_T_12,3,MINO_OTA,20:25,20:26
HIDA_T_12,4,GIFU,20:51,20:52
HIDA_T_12,5,NAGOYA,21:11,
HIDA_T_14,1,TAKAYAMA,,20:08
HIDA_T_14,2,GERO,20:46,20:48
HIDA_T_14,3,MINO_OTA,21:42,21:43
HIDA_T_14,4,GIFU,22:08,22:09
HIDA_T_14,5,NAGOYA,22:28,
