train_id,stop_order,station_id,arrival,departure
HINOTORI_H_1,1,OSAKA_NAMBA,,06:00
HINOTORI_H_1,2,OSAKA_UEHOMMACHI,06:04,06:05
HINOTORI_H_1,3,TSURUHASHI,06:08,06:09
HINOTORI_H_1,4,YAMATO_YAGI,06:36,06:37
HINOTORI_H_1,5,TSU,07:35,07:36
HINOTORI_H_1,6,KINTETSU_YOKKAICHI,07:50,07:51
HINOTORI_H_1,7,KINTETSU_NAGOYA,08:05,
HINOTORI_H_3,1,OSAKA_NAMBA,,07:00
HINOTORI_H_3,2,OSAKA_UEHOMMACHI,07:04,07:05
HINOTORI_H_3,3,TSURUHASHI,07:08,07:09
HINOTORI_H_3,4,YAMATO_YAGI,07:36,07:37
HINOTORI_H_3,5,TSU,08:35,08:36
HINOTORI_H_3,6,KINTETSU_YOKKAICHI,08:50,08:51
HINOTORI_H_3,7,KINTETSU_NAGOYA,09:05,
HINOTORI_H_5,1,OSAKA_NAMBA,,07:30
HINOTORI_H_5,2,OSAKA_UEHOMMACHI,07:34,07:35
HINOTORI_H_5,3,TSURUHASHI,07:38,07:39
HINOTORI_H_5,4,YAMATO_YAGI,08:06,08:07
HINOTORI_H_5,5,TSU,09:05,09:06
HINOTORI_H_5,6,KINTETSU_YOKKAICHI,09:20,09:21
HINOTORI_H_5,7,KINTETSU_NAGOYA,09:35,
HINOTORI_H_7,1,OSAKA_NAMBA,,08:00
HINOTORI_H_7,2,OSAKA_UEHOMMACHI,08:04,08:05
HINOTORI_H_7,3,TSURUHASHI,08:08,08:09
HINOTORI_H_7,4,YAMATO_YAGI,08:36,08:37
HINOTORI_H_7,5,TSU,09:35,09:36
HINOTORI_H_7,6,KINTETSU_YOKKAICHI,09:50,09:51
HINOTORI_H_7,7,KINTETSU_NAGOYA,10:05,
HINOTORI_H_9,1,OSAKA_NAMBA,,09:00
HINOTORI_H_9,2,OSAKA_UEHOMMACHI,09:04,09:05
HINOTORI_H_9,3,TSURUHASHI,09:08,09:09
HINOTORI_H_9,4,YAMATO_YAGI,09:36,09:37
HINOTORI_H_9,5,TSU,10:35,10:36
HINOTORI_H_9,6,KINTETSU_YOKKAICHI,10:50,10:51
HINOTORI_H_9,7,KINTETSU_NAGOYA,11:05,
HINOTORI_H_11,1,OSAKA_NAMBA,,09:30
HINOTORI_H_11,2,OSAKA_UEHOMMACHI,09:34,09:35
HINOTORI_H_11,3,TSURUHASHI,09:38,09:39
HINOTORI_H_11,4,YAMATO_YAGI,10:06,10:07
HINOTORI_H_11,5,TSU,11:05,11:06
HINOTORI_H_11,6,KINTETSU_YOKKAICHI,11:20,11:21
HINOTORI_H_11,7,KINTETSU_NAGOYA,11:35,
HINOTORI_H_13,1,OSAKA_NAMBA,,10:00
HINOTORI_H_13,2,OSAKA_UEHOMMACHI,10:04,10:05
HINOTORI_H_13,3,TSURUHASHI,10:08,10:09
HINOTORI_H_13,4,YAMATO_YAGI,10:36,10:37
HINOTORI_H_13,5,TSU,11:35,11:36
HINOTORI_H_13,6,KINTETSU_YOKKAICHI,11:50,11:51
HINOTORI_H_13,7,KINTETSU_NAGOYA,12:05,
HINOTORI_H_15,1,OSAKA_NAMBA,,11:00
HINOTORI_H_15,2,OSAKA_UEHOMMACHI,11:04,11:05
HINOTORI_H_15,3,TSURUHASHI,11:08,11:09
HINOTORI_H_15,4,YAMATO_YAGI,11:36,11:37
HINOTORI_H_15,5,TSU,12:35,12:36
HINOTORI_H_15,6,KINTETSU_YOKKAICHI,12:50,12:51
