train_id,name,direction
HINOTORI_1,ひのとり1,down
HINOTORI_3,ひのとり3,down
HINOTORI_5,ひのとり5,down
HINOTORI_7,ひのとり7,down
HINOTORI_9,ひのとり9,down
HINOTORI_11,ひのとり11,down
HINOTORI_13,ひのとり13,down
HINOTORI_15,ひのとり15,down
HINOTORI_17,ひのとり17,down
HINOTORI_19,ひのとり19,down
HINOTORI_21,ひのとり21,down
HINOTORI_23,ひのとり23,down
HINOTORI_25,ひのとり25,down
HINOTORI_27,ひのとり27,down
HINOTORI_29,ひのとり29,down
HINOTORI_31,ひのとり31,down
HINOTORI_33,ひのとり33,down
HINOTORI_35,ひのとり35,down
HINOTORI_37,ひのとり37,down
HINOTORI_39,ひのとり39,down
HINOTORI_41,ひのとり41,down
HINOTORI_43,ひのとり43,down
HINOTORI_45,ひのとり45,down
HINOTORI_47,ひのとり47,down
HINOTORI_49,ひのとり49,down
HINOTORI_51,ひのとり51,down
HINOTORI_53,ひのとり53,down
HINOTORI_55,ひのとり55,down
HINOTORI_57,ひのとり57,down
HINOTORI_59,ひのとり59,down
HINOTORI_61,ひのとり61,down
HINOTORI_63,ひのとり63,down
HINOTORI_65,ひのとり65,down
HINOTORI_2,ひのとり2,up
HINOTORI_4,ひのとり4,up
HINOTORI_6,ひのとり6,up
HINOTORI_8,ひのとり8,up
HINOTORI_10,ひのとり10,up
HINOTORI_12,ひのとり12,up
HINOTORI_14,ひのとり14,up
HINOTORI_16,ひのとり16,up
HINOTORI_18,ひのとり18,up
HINOTORI_20,ひのとり20,up
HINOTORI_22,ひのとり22,up
HINOTORI_24,ひのとり24,up
HINOTORI_26,ひのとり26,up
HINOTORI_28,ひのとり28,up
HINOTORI_30,ひのとり30,up
HINOTORI_32,ひのとり32,up
HINOTORI_34,ひのとり34,up
HINOTORI_36,ひのとり36,up
HINOTORI_38,ひのとり38,up
HINOTORI_40,ひのとり40,up
HINOTORI_42,ひのとり42,up
HINOTORI_44,ひのとり44,up
HINOTORI_46,ひのとり46,up
HINOTORI_48,ひのとり48,up
HINOTORI_50,ひのとり50,up
HINOTORI_52,ひのとり52,up
HINOTORI_54,ひのとり54,up
HINOTORI_56,ひのとり56,up
HINOTORI_58,ひのとり58,up
HINOTORI_60,ひのとり60,up
HINOTORI_62,ひのとり62,up
HINOTORI_64,ひのとり64,up
HINOTORI_66,ひのとり66,up
