train_id,stop_order,station_id,arrival,departure
HITACHI_S_1,1,SHINAGAWA,,09:45
HITACHI_S_1,2,UENO,09:56,09:57
HITACHI_S_1,3,MITO,11:00,11:02
HITACHI_S_1,4,KATSUTA,11:05,11:06
HITACHI_S_1,5,HITACHI,11:20,11:21
HITACHI_S_1,6,TAKAHAGI,11:34,11:35
HITACHI_S_1,7,IWAKI,12:05,12:07
HITACHI_S_1,8,HARANOMACHI,13:20,13:22
HITACHI_S_1,9,SENDAI,14:25,
HITACHI_S_3,1,SHINAGAWA,,13:45
HITACHI_S_3,2,UENO,13:56,13:57
HITACHI_S_3,3,MITO,15:00,15:02
HITACHI_S_3,4,KATSUTA,15:05,15:06
HITACHI_S_3,5,HITACHI,15:20,15:21
HITACHI_S_3,6,TAKAHAGI,15:34,15:35
HITACHI_S_3,7,IWAKI,16:05,16:07
HITACHI_S_3,8,HARANOMACHI,17:20,17:22
HITACHI_S_3,9,SENDAI,18:25,
HITACHI_S_5,1,SHINAGAWA,,16:45
HITACHI_S_5,2,UENO,16:56,16:57
HITACHI_S_5,3,MITO,18:00,18:02
HITACHI_S_5,4,KATSUTA,18:05,18:06
HITACHI_S_5,5,HITACHI,18:20,18:21
HITACHI_S_5,6,TAKAHAGI,18:34,18:35
HITACHI_S_5,7,IWAKI,19:05,19:07
HITACHI_S_5,8,HARANOMACHI,20:20,20:22
HITACHI_S_5,9,SENDAI,21:25,
HITACHI_S_2,1,SENDAI,,06:14
HITACHI_S_2,2,HARANOMACHI,07:17,07:19
HITACHI_S_2,3,IWAKI,08:32,08:34
HITACHI_S_2,4,TAKAHAGI,09:04,09:05
HITACHI_S_2,5,HITACHI,09:18,09:19
HITACHI_S_2,6,KATSUTA,09:33,09:34
HITACHI_S_2,7,MITO,09:37,09:39
HITACHI_S_2,8,UENO,10:42,10:43
HITACHI_S_2,9,SHINAGAWA,10:54,
HITACHI_S_4,1,SENDAI,,11:30
HITACHI_S_4,2,HARANOMACHI,12:33,12:35
HITACHI_S_4,3,IWAKI,13:48,13:50
HITACHI_S_4,4,TAKAHAGI,14:20,14:21
HITACHI_S_4,5,HITACHI,14:34,14:35
HITACHI_S_4,6,KATSUTA,14:49,14:50
HITACHI_S_4,7,MITO,14:53,14:55
HITACHI_S_4,8,UENO,15:58,15:59
HITACHI_S_4,9,SHINAGAWA,16:10,
HITACHI_S_6,1,SENDAI,,15:30
HITACHI_S_6,2,HARANOMACHI,16:33,16:35
HITACHI_S_6,3,IWAKI,17:48,17:50
HITACHI_S_6,4,TAKAHAGI,18:20,18:21
HITACHI_S_6,5,HITACHI,18:34,18:35
HITACHI_S_6,6,KATSUTA,18:49,18:50
HITACHI_S_6,7,MITO,18:53,18:55
HITACHI_S_6,8,UENO,19:58,19:59
HITACHI_S_6,9,SHINAGAWA,20:10,
HITACHI_I_1,1,SHINAGAWA,,06:45
HITACHI_I_1,2,UENO,06:56,06:57
HITACHI_I_1,3,MITO,08:00,08:02
HITACHI_I_1,4,KATSUTA,08:05,08:06
HITACHI_I_1,5,HITACHI,08:20,08:21
HITACHI_I_1,6,TAKAHAGI,08:34,08:35
HITACHI_I_1,7,IWAKI,09:10,
HITACHI_I_3,1,SHINAGAWA,,07:00
HITACHI_I_3,2,UENO,07:11,07:12
HITACHI_I_3,3,MITO,08:15,08:17
HITACHI_I_3,4,KATSUTA,08:20,08:21
HITACHI_I_3,5,HITACHI,08:35,08:36
HITACHI_I_3,6,TAKAHAGI,08:49,08:50
HITACHI_I_3,7,IWAKI,09:25,
HITACHI_I_5,1,SHINAGAWA,,08:00
HITACHI_I_5,2,UENO,08:11,08:12
HITACHI_I_5,3,MITO,09:15,09:17
HITACHI_I_5,4,KATSUTA,09:20,09:21
HITACHI_I_5,5,HITACHI,09:35,09:36
HITACHI_I_5,6,TAKAHAGI,09:49,09:50
HITACHI_I_5,7,IWAKI,10:25,
HITACHI_I_7,1,SHINAGAWA,,10:00
HITACHI_I_7,2,UENO,10:11,10:12
HITACHI_I_7,3,MITO,11:15,11:17
HITACHI_I_7,4,KATSUTA,11:20,11:21
HITACHI_I_7,5,HITACHI,11:35,11:36
HITACHI_I_7,6,TAKAHAGI,11:49,11:50
HITACHI_I_7,7,IWAKI,12:25,
HITACHI_I_9,1,SHINAGAWA,,11:00
HITACHI_I_9,2,UENO,11:11,11:12
HITACHI_I_9,3,MITO,12:15,12:17
HITACHI_I_9,4,KATSUTA,12:20,12:21
HITACHI_I_9,5,HITACHI,12:35,12:36
HITACHI_I_9,6,TAKAHAGI,12:49,12:50
HITACHI_I_9,7,IWAKI,13:25,
HITACHI_I_11,1,SHINAGAWA,,12:00
HITACHI_I_11,2,UENO,12:11,12:12
HITACHI_I_11,3,MITO,13:15,13:17
HITACHI_I_11,4,KATSUTA,13:20,13:21
HITACHI_I_11,5,HITACHI,13:35,13:36
HITACHI_I_11,6,TAKAHAGI,13:49,13:50
HITACHI_I_11,7,IWAKI,14:25,
HITACHI_I_13,1,SHINAGAWA,,14:00
HITACHI_I_13,2,UENO,14:11,14:12
HITACHI_I_13,3,MITO,15:15,15:17
HITACHI_I_13,4,KATSUTA,15:20,15:21
HITACHI_I_13,5,HITACHI,15:35,15:36
HITACHI_I_13,6,TAKAHAGI,15:49,15:50
HITACHI_I_13,7,IWAKI,16:25,
HITACHI_I_15,1,SHINAGAWA,,15:00
HITACHI_I_15,2,UENO,15:11,15:12
HITACHI_I_15,3,MITO,16:15,16:17
HITACHI_I_15,4,KATSUTA,16:20,16:21
HITACHI_I_15,5,HITACHI,16:35,16:36
HITACHI_I_15,6,TAKAHAGI,16:49,16:50
HITACHI_I_15,7,IWAKI,17:25,
HITACHI_I_17,1,SHINAGAWA,,17:45
HITACHI_I_17,2,UENO,17:56,17:57
HITACHI_I_17,3,MITO,19:00,19:02
HITACHI_I_17,4,KATSUTA,19:05,19:06
HITACHI_I_17,5,HITACHI,19:20,19:21
HITACHI_I_17,6,TAKAHAGI,19:34,19:35
HITACHI_I_17,7,IWAKI,20:10,
HITACHI_I_19,1,SHINAGAWA,,18:00
HITACHI_I_19,2,UENO,18:11,18:12
HITACHI_I_19,3,MITO,19:15,19:17
HITACHI_I_19,4,KATSUTA,19:20,19:21
HITACHI_I_19,5,HITACHI,19:35,19:36
HITACHI_I_19,6,TAKAHAGI,19:49,19:50
HITACHI_I_19,7,IWAKI,20:25,
HITACHI_I_21,1,SHINAGAWA,,19:00
HITACHI_I_21,2,UENO,19:11,19:12
HITACHI_I_21,3,MITO,20:15,20:17
HITACHI_I_21,4,KATSUTA,20:20,20:21
HITACHI_I_21,5,HITACHI,20:35,20:36
HITACHI_I_21,6,TAKAHAGI,20:49,20:50
HITACHI_I_21,7,IWAKI,21:25,
HITACHI_I_23,1,SHINAGAWA,,20:00
HITACHI_I_23,2,UENO,20:11,20:12
HITACHI_I_23,3,MITO,21:15,21:17
HITACHI_I_23,4,KATSUTA,21:20,21:21
HITACHI_I_23,5,HITACHI,21:35,21:36
HITACHI_I_23,6,TAKAHAGI,21:49,21:50
HITACHI_I_23,7,IWAKI,22:25,
HITACHI_I_25,1,SHINAGAWA,,21:00
HITACHI_I_25,2,UENO,21:11,21:12
HITACHI_I_25,3,MITO,22:15,22:17
HITACHI_I_25,4,KATSUTA,22:20,22:21
HITACHI_I_25,5,HITACHI,22:35,22:36
HITACHI_I_25,6,TAKAHAGI,22:49,22:50
HITACHI_I_25,7,IWAKI,23:25,
HITACHI_I_2,1,IWAKI,,06:50
HITACHI_I_2,2,TAKAHAGI,07:25,07:26
HITACHI_I_2,3,HITACHI,07:39,07:40
HITACHI_I_2,4,KATSUTA,07:54,07:55
HITACHI_I_2,5,MITO,07:58,08:00
HITACHI_I_2,6,UENO,09:03,09:04
HITACHI_I_2,7,SHINAGAWA,09:15,
HITACHI_I_4,1,IWAKI,,08:00
HITACHI_I_4,2,TAKAHAGI,08:35,08:36
HITACHI_I_4,3,HITACHI,08:49,08:50
HITACHI_I_4,4,KATSUTA,09:04,09:05
HITACHI_I_4,5,MITO,09:08,09:10
HITACHI_I_4,6,UENO,10:13,10:14
HITACHI_I_4,7,SHINAGAWA,10:25,
HITACHI_I_6,1,IWAKI,,09:00
HITACHI_I_6,2,TAKAHAGI,09:35,09:36
HITACHI_I_6,3,HITACHI,09:49,09:50
HITACHI_I_6,4,KATSUTA,10:04,10:05
HITACHI_I_6,5,MITO,10:08,10:10
HITACHI_I_6,6,UENO,11:13,11:14
HITACHI_I_6,7,SHINAGAWA,11:25,
HITACHI_I_8,1,IWAKI,,10:00
HITACHI_I_8,2,TAKAHAGI,10:35,10:36
HITACHI_I_8,3,HITACHI,10:49,10:50
HITACHI_I_8,4,KATSUTA,11:04,11:05
HITACHI_I_8,5,MITO,11:08,11:10
HITACHI_I_8,6,UENO,12:13,12:14
HITACHI_I_8,7,SHINAGAWA,12:25,
HITACHI_I_10,1,IWAKI,,11:00
HITACHI_I_10,2,TAKAHAGI,11:35,11:36
HITACHI_I_10,3,HITACHI,11:49,11:50
HITACHI_I_10,4,KATSUTA,12:04,12:05
HITACHI_I_10,5,MITO,12:08,12:10
HITACHI_I_10,6,UENO,13:13,13:14
HITACHI_I_10,7,SHINAGAWA,13:25,
HITACHI_I_12,1,IWAKI,,12:00
HITACHI_I_12,2,TAKAHAGI,12:35,12:36
HITACHI_I_12,3,HITACHI,12:49,12:50
HITACHI_I_12,4,KATSUTA,13:04,13:05
HITACHI_I_12,5,MITO,13:08,13:10
HITACHI_I_12,6,UENO,14:13,14:14
HITACHI_I_12,7,SHINAGAWA,14:25,
HITACHI_I_14,1,IWAKI,,13:00
HITACHI_I_14,2,TAKAHAGI,13:35,13:36
HITACHI_I_14,3,HITACHI,13:49,13:50
HITACHI_I_14,4,KATSUTA,14:04,14:05
HITACHI_I_14,5,MITO,14:08,14:10
HITACHI_I_14,6,UENO,15:13,15:14
HITACHI_I_14,7,SHINAGAWA,15:25,
HITACHI_I_16,1,IWAKI,,14:00
HITACHI_I_16,2,TAKAHAGI,14:35,14:36
HITACHI_I_16,3,HITACHI,14:49,14:50
HITACHI_I_16,4,KATSUTA,15:04,15:05
HITACHI_I_16,5,MITO,15:08,15:10
HITACHI_I_16,6,UENO,16:13,16:14
HITACHI_I_16,7,SHINAGAWA,16:25,
HITACHI_I_18,1,IWAKI,,16:00
HITACHI_I_18,2,TAKAHAGI,16:35,16:36
HITACHI_I_18,3,HITACHI,16:49,16:50
HITACHI_I_18,4,KATSUTA,17:04,17:05
HITACHI_I_18,5,MITO,17:08,17:10
HITACHI_I_18,6,UENO,18:13,18:14
HITACHI_I_18,7,SHINAGAWA,18:25,
HITACHI_I_20,1,IWAKI,,17:00
HITACHI_I_20,2,TAKAHAGI,17:35,17:36
HITACHI_I_20,3,HITACHI,17:49,17:50
HITACHI_I_20,4,KATSUTA,18:04,18:05
HITACHI_I_20,5,MITO,18:08,18:10
HITACHI_I_20,6,UENO,19:13,19:14
HITACHI_I_20,7,SHINAGAWA,19:25,
HITACHI_I_22,1,IWAKI,,18:00
HITACHI_I_22,2,TAKAHAGI,18:35,18:36
HITACHI_I_22,3,HITACHI,18:49,18:50
HITACHI_I_22,4,KATSUTA,19:04,19:05
HITACHI_I_22,5,MITO,19:08,19:10
HITACHI_I_22,6,UENO,20:13,20:14
HITACHI_I_22,7,SHINAGAWA,20:25,
HITACHI_I_24,1,IWAKI,,19:00
HITACHI_I_24,2,TAKAHAGI,19:35,19:36
HITACHI_I_24,3,HITACHI,19:49,19:50
HITACHI_I_24,4,KATSUTA,20:04,20:05
HITACHI_I_24,5,MITO,20:08,20:10
HITACHI_I_24,6,UENO,21:13,21:14
HITACHI_I_24,7,SHINAGAWA,21:25,
HITACHI_I_26,1,IWAKI,,21:00
HITACHI_I_26,2,TAKAHAGI,21:35,21:36
HITACHI_I_26,3,HITACHI,21:49,21:50
HITACHI_I_26,4,KATSUTA,22:04,22:05
HITACHI_I_26,5,MITO,22:08,22:10
HITACHI_I_26,6,UENO,23:13,23:14
HITACHI_I_26,7,SHINAGAWA,23:25,
TOKIWA_1,1,SHINAGAWA,,06:30
TOKIWA_1,2,UENO,06:41,06:42
TOKIWA_1,3,MITO,07:48,07:50
TOKIWA_1,4,KATSUTA,07:55,
TOKIWA_3,1,SHINAGAWA,,07:30
TOKIWA_3,2,UENO,07:41,07:42
TOKIWA_3,3,MITO,08:48,08:50
TOKIWA_3,4,KATSUTA,08:55,
TOKIWA_5,1,SHINAGAWA,,08:30
TOKIWA_5,2,UENO,08:41,08:42
TOKIWA_5,3,MITO,09:48,09:50
TOKIWA_5,4,KATSUTA,09:55,
TOKIWA_7,1,SHINAGAWA,,09:30
TOKIWA_7,2,UENO,09:41,09:42
TOKIWA_7,3,MITO,10:48,10:50
TOKIWA_7,4,KATSUTA,10:55,
TOKIWA_9,1,SHINAGAWA,,10:30
TOKIWA_9,2,UENO,10:41,10:42
TOKIWA_9,3,MITO,11:48,11:50
TOKIWA_9,4,KATSUTA,11:55,
TOKIWA_11,1,SHINAGAWA,,11:30
TOKIWA_11,2,UENO,11:41,11:42
TOKIWA_11,3,MITO,12:48,12:50
TOKIWA_11,4,KATSUTA,12:55,
TOKIWA_13,1,SHINAGAWA,,12:30
TOKIWA_13,2,UENO,12:41,12:42
TOKIWA_13,3,MITO,13:48,13:50
TOKIWA_13,4,KATSUTA,13:55,
TOKIWA_15,1,SHINAGAWA,,13:30
TOKIWA_15,2,UENO,13:41,13:42
TOKIWA_15,3,MITO,14:48,14:50
TOKIWA_15,4,KATSUTA,14:55,
TOKIWA_17,1,SHINAGAWA,,14:30
TOKIWA_17,2,UENO,14:41,14:42
TOKIWA_17,3,MITO,15:48,15:50
TOKIWA_17,4,KATSUTA,15:55,
TOKIWA_19,1,SHINAGAWA,,15:30
TOKIWA_19,2,UENO,15:41,15:42
TOKIWA_19,3,MITO,16:48,16:50
TOKIWA_19,4,KATSUTA,16:55,
TOKIWA_21,1,SHINAGAWA,,16:30
TOKIWA_21,2,UENO,16:41,16:42
TOKIWA_21,3,MITO,17:48,17:50
TOKIWA_21,4,KATSUTA,17:55,
TOKIWA_23,1,SHINAGAWA,,17:30
TOKIWA_23,2,UENO,17:41,17:42
TOKIWA_23,3,MITO,18:48,18:50
TOKIWA_23,4,KATSUTA,18:55,
TOKIWA_25,1,SHINAGAWA,,18:30
TOKIWA_25,2,UENO,18:41,18:42
TOKIWA_25,3,MITO,19:48,19:50
TOKIWA_25,4,KATSUTA,19:55,
TOKIWA_27,1,SHINAGAWA,,19:30
TOKIWA_27,2,UENO,19:41,19:42
TOKIWA_27,3,MITO,20:48,20:50
TOKIWA_27,4,KATSUTA,20:55,
TOKIWA_29,1,SHINAGAWA,,20:30
TOKIWA_29,2,UENO,20:41,20:42
TOKIWA_29,3,MITO,21:48,21:50
TOKIWA_29,4,KATSUTA,21:55,
TOKIWA_31,1,SHINAGAWA,,21:30
TOKIWA_31,2,UENO,21:41,21:42
TOKIWA_31,3,MITO,22:48,22:50
TOKIWA_31,4,KATSUTA,22:55,
TOKIWA_33,1,SHINAGAWA,,22:30
TOKIWA_33,2,UENO,22:41,22:42
TOKIWA_33,3,MITO,23:48,23:50
TOKIWA_33,4,KATSUTA,23:55,
TOKIWA_2,1,KATSUTA,,06:30
TOKIWA_2,2,MITO,06:35,06:37
TOKIWA_2,3,UENO,07:43,07:44
TOKIWA_2,4,SHINAGAWA,07:55,
TOKIWA_4,1,KATSUTA,,07:30
TOKIWA_4,2,MITO,07:35,07:37
TOKIWA_4,3,UENO,08:43,08:44
TOKIWA_4,4,SHINAGAWA,08:55,
TOKIWA_6,1,KATSUTA,,08:30
TOKIWA_6,2,MITO,08:35,08:37
TOKIWA_6,3,UENO,09:43,09:44
TOKIWA_6,4,SHINAGAWA,09:55,
TOKIWA_8,1,KATSUTA,,09:30
TOKIWA_8,2,MITO,09:35,09:37
TOKIWA_8,3,UENO,10:43,10:44
TOKIWA_8,4,SHINAGAWA,10:55,
TOKIWA_10,1,KATSUTA,,10:30
TOKIWA_10,2,MITO,10:35,10:37
TOKIWA_10,3,UENO,11:43,11:44
TOKIWA_10,4,SHINAGAWA,11:55,
TOKIWA_12,1,KATSUTA,,11:30
TOKIWA_12,2,MITO,11:35,11:37
TOKIWA_12,3,UENO,12:43,12:44
TOKIWA_12,4,SHINAGAWA,12:55,
TOKIWA_14,1,KATSUTA,,12:30
TOKIWA_14,2,MITO,12:35,12:37
TOKIWA_14,3,UENO,13:43,13:44
TOKIWA_14,4,SHINAGAWA,13:55,
TOKIWA_16,1,KATSUTA,,13:30
TOKIWA_16,2,MITO,13:35,13:37
TOKIWA_16,3,UENO,14:43,14:44
TOKIWA_16,4,SHINAGAWA,14:55,
TOKIWA_18,1,KATSUTA,,14:30
TOKIWA_18,2,MITO,14:35,14:37
TOKIWA_18,3,UENO,15:43,15:44
TOKIWA_18,4,SHINAGAWA,15:55,
TOKIWA_20,1,KATSUTA,,15:30
TOKIWA_20,2,MITO,15:35,15:37
TOKIWA_20,3,UENO,16:43,16:44
TOKIWA_20,4,SHINAGAWA,16:55,
TOKIWA_22,1,KATSUTA,,16:30
TOKIWA_22,2,MITO,16:35,16:37
TOKIWA_22,3,UENO,17:43,17:44
TOKIWA_22,4,SHINAGAWA,17:55,
TOKIWA_24,1,KATSUTA,,17:30
TOKIWA_24,2,MITO,17:35,17:37
TOKIWA_24,3,UENO,18:43,18:44
TOKIWA_24,4,SHINAGAWA,18:55,
TOKIWA_26,1,KATSUTA,,18:30
TOKIWA_26,2,MITO,18:35,18:37
TOKIWA_26,3,UENO,19:43,19:44
TOKIWA_26,4,SHINAGAWA,19:55,
TOKIWA_28,1,KATSUTA,,19:30
TOKIWA_28,2,MITO,19:35,19:37
TOKIWA_28,3,UENO,20:43,20:44
TOKIWA_28,4,SHINAGAWA,20:55,
TOKIWA_30,1,KATSUTA,,20:30
TOKIWA_30,2,MITO,20:35,20:37
TOKIWA_30,3,UENO,21:43,21:44
TOKIWA_30,4,SHINAGAWA,21:55,
TOKIWA_32,1,KATSUTA,,21:30
TOKIWA_32,2,MITO,21:35,21:37
TOKIWA_32,3,UENO,22:43,22:44
TOKIWA_32,4,SHINAGAWA,22:55,
TOKIWA_34,1,KATSUTA,,22:30
TOKIWA_34,2,MITO,22:35,22:37
TOKIWA_34,3,UENO,23:43,23:44
TOKIWA_34,4,SHINAGAWA,23:55,
