train_id,name,direction
HITACHI_S_1,ひたち(仙台)1,down
HITACHI_S_3,ひたち(仙台)3,down
HITACHI_S_5,ひたち(仙台)5,down
HITACHI_S_2,ひたち(仙台)2,up
HITACHI_S_4,ひたち(仙台)4,up
HITACHI_S_6,ひたち(仙台)6,up
HITACHI_I_1,ひたち(いわき)1,down
HITACHI_I_3,ひたち(いわき)3,down
HITACHI_I_5,ひたち(いわき)5,down
HITACHI_I_7,ひたち(いわき)7,down
HITACHI_I_9,ひたち(いわき)9,down
HITACHI_I_11,ひたち(いわき)11,down
HITACHI_I_13,ひたち(いわき)13,down
HITACHI_I_15,ひたち(いわき)15,down
HITACHI_I_17,ひたち(いわき)17,down
HITACHI_I_19,ひたち(いわき)19,down
HITACHI_I_21,ひたち(いわき)21,down
HITACHI_I_23,ひたち(いわき)23,down
HITACHI_I_25,ひたち(いわき)25,down
HITACHI_I_27,ひたち(いわき)27,down
HITACHI_I_29,ひたち(いわき)29,down
HITACHI_I_2,ひたち(いわき)2,up
HITACHI_I_4,ひたち(いわき)4,up
HITACHI_I_6,ひたち(いわき)6,up
HITACHI_I_8,ひたち(いわき)8,up
HITACHI_I_10,ひたち(いわき)10,up
HITACHI_I_12,ひたち(いわき)12,up
HITACHI_I_14,ひたち(いわき)14,up
HITACHI_I_16,ひたち(いわき)16,up
HITACHI_I_18,ひたち(いわき)18,up
HITACHI_I_20,ひたち(いわき)20,up
HITACHI_I_22,ひたち(いわき)22,up
HITACHI_I_24,ひたち(いわき)24,up
HITACHI_I_26,ひたち(いわき)26,up
HITACHI_I_28,ひたち(いわき)28,up
HITACHI_I_30,ひたち(いわき)30,up
TOKIWA_1,ときわ(勝田)1,down
TOKIWA_3,ときわ(勝田)3,down
TOKIWA_5,ときわ(勝田)5,down
TOKIWA_7,ときわ(勝田)7,down
TOKIWA_9,ときわ(勝田)9,down
TOKIWA_11,ときわ(勝田)11,down
TOKIWA_13,ときわ(勝田)13,down
TOKIWA_15,ときわ(勝田)15,down
TOKIWA_17,ときわ(勝田)17,down
TOKIWA_19,ときわ(勝田)19,down
TOKIWA_21,ときわ(勝田)21,down
TOKIWA_23,ときわ(勝田)23,down
TOKIWA_25,ときわ(勝田)25,down
TOKIWA_27,ときわ(勝田)27,down
TOKIWA_29,ときわ(勝田)29,down
TOKIWA_31,ときわ(勝田)31,down
TOKIWA_33,ときわ(勝田)33,down
TOKIWA_35,ときわ(勝田)35,down
TOKIWA_37,ときわ(勝田)37,down
TOKIWA_39,ときわ(勝田)39,down
TOKIWA_2,ときわ(勝田)2,up
TOKIWA_4,ときわ(勝田)4,up
TOKIWA_6,ときわ(勝田)6,up
TOKIWA_8,ときわ(勝田)8,up
TOKIWA_10,ときわ(勝田)10,up
TOKIWA_12,ときわ(勝田)12,up
TOKIWA_14,ときわ(勝田)14,up
TOKIWA_16,ときわ(勝田)16,up
TOKIWA_18,ときわ(勝田)18,up
TOKIWA_20,ときわ(勝田)20,up
TOKIWA_22,ときわ(勝田)22,up
TOKIWA_24,ときわ(勝田)24,up
TOKIWA_26,ときわ(勝田)26,up
TOKIWA_28,ときわ(勝田)28,up
TOKIWA_30,ときわ(勝田)30,up
TOKIWA_32,ときわ(勝田)32,up
TOKIWA_34,ときわ(勝田)34,up
TOKIWA_36,ときわ(勝田)36,up
TOKIWA_38,ときわ(勝田)38,up
TOKIWA_40,ときわ(勝田)40,up
