train_id,stop_order,station_id,arrival,departure
HT_1,1,SHINAGAWA,,07:00
HT_1,2,UENO,07:07,07:08
HT_1,3,MITO,08:15,08:17
HT_1,4,KATSUTA,08:22,08:23
HT_1,5,HITACHI,08:40,08:41
HT_1,6,TAKAHAGI,08:58,08:59
HT_1,7,IWAKI,09:20,09:22
HT_1,8,HARANOMACHI,10:20,10:21
HT_1,9,SENDAI,11:20,
HT_3,1,SHINAGAWA,,13:00
HT_3,2,UENO,13:07,13:08
HT_3,3,MITO,14:15,14:17
HT_3,4,KATSUTA,14:22,14:23
HT_3,5,HITACHI,14:40,14:41
HT_3,6,TAKAHAGI,14:58,14:59
HT_3,7,IWAKI,15:20,15:22
HT_3,8,HARANOMACHI,16:20,16:21
HT_3,9,SENDAI,17:20,
HT_5,1,SHINAGAWA,,17:00
HT_5,2,UENO,17:07,17:08
HT_5,3,MITO,18:15,18:17
HT_5,4,KATSUTA,18:22,18:23
HT_5,5,HITACHI,18:40,18:41
HT_5,6,TAKAHAGI,18:58,18:59
HT_5,7,IWAKI,19:20,19:22
HT_5,8,HARANOMACHI,20:20,20:21
HT_5,9,SENDAI,21:20,
HT_7,1,SHINAGAWA,,08:00
HT_7,2,UENO,08:07,08:08
HT_7,3,MITO,09:15,09:17
HT_7,4,KATSUTA,09:22,09:23
HT_7,5,HITACHI,09:40,09:41
HT_7,6,TAKAHAGI,09:58,09:59
HT_7,7,IWAKI,10:20,
HT_9,1,SHINAGAWA,,09:00
HT_9,2,UENO,09:07,09:08
HT_9,3,MITO,10:15,10:17
HT_9,4,KATSUTA,10:22,10:23
HT_9,5,HITACHI,10:40,10:41
HT_9,6,TAKAHAGI,10:58,10:59
HT_9,7,IWAKI,11:20,
HT_11,1,SHINAGAWA,,11:00
HT_11,2,UENO,11:07,11:08
HT_11,3,MITO,12:15,12:17
HT_11,4,KATSUTA,12:22,12:23
HT_11,5,HITACHI,12:40,12:41
HT_11,6,TAKAHAGI,12:58,12:59
HT_11,7,IWAKI,13:20,
HT_13,1,SHINAGAWA,,12:00
HT_13,2,UENO,12:07,12:08
HT_13,3,MITO,13:15,13:17
HT_13,4,KATSUTA,13:22,13:23
HT_13,5,HITACHI,13:40,13:41
HT_13,6,TAKAHAGI,13:58,13:59
HT_13,7,IWAKI,14:20,
HT_15,1,SHINAGAWA,,14:00
HT_15,2,UENO,14:07,14:08
HT_15,3,MITO,15:15,15:17
HT_15,4,KATSUTA,15:22,15:23
HT_15,5,HITACHI,15:40,15:41
HT_15,6,TAKAHAGI,15:58,15:59
HT_15,7,IWAKI,16:20,
HT_17,1,SHINAGAWA,,15:00
HT_17,2,UENO,15:07,15:08
HT_17,3,MITO,16:15,16:17
HT_17,4,KATSUTA,16:22,16:23
HT_17,5,HITACHI,16:40,16:41
HT_17,6,TAKAHAGI,16:58,16:59
HT_17,7,IWAKI,17:20,
HT_19,1,SHINAGAWA,,18:00
HT_19,2,UENO,18:07,18:08
HT_19,3,MITO,19:15,19:17
HT_19,4,KATSUTA,19:22,19:23
HT_19,5,HITACHI,19:40,19:41
HT_19,6,TAKAHAGI,19:58,19:59
HT_19,7,IWAKI,20:20,
HT_21,1,SHINAGAWA,,19:00
HT_21,2,UENO,19:07,19:08
HT_21,3,MITO,20:15,20:17
HT_21,4,KATSUTA,20:22,20:23
HT_21,5,HITACHI,20:40,20:41
HT_21,6,TAKAHAGI,20:58,20:59
HT_21,7,IWAKI,21:20,
TW_23,1,SHINAGAWA,,07:30
TW_23,2,UENO,07:37,07:38
TW_23,3,MITO,08:55,08:57
TW_23,4,KATSUTA,09:05,
TW_25,1,SHINAGAWA,,08:30
TW_25,2,UENO,08:37,08:38
TW_25,3,MITO,09:55,09:57
TW_25,4,KATSUTA,10:05,
TW_27,1,SHINAGAWA,,10:00
TW_27,2,UENO,10:07,10:08
TW_27,3,MITO,11:25,11:27
TW_27,4,KATSUTA,11:35,
TW_29,1,SHINAGAWA,,11:30
TW_29,2,UENO,11:37,11:38
TW_29,3,MITO,12:55,12:57
TW_29,4,KATSUTA,13:05,
TW_31,1,SHINAGAWA,,13:30
TW_31,2,UENO,13:37,13:38
TW_31,3,MITO,14:55,14:57
TW_31,4,KATSUTA,15:05,
TW_33,1,SHINAGAWA,,15:30
TW_33,2,UENO,15:37,15:38
TW_33,3,MITO,16:55,16:57
TW_33,4,KATSUTA,17:05,
TW_35,1,SHINAGAWA,,16:30
TW_35,2,UENO,16:37,16:38
TW_35,3,MITO,17:55,17:57
TW_35,4,KATSUTA,18:05,
TW_37,1,SHINAGAWA,,18:30
TW_37,2,UENO,18:37,18:38
TW_37,3,MITO,19:55,19:57
TW_37,4,KATSUTA,20:05,
TW_39,1,SHINAGAWA,,20:00
TW_39,2,UENO,20:07,20:08
TW_39,3,MITO,21:25,21:27
TW_39,4,KATSUTA,21:35,
HT_2,1,SENDAI,,06:00
HT_2,2,HARANOMACHI,06:55,06:56
HT_2,3,IWAKI,07:56,07:58
HT_2,4,TAKAHAGI,08:20,08:21
HT_2,5,HITACHI,08:38,08:39
HT_2,6,KATSUTA,08:56,08:57
HT_2,7,MITO,09:04,09:06
HT_2,8,UENO,10:12,10:13
HT_2,9,SHINAGAWA,10:20,
HT_4,1,SENDAI,,11:00
HT_4,2,HARANOMACHI,11:55,11:56
HT_4,3,IWAKI,12:56,12:58
HT_4,4,TAKAHAGI,13:20,13:21
HT_4,5,HITACHI,13:38,13:39
HT_4,6,KATSUTA,13:56,13:57
HT_4,7,MITO,14:04,14:06
HT_4,8,UENO,15:12,15:13
HT_4,9,SHINAGAWA,15:20,
HT_6,1,SENDAI,,15:00
HT_6,2,HARANOMACHI,15:55,15:56
HT_6,3,IWAKI,16:56,16:58
HT_6,4,TAKAHAGI,17:20,17:21
HT_6,5,HITACHI,17:38,17:39
HT_6,6,KATSUTA,17:56,17:57
HT_6,7,MITO,18:04,18:06
HT_6,8,UENO,19:12,19:13
HT_6,9,SHINAGAWA,19:20,
HT_8,1,IWAKI,,07:00
HT_8,2,TAKAHAGI,07:22,07:23
HT_8,3,HITACHI,07:40,07:41
HT_8,4,KATSUTA,07:58,07:59
HT_8,5,MITO,08:06,08:08
HT_8,6,UENO,09:13,09:14
HT_8,7,SHINAGAWA,09:20,
HT_10,1,IWAKI,,08:30
HT_10,2,TAKAHAGI,08:52,08:53
HT_10,3,HITACHI,09:10,09:11
HT_10,4,KATSUTA,09:28,09:29
HT_10,5,MITO,09:36,09:38
HT_10,6,UENO,10:43,10:44
HT_10,7,SHINAGAWA,10:50,
