train_id,stop_order,station_id,arrival,departure
HAYABUSA_HKD_1,1,SHIN_AOMORI,,06:38
HAYABUSA_HKD_1,2,OKUTSUGARU_IMABETSU,07:05,07:06
HAYABUSA_HKD_1,3,KIKONAI,07:38,07:39
HAYABUSA_HKD_1,4,SHIN_HAKODATE_HOKUTO,07:58,
HAYABUSA_HKD_3,1,SHIN_AOMORI,,09:32
HAYABUSA_HKD_3,2,OKUTSUGARU_IMABETSU,09:59,10:00
HAYABUSA_HKD_3,3,KIKONAI,10:32,10:33
HAYABUSA_HKD_3,4,SHIN_HAKODATE_HOKUTO,10:52,
HAYABUSA_HKD_5,1,SHIN_AOMORI,,09:48
HAYABUSA_HKD_5,2,OKUTSUGARU_IMABETSU,10:15,10:16
HAYABUSA_HKD_5,3,KIKONAI,10:48,10:49
HAYABUSA_HKD_5,4,SHIN_HAKODATE_HOKUTO,11:08,
HAYABUSA_HKD_7,1,SHIN_AOMORI,,11:53
HAYABUSA_HKD_7,2,OKUTSUGARU_IMABETSU,12:20,12:21
HAYABUSA_HKD_7,3,KIKONAI,12:53,12:54
HAYABUSA_HKD_7,4,SHIN_HAKODATE_HOKUTO,13:13,
HAYABUSA_HKD_9,1,SHIN_AOMORI,,13:35
HAYABUSA_HKD_9,2,OKUTSUGARU_IMABETSU,14:02,14:03
HAYABUSA_HKD_9,3,KIKONAI,14:35,14:36
HAYABUSA_HKD_9,4,SHIN_HAKODATE_HOKUTO,14:55,
HAYABUSA_HKD_11,1,SHIN_AOMORI,,14:35
HAYABUSA_HKD_11,2,OKUTSUGARU_IMABETSU,15:02,15:03
HAYABUSA_HKD_11,3,KIKONAI,15:35,15:36
HAYABUSA_HKD_11,4,SHIN_HAKODATE_HOKUTO,15:55,
HAYABUSA_HKD_13,1,SHIN_AOMORI,,15:38
HAYABUSA_HKD_13,2,OKUTSUGARU_IMABETSU,16:05,16:06
HAYABUSA_HKD_13,3,KIKONAI,16:38,16:39
HAYABUSA_HKD_13,4,SHIN_HAKODATE_HOKUTO,16:58,
HAYABUSA_HKD_15,1,SHIN_AOMORI,,16:38
HAYABUSA_HKD_15,2,OKUTSUGARU_IMABETSU,17:05,17:06
HAYABUSA_HKD_15,3,KIKONAI,17:38,17:39
HAYABUSA_HKD_15,4,SHIN_HAKODATE_HOKUTO,17:58,
HAYABUSA_HKD_17,1,SHIN_AOMORI,,17:38
HAYABUSA_HKD_17,2,OKUTSUGARU_IMABETSU,18:05,18:06
HAYABUSA_HKD_17,3,KIKONAI,18:38,18:39
HAYABUSA_HKD_17,4,SHIN_HAKODATE_HOKUTO,18:58,
HAYABUSA_HKD_19,1,SHIN_AOMORI,,18:38
HAYABUSA_HKD_19,2,OKUTSUGARU_IMABETSU,19:05,19:06
HAYABUSA_HKD_19,3,KIKONAI,19:38,19:39
HAYABUSA_HKD_19,4,SHIN_HAKODATE_HOKUTO,19:58,
HAYABUSA_HKD_21,1,SHIN_AOMORI,,19:48
HAYABUSA_HKD_21,2,OKUTSUGARU_IMABETSU,20:15,20:16
HAYABUSA_HKD_21,3,KIKONAI,20:48,20:49
HAYABUSA_HKD_21,4,SHIN_HAKODATE_HOKUTO,21:08,
HAYABUSA_HKD_23,1,SHIN_AOMORI,,21:38
HAYABUSA_HKD_23,2,OKUTSUGARU_IMABETSU,22:05,22:06
HAYABUSA_HKD_23,3,KIKONAI,22:38,22:39
HAYABUSA_HKD_23,4,SHIN_HAKODATE_HOKUTO,22:58,
HAYABUSA_HKD_2,1,SHIN_HAKODATE_HOKUTO,,06:35
HAYABUSA_HKD_2,2,KIKONAI,06:54,06:55
HAYABUSA_HKD_2,3,OKUTSUGARU_IMABETSU,07:27,07:28
HAYABUSA_HKD_2,4,SHIN_AOMORI,07:55,
