train_id,stop_order,station_id,arrival,departure
HOKKAIDO_1,1,SHIN_AOMORI,,06:00
HOKKAIDO_1,2,OKUTSUGARU_IMABETSU,06:30,06:31
HOKKAIDO_1,3,KIKONAI,06:56,06:57
HOKKAIDO_1,4,SHIN_HAKODATE_HOKUTO,07:15,
HOKKAIDO_3,1,SHIN_AOMORI,,07:00
HOKKAIDO_3,2,OKUTSUGARU_IMABETSU,07:30,07:31
HOKKAIDO_3,3,KIKONAI,07:56,07:57
HOKKAIDO_3,4,SHIN_HAKODATE_HOKUTO,08:15,
HOKKAIDO_5,1,SHIN_AOMORI,,08:00
HOKKAIDO_5,2,OKUTSUGARU_IMABETSU,08:30,08:31
HOKKAIDO_5,3,KIKONAI,08:56,08:57
HOKKAIDO_5,4,SHIN_HAKODATE_HOKUTO,09:15,
HOKKAIDO_7,1,SHIN_AOMORI,,09:00
HOKKAIDO_7,2,OKUTSUGARU_IMABETSU,09:30,09:31
HOKKAIDO_7,3,KIKONAI,09:56,09:57
HOKKAIDO_7,4,SHIN_HAKODATE_HOKUTO,10:15,
HOKKAIDO_9,1,SHIN_AOMORI,,10:00
HOKKAIDO_9,2,OKUTSUGARU_IMABETSU,10:30,10:31
HOKKAIDO_9,3,KIKONAI,10:56,10:57
HOKKAIDO_9,4,SHIN_HAKODATE_HOKUTO,11:15,
HOKKAIDO_11,1,SHIN_AOMORI,,11:00
HOKKAIDO_11,2,OKUTSUGARU_IMABETSU,11:30,11:31
HOKKAIDO_11,3,KIKONAI,11:56,11:57
HOKKAIDO_11,4,SHIN_HAKODATE_HOKUTO,12:15,
HOKKAIDO_13,1,SHIN_AOMORI,,12:00
HOKKAIDO_13,2,OKUTSUGARU_IMABETSU,12:30,12:31
HOKKAIDO_13,3,KIKONAI,12:56,12:57
HOKKAIDO_13,4,SHIN_HAKODATE_HOKUTO,13:15,
HOKKAIDO_15,1,SHIN_AOMORI,,13:00
HOKKAIDO_15,2,OKUTSUGARU_IMABETSU,13:30,13:31
HOKKAIDO_15,3,KIKONAI,13:56,13:57
HOKKAIDO_15,4,SHIN_HAKODATE_HOKUTO,14:15,
HOKKAIDO_17,1,SHIN_AOMORI,,14:00
HOKKAIDO_17,2,OKUTSUGARU_IMABETSU,14:30,14:31
HOKKAIDO_17,3,KIKONAI,14:56,14:57
HOKKAIDO_17,4,SHIN_HAKODATE_HOKUTO,15:15,
HOKKAIDO_19,1,SHIN_AOMORI,,15:00
HOKKAIDO_19,2,OKUTSUGARU_IMABETSU,15:30,15:31
HOKKAIDO_19,3,KIKONAI,15:56,15:57
HOKKAIDO_19,4,SHIN_HAKODATE_HOKUTO,16:15,
HOKKAIDO_21,1,SHIN_AOMORI,,16:00
HOKKAIDO_21,2,OKUTSUGARU_IMABETSU,16:30,16:31
HOKKAIDO_21,3,KIKONAI,16:56,16:57
HOKKAIDO_21,4,SHIN_HAKODATE_HOKUTO,17:15,
HOKKAIDO_23,1,SHIN_AOMORI,,17:00
HOKKAIDO_23,2,OKUTSUGARU_IMABETSU,17:30,17:31
HOKKAIDO_23,3,KIKONAI,17:56,17:57
HOKKAIDO_23,4,SHIN_HAKODATE_HOKUTO,18:15,
HOKKAIDO_25,1,SHIN_AOMORI,,18:00
HOKKAIDO_25,2,OKUTSUGARU_IMABETSU,18:30,18:31
HOKKAIDO_25,3,KIKONAI,18:56,18:57
HOKKAIDO_25,4,SHIN_HAKODATE_HOKUTO,19:15,
HOKKAIDO_27,1,SHIN_AOMORI,,19:00
HOKKAIDO_27,2,OKUTSUGARU_IMABETSU,19:30,19:31
HOKKAIDO_27,3,KIKONAI,19:56,19:57
HOKKAIDO_27,4,SHIN_HAKODATE_HOKUTO,20:15,
HOKKAIDO_29,1,SHIN_AOMORI,,20:00
HOKKAIDO_29,2,OKUTSUGARU_IMABETSU,20:30,20:31
HOKKAIDO_29,3,KIKONAI,20:56,20:57
HOKKAIDO_29,4,SHIN_HAKODATE_HOKUTO,21:15,
HOKKAIDO_31,1,SHIN_AOMORI,,21:00
HOKKAIDO_31,2,OKUTSUGARU_IMABETSU,21:30,21:31
