train_id,stop_order,station_id,arrival,departure
KAGAYAKI_1,1,TAKASAKI,,07:06
KAGAYAKI_1,2,NAGANO,07:53,07:55
KAGAYAKI_1,3,TOYAMA,08:52,08:54
KAGAYAKI_1,4,KANAZAWA,09:17,09:19
KAGAYAKI_1,5,FUKUI,10:04,10:06
KAGAYAKI_1,6,TSURUGA,10:26,
KAGAYAKI_3,1,TAKASAKI,,07:46
KAGAYAKI_3,2,NAGANO,08:33,08:35
KAGAYAKI_3,3,TOYAMA,09:32,09:34
KAGAYAKI_3,4,KANAZAWA,09:57,09:59
KAGAYAKI_3,5,FUKUI,10:44,10:46
KAGAYAKI_3,6,TSURUGA,11:06,
KAGAYAKI_5,1,TAKASAKI,,08:14
KAGAYAKI_5,2,NAGANO,09:01,09:03
KAGAYAKI_5,3,TOYAMA,10:00,10:02
KAGAYAKI_5,4,KANAZAWA,10:25,10:27
KAGAYAKI_5,5,FUKUI,11:12,11:14
KAGAYAKI_5,6,TSURUGA,11:34,
KAGAYAKI_7,1,TAKASAKI,,10:14
KAGAYAKI_7,2,NAGANO,11:01,11:03
KAGAYAKI_7,3,TOYAMA,12:00,12:02
KAGAYAKI_7,4,KANAZAWA,12:25,12:27
KAGAYAKI_7,5,FUKUI,13:12,13:14
KAGAYAKI_7,6,TSURUGA,13:34,
KAGAYAKI_9,1,TAKASAKI,,15:14
KAGAYAKI_9,2,NAGANO,16:01,16:03
KAGAYAKI_9,3,TOYAMA,17:00,17:02
KAGAYAKI_9,4,KANAZAWA,17:25,17:27
KAGAYAKI_9,5,FUKUI,18:12,18:14
KAGAYAKI_9,6,TSURUGA,18:34,
KAGAYAKI_11,1,TAKASAKI,,17:14
KAGAYAKI_11,2,NAGANO,18:01,18:03
KAGAYAKI_11,3,TOYAMA,19:00,19:02
KAGAYAKI_11,4,KANAZAWA,19:25,19:27
KAGAYAKI_11,5,FUKUI,20:12,20:14
KAGAYAKI_11,6,TSURUGA,20:34,
KAGAYAKI_13,1,TAKASAKI,,19:14
KAGAYAKI_13,2,NAGANO,20:01,20:03
KAGAYAKI_13,3,TOYAMA,21:00,21:02
KAGAYAKI_13,4,KANAZAWA,21:25,21:27
KAGAYAKI_13,5,FUKUI,22:12,22:14
KAGAYAKI_13,6,TSURUGA,22:34,
KAGAYAKI_15,1,TAKASAKI,,20:14
KAGAYAKI_15,2,NAGANO,21:01,21:03
KAGAYAKI_15,3,TOYAMA,22:00,22:02
KAGAYAKI_15,4,KANAZAWA,22:25,22:27
KAGAYAKI_15,5,FUKUI,23:12,23:14
KAGAYAKI_15,6,TSURUGA,23:34,
KAGAYAKI_17,1,TAKASAKI,,20:54
KAGAYAKI_17,2,NAGANO,21:41,21:43
KAGAYAKI_17,3,TOYAMA,22:40,22:42
KAGAYAKI_17,4,KANAZAWA,23:05,23:07
KAGAYAKI_17,5,FUKUI,23:52,23:54
KAGAYAKI_17,6,TSURUGA,24:14,
KAGAYAKI_2,1,TSURUGA,,06:11
KAGAYAKI_2,2,FUKUI,06:31,06:33
KAGAYAKI_2,3,KANAZAWA,07:18,07:20
KAGAYAKI_2,4,TOYAMA,07:43,07:45
KAGAYAKI_2,5,NAGANO,08:42,08:44
KAGAYAKI_2,6,TAKASAKI,09:31,
KAGAYAKI_4,1,TSURUGA,,07:00
KAGAYAKI_4,2,FUKUI,07:20,07:22
KAGAYAKI_4,3,KANAZAWA,08:07,08:09
KAGAYAKI_4,4,TOYAMA,08:32,08:34
KAGAYAKI_4,5,NAGANO,09:31,09:33
KAGAYAKI_4,6,TAKASAKI,10:20,
KAGAYAKI_6,1,TSURUGA,,08:00
KAGAYAKI_6,2,FUKUI,08:20,08:22
KAGAYAKI_6,3,KANAZAWA,09:07,09:09
KAGAYAKI_6,4,TOYAMA,09:32,09:34
KAGAYAKI_6,5,NAGANO,10:31,10:33
KAGAYAKI_6,6,TAKASAKI,11:20,
KAGAYAKI_8,1,TSURUGA,,10:00
KAGAYAKI_8,2,FUKUI,10:20,10:22
KAGAYAKI_8,3,KANAZAWA,11:07,11:09
KAGAYAKI_8,4,TOYAMA,11:32,11:34
KAGAYAKI_8,5,NAGANO,12:31,12:33
KAGAYAKI_8,6,TAKASAKI,13:20,
KAGAYAKI_10,1,TSURUGA,,14:25
KAGAYAKI_10,2,FUKUI,14:45,14:47
KAGAYAKI_10,3,KANAZAWA,15:32,15:34
KAGAYAKI_10,4,TOYAMA,15:57,15:59
KAGAYAKI_10,5,NAGANO,16:56,16:58
KAGAYAKI_10,6,TAKASAKI,17:45,
KAGAYAKI_12,1,TSURUGA,,16:25
KAGAYAKI_12,2,FUKUI,16:45,16:47
KAGAYAKI_12,3,KANAZAWA,17:32,17:34
KAGAYAKI_12,4,TOYAMA,17:57,17:59
KAGAYAKI_12,5,NAGANO,18:56,18:58
KAGAYAKI_12,6,TAKASAKI,19:45,
KAGAYAKI_14,1,TSURUGA,,18:25
KAGAYAKI_14,2,FUKUI,18:45,18:47
KAGAYAKI_14,3,KANAZAWA,19:32,19:34
KAGAYAKI_14,4,TOYAMA,19:57,19:59
KAGAYAKI_14,5,NAGANO,20:56,20:58
KAGAYAKI_14,6,TAKASAKI,21:45,
KAGAYAKI_16,1,TSURUGA,,19:00
KAGAYAKI_16,2,FUKUI,19:20,19:22
KAGAYAKI_16,3,KANAZAWA,20:07,20:09
KAGAYAKI_16,4,TOYAMA,20:32,20:34
KAGAYAKI_16,5,NAGANO,21:31,21:33
KAGAYAKI_16,6,TAKASAKI,22:20,
KAGAYAKI_18,1,TSURUGA,,20:11
KAGAYAKI_18,2,FUKUI,20:31,20:33
KAGAYAKI_18,3,KANAZAWA,21:18,21:20
KAGAYAKI_18,4,TOYAMA,21:43,21:45
KAGAYAKI_18,5,NAGANO,22:42,22:44
KAGAYAKI_18,6,TAKASAKI,23:31,
