train_id,stop_order,station_id,arrival,departure
HOKUTO_1,1,HAKODATE,,06:00
HOKUTO_1,2,SHIN_HAKODATE_HOKUTO,06:16,06:17
HOKUTO_1,3,MORI,06:45,06:46
HOKUTO_1,4,OSHAMAMBE,07:22,07:23
HOKUTO_1,5,HIGASHI_MURORAN,08:23,08:25
HOKUTO_1,6,TOMAKOMAI,08:55,08:56
HOKUTO_1,7,MINAMI_CHITOSE,09:20,09:21
HOKUTO_1,8,SAPPORO,09:37,
HOKUTO_3,1,HAKODATE,,07:30
HOKUTO_3,2,SHIN_HAKODATE_HOKUTO,07:46,07:47
HOKUTO_3,3,MORI,08:15,08:16
HOKUTO_3,4,OSHAMAMBE,08:52,08:53
HOKUTO_3,5,HIGASHI_MURORAN,09:53,09:55
HOKUTO_3,6,TOMAKOMAI,10:25,10:26
HOKUTO_3,7,MINAMI_CHITOSE,10:50,10:51
HOKUTO_3,8,SAPPORO,11:07,
HOKUTO_5,1,HAKODATE,,09:08
HOKUTO_5,2,SHIN_HAKODATE_HOKUTO,09:24,09:25
HOKUTO_5,3,MORI,09:53,09:54
HOKUTO_5,4,OSHAMAMBE,10:30,10:31
HOKUTO_5,5,HIGASHI_MURORAN,11:31,11:33
HOKUTO_5,6,TOMAKOMAI,12:03,12:04
HOKUTO_5,7,MINAMI_CHITOSE,12:28,12:29
HOKUTO_5,8,SAPPORO,12:45,
HOKUTO_7,1,HAKODATE,,10:53
HOKUTO_7,2,SHIN_HAKODATE_HOKUTO,11:09,11:10
HOKUTO_7,3,MORI,11:38,11:39
HOKUTO_7,4,OSHAMAMBE,12:15,12:16
HOKUTO_7,5,HIGASHI_MURORAN,13:16,13:18
HOKUTO_7,6,TOMAKOMAI,13:48,13:49
HOKUTO_7,7,MINAMI_CHITOSE,14:13,14:14
HOKUTO_7,8,SAPPORO,14:30,
HOKUTO_9,1,HAKODATE,,12:43
HOKUTO_9,2,SHIN_HAKODATE_HOKUTO,12:59,13:00
HOKUTO_9,3,MORI,13:28,13:29
HOKUTO_9,4,OSHAMAMBE,14:05,14:06
HOKUTO_9,5,HIGASHI_MURORAN,15:06,15:08
HOKUTO_9,6,TOMAKOMAI,15:38,15:39
HOKUTO_9,7,MINAMI_CHITOSE,16:03,16:04
HOKUTO_9,8,SAPPORO,16:20,
HOKUTO_11,1,HAKODATE,,14:13
HOKUTO_11,2,SHIN_HAKODATE_HOKUTO,14:29,14:30
HOKUTO_11,3,MORI,14:58,14:59
HOKUTO_11,4,OSHAMAMBE,15:35,15:36
HOKUTO_11,5,HIGASHI_MURORAN,16:36,16:38
HOKUTO_11,6,TOMAKOMAI,17:08,17:09
HOKUTO_11,7,MINAMI_CHITOSE,17:33,17:34
HOKUTO_11,8,SAPPORO,17:50,
HOKUTO_13,1,HAKODATE,,15:43
HOKUTO_13,2,SHIN_HAKODATE_HOKUTO,15:59,16:00
HOKUTO_13,3,MORI,16:28,16:29
HOKUTO_13,4,OSHAMAMBE,17:05,17:06
HOKUTO_13,5,HIGASHI_MURORAN,18:06,18:08
HOKUTO_13,6,TOMAKOMAI,18:38,18:39
HOKUTO_13,7,MINAMI_CHITOSE,19:03,19:04
HOKUTO_13,8,SAPPORO,19:20,
HOKUTO_15,1,HAKODATE,,17:13
HOKUTO_15,2,SHIN_HAKODATE_HOKUTO,17:29,17:30
HOKUTO_15,3,MORI,17:58,17:59
HOKUTO_15,4,OSHAMAMBE,18:35,18:36
HOKUTO_15,5,HIGASHI_MURORAN,19:36,19:38
HOKUTO_15,6,TOMAKOMAI,20:08,20:09
HOKUTO_15,7,MINAMI_CHITOSE,20:33,20:34
HOKUTO_15,8,SAPPORO,20:50,
HOKUTO_17,1,HAKODATE,,18:43
HOKUTO_17,2,SHIN_HAKODATE_HOKUTO,18:59,19:00
HOKUTO_17,3,MORI,19:28,19:29
HOKUTO_17,4,OSHAMAMBE,20:05,20:06
HOKUTO_17,5,HIGASHI_MURORAN,21:06,21:08
HOKUTO_17,6,TOMAKOMAI,21:38,21:39
HOKUTO_17,7,MINAMI_CHITOSE,22:03,22:04
HOKUTO_17,8,SAPPORO,22:20,
HOKUTO_19,1,HAKODATE,,20:23
HOKUTO_19,2,SHIN_HAKODATE_HOKUTO,20:39,20:40
HOKUTO_19,3,MORI,21:08,21:09
HOKUTO_19,4,OSHAMAMBE,21:45,21:46
HOKUTO_19,5,HIGASHI_MURORAN,22:46,22:48
HOKUTO_19,6,TOMAKOMAI,23:18,23:19
HOKUTO_19,7,MINAMI_CHITOSE,23:43,23:44
HOKUTO_19,8,SAPPORO,24:00,
HOKUTO_21,1,HAKODATE,,21:30
HOKUTO_21,2,SHIN_HAKODATE_HOKUTO,21:46,21:47
HOKUTO_21,3,MORI,22:15,22:16
HOKUTO_21,4,OSHAMAMBE,22:52,22:53
HOKUTO_21,5,HIGASHI_MURORAN,23:53,23:55
HOKUTO_21,6,TOMAKOMAI,24:25,24:26
HOKUTO_21,7,MINAMI_CHITOSE,24:50,24:51
HOKUTO_21,8,SAPPORO,25:07,
HOKUTO_2,1,SAPPORO,,06:00
HOKUTO_2,2,MINAMI_CHITOSE,06:16,06:17
HOKUTO_2,3,TOMAKOMAI,06:41,06:42
HOKUTO_2,4,HIGASHI_MURORAN,07:12,07:14
HOKUTO_2,5,OSHAMAMBE,08:14,08:15
HOKUTO_2,6,MORI,08:51,08:52
HOKUTO_2,7,SHIN_HAKODATE_HOKUTO,09:20,09:21
HOKUTO_2,8,HAKODATE,09:37,
HOKUTO_4,1,SAPPORO,,07:30
HOKUTO_4,2,MINAMI_CHITOSE,07:46,07:47
HOKUTO_4,3,TOMAKOMAI,08:11,08:12
