train_id,stop_order,station_id,arrival,departure
HOKUTO_1,1,HAKODATE,,06:00
HOKUTO_1,2,SHIN_HAKODATE_HOKUTO,06:20,06:21
HOKUTO_1,3,MORI,06:50,06:51
HOKUTO_1,4,OSHAMAMBE,07:35,07:36
HOKUTO_1,5,HIGASHI_MURORAN,08:10,08:11
HOKUTO_1,6,TOMAKOMAI,08:50,08:51
HOKUTO_1,7,MINAMI_CHITOSE,09:05,09:06
HOKUTO_1,8,SAPPORO,09:40,
HOKUTO_3,1,HAKODATE,,07:00
HOKUTO_3,2,SHIN_HAKODATE_HOKUTO,07:20,07:21
HOKUTO_3,3,MORI,07:50,07:51
HOKUTO_3,4,OSHAMAMBE,08:35,08:36
HOKUTO_3,5,HIGASHI_MURORAN,09:10,09:11
HOKUTO_3,6,TOMAKOMAI,09:50,09:51
HOKUTO_3,7,MINAMI_CHITOSE,10:05,10:06
HOKUTO_3,8,SAPPORO,10:40,
HOKUTO_5,1,HAKODATE,,08:00
HOKUTO_5,2,SHIN_HAKODATE_HOKUTO,08:20,08:21
HOKUTO_5,3,MORI,08:50,08:51
HOKUTO_5,4,OSHAMAMBE,09:35,09:36
HOKUTO_5,5,HIGASHI_MURORAN,10:10,10:11
HOKUTO_5,6,TOMAKOMAI,10:50,10:51
HOKUTO_5,7,MINAMI_CHITOSE,11:05,11:06
HOKUTO_5,8,SAPPORO,11:40,
HOKUTO_7,1,HAKODATE,,09:00
HOKUTO_7,2,SHIN_HAKODATE_HOKUTO,09:20,09:21
HOKUTO_7,3,MORI,09:50,09:51
HOKUTO_7,4,OSHAMAMBE,10:35,10:36
HOKUTO_7,5,HIGASHI_MURORAN,11:10,11:11
HOKUTO_7,6,TOMAKOMAI,11:50,11:51
HOKUTO_7,7,MINAMI_CHITOSE,12:05,12:06
HOKUTO_7,8,SAPPORO,12:40,
HOKUTO_9,1,HAKODATE,,10:00
HOKUTO_9,2,SHIN_HAKODATE_HOKUTO,10:20,10:21
HOKUTO_9,3,MORI,10:50,10:51
HOKUTO_9,4,OSHAMAMBE,11:35,11:36
HOKUTO_9,5,HIGASHI_MURORAN,12:10,12:11
HOKUTO_9,6,TOMAKOMAI,12:50,12:51
HOKUTO_9,7,MINAMI_CHITOSE,13:05,13:06
HOKUTO_9,8,SAPPORO,13:40,
HOKUTO_11,1,HAKODATE,,11:00
HOKUTO_11,2,SHIN_HAKODATE_HOKUTO,11:20,11:21
HOKUTO_11,3,MORI,11:50,11:51
HOKUTO_11,4,OSHAMAMBE,12:35,12:36
HOKUTO_11,5,HIGASHI_MURORAN,13:10,13:11
HOKUTO_11,6,TOMAKOMAI,13:50,13:51
HOKUTO_11,7,MINAMI_CHITOSE,14:05,14:06
HOKUTO_11,8,SAPPORO,14:40,
HOKUTO_13,1,HAKODATE,,12:00
HOKUTO_13,2,SHIN_HAKODATE_HOKUTO,12:20,12:21
HOKUTO_13,3,MORI,12:50,12:51
HOKUTO_13,4,OSHAMAMBE,13:35,13:36
HOKUTO_13,5,HIGASHI_MURORAN,14:10,14:11
HOKUTO_13,6,TOMAKOMAI,14:50,14:51
HOKUTO_13,7,MINAMI_CHITOSE,15:05,15:06
HOKUTO_13,8,SAPPORO,15:40,
HOKUTO_15,1,HAKODATE,,13:00
HOKUTO_15,2,SHIN_HAKODATE_HOKUTO,13:20,13:21
HOKUTO_15,3,MORI,13:50,13:51
HOKUTO_15,4,OSHAMAMBE,14:35,14:36
HOKUTO_15,5,HIGASHI_MURORAN,15:10,15:11
HOKUTO_15,6,TOMAKOMAI,15:50,15:51
HOKUTO_15,7,MINAMI_CHITOSE,16:05,16:06
HOKUTO_15,8,SAPPORO,16:40,
HOKUTO_17,1,HAKODATE,,14:00
HOKUTO_17,2,SHIN_HAKODATE_HOKUTO,14:20,14:21
HOKUTO_17,3,MORI,14:50,14:51
HOKUTO_17,4,OSHAMAMBE,15:35,15:36
HOKUTO_17,5,HIGASHI_MURORAN,16:10,16:11
HOKUTO_17,6,TOMAKOMAI,16:50,16:51
HOKUTO_17,7,MINAMI_CHITOSE,17:05,17:06
HOKUTO_17,8,SAPPORO,17:40,
HOKUTO_19,1,HAKODATE,,15:00
HOKUTO_19,2,SHIN_HAKODATE_HOKUTO,15:20,15:21
HOKUTO_19,3,MORI,15:50,15:51
HOKUTO_19,4,OSHAMAMBE,16:35,16:36
HOKUTO_19,5,HIGASHI_MURORAN,17:10,17:11
HOKUTO_19,6,TOMAKOMAI,17:50,17:51
HOKUTO_19,7,MINAMI_CHITOSE,18:05,18:06
HOKUTO_19,8,SAPPORO,18:40,
HOKUTO_21,1,HAKODATE,,16:00
HOKUTO_21,2,SHIN_HAKODATE_HOKUTO,16:20,16:21
HOKUTO_21,3,MORI,16:50,16:51
HOKUTO_21,4,OSHAMAMBE,17:35,17:36
HOKUTO_21,5,HIGASHI_MURORAN,18:10,18:11
HOKUTO_21,6,TOMAKOMAI,18:50,18:51
HOKUTO_21,7,MINAMI_CHITOSE,19:05,19:06
HOKUTO_21,8,SAPPORO,19:40,
HOKUTO_23,1,HAKODATE,,17:00
HOKUTO_23,2,SHIN_HAKODATE_HOKUTO,17:20,17:21
HOKUTO_23,3,MORI,17:50,17:51
HOKUTO_23,4,OSHAMAMBE,18:35,18:36
HOKUTO_23,5,HIGASHI_MURORAN,19:10,19:11
HOKUTO_23,6,TOMAKOMAI,19:50,19:51
HOKUTO_23,7,MINAMI_CHITOSE,20:05,20:06
HOKUTO_23,8,SAPPORO,20:40,
HOKUTO_25,1,HAKODATE,,18:00
HOKUTO_25,2,SHIN_HAKODATE_HOKUTO,18:20,18:21
HOKUTO_25,3,MORI,18:50,18:51
HOKUTO_25,4,OSHAMAMBE,19:35,19:36
HOKUTO_25,5,HIGASHI_MURORAN,20:10,20:11
HOKUTO_25,6,TOMAKOMAI,20:50,20:51
HOKUTO_25,7,MINAMI_CHITOSE,21:05,21:06
