train_id,stop_order,station_id,arrival,departure
HTB_1,1,HAKATA,,07:40
HTB_1,2,TOSU,08:10,08:11
HTB_1,3,SAGA,08:30,08:31
HTB_1,4,KOGI,08:55,08:56
HTB_1,5,HAIKI,09:20,09:21
HTB_1,6,HUIS_TEN_BOSCH,09:25,
HTB_3,1,HAKATA,,08:40
HTB_3,2,TOSU,09:10,09:11
HTB_3,3,SAGA,09:30,09:31
HTB_3,4,KOGI,09:55,09:56
HTB_3,5,HAIKI,10:20,10:21
HTB_3,6,HUIS_TEN_BOSCH,10:25,
HTB_5,1,HAKATA,,09:40
HTB_5,2,TOSU,10:10,10:11
HTB_5,3,SAGA,10:30,10:31
HTB_5,4,KOGI,10:55,10:56
HTB_5,5,HAIKI,11:20,11:21
HTB_5,6,HUIS_TEN_BOSCH,11:25,
HTB_7,1,HAKATA,,10:40
HTB_7,2,TOSU,11:10,11:11
HTB_7,3,SAGA,11:30,11:31
HTB_7,4,KOGI,11:55,11:56
HTB_7,5,HAIKI,12:20,12:21
HTB_7,6,HUIS_TEN_BOSCH,12:25,
HTB_9,1,HAKATA,,11:40
HTB_9,2,TOSU,12:10,12:11
HTB_9,3,SAGA,12:30,12:31
HTB_9,4,KOGI,12:55,12:56
HTB_9,5,HAIKI,13:20,13:21
HTB_9,6,HUIS_TEN_BOSCH,13:25,
HTB_11,1,HAKATA,,12:40
HTB_11,2,TOSU,13:10,13:11
HTB_11,3,SAGA,13:30,13:31
HTB_11,4,KOGI,13:55,13:56
HTB_11,5,HAIKI,14:20,14:21
HTB_11,6,HUIS_TEN_BOSCH,14:25,
HTB_13,1,HAKATA,,13:40
HTB_13,2,TOSU,14:10,14:11
HTB_13,3,SAGA,14:30,14:31
HTB_13,4,KOGI,14:55,14:56
HTB_13,5,HAIKI,15:20,15:21
HTB_13,6,HUIS_TEN_BOSCH,15:25,
HTB_15,1,HAKATA,,14:40
HTB_15,2,TOSU,15:10,15:11
HTB_15,3,SAGA,15:30,15:31
HTB_15,4,KOGI,15:55,15:56
HTB_15,5,HAIKI,16:20,16:21
HTB_15,6,HUIS_TEN_BOSCH,16:25,
HTB_17,1,HAKATA,,15:40
HTB_17,2,TOSU,16:10,16:11
HTB_17,3,SAGA,16:30,16:31
HTB_17,4,KOGI,16:55,16:56
HTB_17,5,HAIKI,17:20,17:21
HTB_17,6,HUIS_TEN_BOSCH,17:25,
HTB_19,1,HAKATA,,16:40
HTB_19,2,TOSU,17:10,17:11
HTB_19,3,SAGA,17:30,17:31
HTB_19,4,KOGI,17:55,17:56
HTB_19,5,HAIKI,18:20,18:21
HTB_19,6,HUIS_TEN_BOSCH,18:25,
HTB_21,1,HAKATA,,17:40
HTB_21,2,TOSU,18:10,18:11
HTB_21,3,SAGA,18:30,18:31
HTB_21,4,KOGI,18:55,18:56
HTB_21,5,HAIKI,19:20,19:21
HTB_21,6,HUIS_TEN_BOSCH,19:25,
HTB_23,1,HAKATA,,18:40
HTB_23,2,TOSU,19:10,19:11
HTB_23,3,SAGA,19:30,19:31
HTB_23,4,KOGI,19:55,19:56
HTB_23,5,HAIKI,20:20,20:21
HTB_23,6,HUIS_TEN_BOSCH,20:25,
HTB_25,1,HAKATA,,19:40
HTB_25,2,TOSU,20:10,20:11
HTB_25,3,SAGA,20:30,20:31
HTB_25,4,KOGI,20:55,20:56
HTB_25,5,HAIKI,21:20,21:21
HTB_25,6,HUIS_TEN_BOSCH,21:25,
HTB_27,1,HAKATA,,20:40
HTB_27,2,TOSU,21:10,21:11
HTB_27,3,SAGA,21:30,21:31
HTB_27,4,KOGI,21:55,21:56
HTB_27,5,HAIKI,22:20,22:21
HTB_27,6,HUIS_TEN_BOSCH,22:25,
HTB_2,1,HUIS_TEN_BOSCH,,07:15
HTB_2,2,HAIKI,07:19,07:20
HTB_2,3,KOGI,07:44,07:45
HTB_2,4,SAGA,08:09,08:10
HTB_2,5,TOSU,08:29,08:30
HTB_2,6,HAKATA,09:00,
HTB_4,1,HUIS_TEN_BOSCH,,08:15
HTB_4,2,HAIKI,08:19,08:20
HTB_4,3,KOGI,08:44,08:45
HTB_4,4,SAGA,09:09,09:10
HTB_4,5,TOSU,09:29,09:30
HTB_4,6,HAKATA,10:00,
HTB_6,1,HUIS_TEN_BOSCH,,09:15
HTB_6,2,HAIKI,09:19,09:20
HTB_6,3,KOGI,09:44,09:45
HTB_6,4,SAGA,10:09,10:10
HTB_6,5,TOSU,10:29,10:30
HTB_6,6,HAKATA,11:00,
HTB_8,1,HUIS_TEN_BOSCH,,10:15
HTB_8,2,HAIKI,10:19,10:20
