train_id,name,direction
HTB_1,ハウステンボス1,down
HTB_3,ハウステンボス3,down
HTB_5,ハウステンボス5,down
HTB_7,ハウステンボス7,down
HTB_9,ハウステンボス9,down
HTB_11,ハウステンボス11,down
HTB_13,ハウステンボス13,down
HTB_15,ハウステンボス15,down
HTB_17,ハウステンボス17,down
HTB_19,ハウステンボス19,down
HTB_21,ハウステンボス21,down
HTB_23,ハウステンボス23,down
HTB_25,ハウステンボス25,down
HTB_27,ハウステンボス27,down
HTB_2,ハウステンボス2,up
HTB_4,ハウステンボス4,up
HTB_6,ハウステンボス6,up
HTB_8,ハウステンボス8,up
HTB_10,ハウステンボス10,up
HTB_12,ハウステンボス12,up
HTB_14,ハウステンボス14,up
HTB_16,ハウステンボス16,up
HTB_18,ハウステンボス18,up
HTB_20,ハウステンボス20,up
HTB_22,ハウステンボス22,up
HTB_24,ハウステンボス24,up
HTB_26,ハウステンボス26,up
HTB_28,ハウステンボス28,up
