train_id,stop_order,station_id,arrival,departure
HTB_1,1,HAKATA,,08:00
HTB_1,2,TOSU,08:25,08:26
HTB_1,3,SAGA,08:45,08:46
HTB_1,4,KOGI,09:00,09:01
HTB_1,5,HAIKI,09:35,09:36
HTB_1,6,HUIS_TEN_BOSCH,09:45,
HTB_3,1,HAKATA,,10:00
HTB_3,2,TOSU,10:25,10:26
HTB_3,3,SAGA,10:45,10:46
HTB_3,4,KOGI,11:00,11:01
HTB_3,5,HAIKI,11:35,11:36
HTB_3,6,HUIS_TEN_BOSCH,11:45,
HTB_5,1,HAKATA,,12:00
HTB_5,2,TOSU,12:25,12:26
HTB_5,3,SAGA,12:45,12:46
HTB_5,4,KOGI,13:00,13:01
HTB_5,5,HAIKI,13:35,13:36
HTB_5,6,HUIS_TEN_BOSCH,13:45,
HTB_7,1,HAKATA,,15:00
HTB_7,2,TOSU,15:25,15:26
HTB_7,3,SAGA,15:45,15:46
HTB_7,4,KOGI,16:00,16:01
HTB_7,5,HAIKI,16:35,16:36
HTB_7,6,HUIS_TEN_BOSCH,16:45,
HTB_9,1,HAKATA,,18:00
HTB_9,2,TOSU,18:25,18:26
HTB_9,3,SAGA,18:45,18:46
HTB_9,4,KOGI,19:00,19:01
HTB_9,5,HAIKI,19:35,19:36
HTB_9,6,HUIS_TEN_BOSCH,19:45,
HTB_2,1,HUIS_TEN_BOSCH,,07:00
HTB_2,2,HAIKI,07:09,07:10
HTB_2,3,KOGI,07:44,07:45
HTB_2,4,SAGA,07:59,08:00
HTB_2,5,TOSU,08:19,08:20
HTB_2,6,HAKATA,08:45,
HTB_4,1,HUIS_TEN_BOSCH,,10:00
HTB_4,2,HAIKI,10:09,10:10
HTB_4,3,KOGI,10:44,10:45
HTB_4,4,SAGA,10:59,11:00
HTB_4,5,TOSU,11:19,11:20
HTB_4,6,HAKATA,11:45,
HTB_6,1,HUIS_TEN_BOSCH,,13:00
HTB_6,2,HAIKI,13:09,13:10
HTB_6,3,KOGI,13:44,13:45
HTB_6,4,SAGA,13:59,14:00
HTB_6,5,TOSU,14:19,14:20
HTB_6,6,HAKATA,14:45,
HTB_8,1,HUIS_TEN_BOSCH,,16:00
HTB_8,2,HAIKI,16:09,16:10
HTB_8,3,KOGI,16:44,16:45
HTB_8,4,SAGA,16:59,17:00
HTB_8,5,TOSU,17:19,17:20
HTB_8,6,HAKATA,17:45,
HTB_10,1,HUIS_TEN_BOSCH,,19:00
HTB_10,2,HAIKI,19:09,19:10
HTB_10,3,KOGI,19:44,19:45
HTB_10,4,SAGA,19:59,20:00
HTB_10,5,TOSU,20:19,20:20
HTB_10,6,HAKATA,20:45,
