train_id,stop_order,station_id,arrival,departure
INAHO_F_1,1,NIIGATA,,07:50
INAHO_F_1,2,SHIBATA,08:15,08:16
INAHO_F_1,3,MURAKAMI,08:45,08:46
INAHO_F_1,4,TSURUOKA,09:40,09:41
INAHO_F_1,5,SAKATA,10:00,10:01
INAHO_F_1,6,UGO_HONJO,10:50,10:51
INAHO_F_1,7,AKITA,11:20,
INAHO_F_3,1,NIIGATA,,11:35
INAHO_F_3,2,SHIBATA,12:00,12:01
INAHO_F_3,3,MURAKAMI,12:30,12:31
INAHO_F_3,4,TSURUOKA,13:25,13:26
INAHO_F_3,5,SAKATA,13:45,13:46
INAHO_F_3,6,UGO_HONJO,14:35,14:36
INAHO_F_3,7,AKITA,15:05,
INAHO_F_5,1,NIIGATA,,14:20
INAHO_F_5,2,SHIBATA,14:45,14:46
INAHO_F_5,3,MURAKAMI,15:15,15:16
INAHO_F_5,4,TSURUOKA,16:10,16:11
INAHO_F_5,5,SAKATA,16:30,16:31
INAHO_F_5,6,UGO_HONJO,17:20,17:21
INAHO_F_5,7,AKITA,17:50,
INAHO_F_7,1,NIIGATA,,17:42
INAHO_F_7,2,SHIBATA,18:07,18:08
INAHO_F_7,3,MURAKAMI,18:37,18:38
INAHO_F_7,4,TSURUOKA,19:32,19:33
INAHO_F_7,5,SAKATA,19:52,19:53
INAHO_F_7,6,UGO_HONJO,20:42,20:43
INAHO_F_7,7,AKITA,21:12,
INAHO_F_2,1,AKITA,,06:25
INAHO_F_2,2,UGO_HONJO,06:54,06:55
INAHO_F_2,3,SAKATA,07:44,07:45
INAHO_F_2,4,TSURUOKA,08:04,08:05
INAHO_F_2,5,MURAKAMI,08:59,09:00
INAHO_F_2,6,SHIBATA,09:29,09:30
INAHO_F_2,7,NIIGATA,09:55,
INAHO_F_4,1,AKITA,,09:43
INAHO_F_4,2,UGO_HONJO,10:12,10:13
INAHO_F_4,3,SAKATA,11:02,11:03
INAHO_F_4,4,TSURUOKA,11:22,11:23
INAHO_F_4,5,MURAKAMI,12:17,12:18
INAHO_F_4,6,SHIBATA,12:47,12:48
INAHO_F_4,7,NIIGATA,13:13,
INAHO_F_6,1,AKITA,,13:25
INAHO_F_6,2,UGO_HONJO,13:54,13:55
INAHO_F_6,3,SAKATA,14:44,14:45
INAHO_F_6,4,TSURUOKA,15:04,15:05
INAHO_F_6,5,MURAKAMI,15:59,16:00
INAHO_F_6,6,SHIBATA,16:29,16:30
INAHO_F_6,7,NIIGATA,16:55,
INAHO_F_8,1,AKITA,,17:25
INAHO_F_8,2,UGO_HONJO,17:54,17:55
INAHO_F_8,3,SAKATA,18:44,18:45
INAHO_F_8,4,TSURUOKA,19:04,19:05
INAHO_F_8,5,MURAKAMI,19:59,20:00
INAHO_F_8,6,SHIBATA,20:29,20:30
INAHO_F_8,7,NIIGATA,20:55,
INAHO_S_1,1,NIIGATA,,09:36
INAHO_S_1,2,SHIBATA,10:01,10:02
INAHO_S_1,3,MURAKAMI,10:31,10:32
INAHO_S_1,4,TSURUOKA,11:26,11:27
INAHO_S_1,5,SAKATA,11:46,
INAHO_S_3,1,NIIGATA,,13:20
INAHO_S_3,2,SHIBATA,13:45,13:46
INAHO_S_3,3,MURAKAMI,14:15,14:16
INAHO_S_3,4,TSURUOKA,15:10,15:11
INAHO_S_3,5,SAKATA,15:30,
INAHO_S_5,1,NIIGATA,,15:54
INAHO_S_5,2,SHIBATA,16:19,16:20
INAHO_S_5,3,MURAKAMI,16:49,16:50
INAHO_S_5,4,TSURUOKA,17:44,17:45
INAHO_S_5,5,SAKATA,18:04,
INAHO_S_7,1,NIIGATA,,19:14
INAHO_S_7,2,SHIBATA,19:39,19:40
INAHO_S_7,3,MURAKAMI,20:09,20:10
INAHO_S_7,4,TSURUOKA,21:04,21:05
INAHO_S_7,5,SAKATA,21:24,
INAHO_S_2,1,SAKATA,,07:38
INAHO_S_2,2,TSURUOKA,07:57,07:58
INAHO_S_2,3,MURAKAMI,08:52,08:53
INAHO_S_2,4,SHIBATA,09:22,09:23
INAHO_S_2,5,NIIGATA,09:48,
INAHO_S_4,1,SAKATA,,11:08
INAHO_S_4,2,TSURUOKA,11:27,11:28
INAHO_S_4,3,MURAKAMI,12:22,12:23
INAHO_S_4,4,SHIBATA,12:52,12:53
INAHO_S_4,5,NIIGATA,13:18,
INAHO_S_6,1,SAKATA,,14:38
INAHO_S_6,2,TSURUOKA,14:57,14:58
INAHO_S_6,3,MURAKAMI,15:52,15:53
INAHO_S_6,4,SHIBATA,16:22,16:23
INAHO_S_6,5,NIIGATA,16:48,
INAHO_S_8,1,SAKATA,,18:08
INAHO_S_8,2,TSURUOKA,18:27,18:28
INAHO_S_8,3,MURAKAMI,19:22,19:23
INAHO_S_8,4,SHIBATA,19:52,19:53
INAHO_S_8,5,NIIGATA,20:18,
