train_id,stop_order,station_id,arrival,departure
INAHO_1,1,NIIGATA,,08:00
INAHO_1,2,SHIBATA,08:25,08:26
INAHO_1,3,MURAKAMI,08:50,08:51
INAHO_1,4,TSURUOKA,09:50,09:51
INAHO_1,5,SAKATA,10:15,10:17
INAHO_1,6,UGO_HONJO,11:00,11:01
INAHO_1,7,AKITA,11:35,
INAHO_3,1,NIIGATA,,14:00
INAHO_3,2,SHIBATA,14:25,14:26
INAHO_3,3,MURAKAMI,14:50,14:51
INAHO_3,4,TSURUOKA,15:50,15:51
INAHO_3,5,SAKATA,16:15,16:17
INAHO_3,6,UGO_HONJO,17:00,17:01
INAHO_3,7,AKITA,17:35,
INAHO_5,1,NIIGATA,,07:00
INAHO_5,2,SHIBATA,07:25,07:26
INAHO_5,3,MURAKAMI,07:50,07:51
INAHO_5,4,TSURUOKA,08:50,08:51
INAHO_5,5,SAKATA,09:15,
INAHO_7,1,NIIGATA,,10:00
INAHO_7,2,SHIBATA,10:25,10:26
INAHO_7,3,MURAKAMI,10:50,10:51
INAHO_7,4,TSURUOKA,11:50,11:51
INAHO_7,5,SAKATA,12:15,
INAHO_9,1,NIIGATA,,12:00
INAHO_9,2,SHIBATA,12:25,12:26
INAHO_9,3,MURAKAMI,12:50,12:51
INAHO_9,4,TSURUOKA,13:50,13:51
INAHO_9,5,SAKATA,14:15,
INAHO_11,1,NIIGATA,,16:00
INAHO_11,2,SHIBATA,16:25,16:26
INAHO_11,3,MURAKAMI,16:50,16:51
INAHO_11,4,TSURUOKA,17:50,17:51
INAHO_11,5,SAKATA,18:15,
INAHO_13,1,NIIGATA,,18:00
INAHO_13,2,SHIBATA,18:25,18:26
INAHO_13,3,MURAKAMI,18:50,18:51
INAHO_13,4,TSURUOKA,19:50,19:51
INAHO_13,5,SAKATA,20:15,
INAHO_2,1,AKITA,,06:00
INAHO_2,2,UGO_HONJO,06:34,06:35
INAHO_2,3,SAKATA,07:18,07:20
INAHO_2,4,TSURUOKA,07:44,07:45
INAHO_2,5,MURAKAMI,08:44,08:45
INAHO_2,6,SHIBATA,09:09,09:10
INAHO_2,7,NIIGATA,09:35,
INAHO_4,1,AKITA,,13:00
INAHO_4,2,UGO_HONJO,13:34,13:35
INAHO_4,3,SAKATA,14:18,14:20
INAHO_4,4,TSURUOKA,14:44,14:45
INAHO_4,5,MURAKAMI,15:44,15:45
INAHO_4,6,SHIBATA,16:09,16:10
INAHO_4,7,NIIGATA,16:35,
INAHO_6,1,SAKATA,,07:00
INAHO_6,2,TSURUOKA,07:24,07:25
INAHO_6,3,MURAKAMI,08:24,08:25
INAHO_6,4,SHIBATA,08:49,08:50
INAHO_6,5,NIIGATA,09:15,
INAHO_8,1,SAKATA,,09:00
INAHO_8,2,TSURUOKA,09:24,09:25
INAHO_8,3,MURAKAMI,10:24,10:25
INAHO_8,4,SHIBATA,10:49,10:50
INAHO_8,5,NIIGATA,11:15,
INAHO_10,1,SAKATA,,11:00
INAHO_10,2,TSURUOKA,11:24,11:25
INAHO_10,3,MURAKAMI,12:24,12:25
INAHO_10,4,SHIBATA,12:49,12:50
INAHO_10,5,NIIGATA,13:15,
INAHO_12,1,SAKATA,,15:00
INAHO_12,2,TSURUOKA,15:24,15:25
INAHO_12,3,MURAKAMI,16:24,16:25
INAHO_12,4,SHIBATA,16:49,16:50
INAHO_12,5,NIIGATA,17:15,
INAHO_14,1,SAKATA,,17:00
INAHO_14,2,TSURUOKA,17:24,17:25
INAHO_14,3,MURAKAMI,18:24,18:25
INAHO_14,4,SHIBATA,18:49,18:50
INAHO_14,5,NIIGATA,19:15,
