train_id,stop_order,station_id,arrival,departure
INAJI_1,1,TOYOHASHI,,09:30
INAJI_1,2,SHINSHIRO,10:05,10:06
INAJI_1,3,TENRYUKYO,11:40,11:41
INAJI_1,4,IIDA,12:00,
INAJI_3,1,TOYOHASHI,,13:30
INAJI_3,2,SHINSHIRO,14:05,14:06
INAJI_3,3,TENRYUKYO,15:40,15:41
INAJI_3,4,IIDA,16:00,
INAJI_5,1,TOYOHASHI,,17:30
INAJI_5,2,SHINSHIRO,18:05,18:06
INAJI_5,3,TENRYUKYO,19:40,19:41
INAJI_5,4,IIDA,20:00,
INAJI_2,1,IIDA,,07:00
INAJI_2,2,TENRYUKYO,07:19,07:20
INAJI_2,3,SHINSHIRO,08:54,08:55
INAJI_2,4,TOYOHASHI,09:30,
INAJI_4,1,IIDA,,11:00
INAJI_4,2,TENRYUKYO,11:19,11:20
INAJI_4,3,SHINSHIRO,12:54,12:55
INAJI_4,4,TOYOHASHI,13:30,
INAJI_6,1,IIDA,,15:00
INAJI_6,2,TENRYUKYO,15:19,15:20
INAJI_6,3,SHINSHIRO,16:54,16:55
INAJI_6,4,TOYOHASHI,17:30,
