train_id,stop_order,station_id,arrival,departure
TOKI_1,1,OMIYA,,06:33
TOKI_1,2,TAKASAKI,06:58,06:59
TOKI_1,3,NAGAOKA,07:39,07:41
TOKI_1,4,TSUBAME_SANJO,07:51,07:52
TOKI_1,5,NIIGATA,08:03,
TOKI_3,1,OMIYA,,07:25
TOKI_3,2,TAKASAKI,07:50,07:51
TOKI_3,3,NAGAOKA,08:31,08:33
TOKI_3,4,TSUBAME_SANJO,08:43,08:44
TOKI_3,5,NIIGATA,08:55,
TOKI_5,1,OMIYA,,07:48
TOKI_5,2,TAKASAKI,08:13,08:14
TOKI_5,3,NAGAOKA,08:54,08:56
TOKI_5,4,TSUBAME_SANJO,09:06,09:07
TOKI_5,5,NIIGATA,09:18,
TOKI_7,1,OMIYA,,08:13
TOKI_7,2,TAKASAKI,08:38,08:39
TOKI_7,3,NAGAOKA,09:19,09:21
TOKI_7,4,TSUBAME_SANJO,09:31,09:32
TOKI_7,5,NIIGATA,09:43,
TOKI_9,1,OMIYA,,08:33
TOKI_9,2,TAKASAKI,08:58,08:59
TOKI_9,3,NAGAOKA,09:39,09:41
TOKI_9,4,TSUBAME_SANJO,09:51,09:52
TOKI_9,5,NIIGATA,10:03,
TOKI_11,1,OMIYA,,08:48
TOKI_11,2,TAKASAKI,09:13,09:14
TOKI_11,3,NAGAOKA,09:54,09:56
TOKI_11,4,TSUBAME_SANJO,10:06,10:07
TOKI_11,5,NIIGATA,10:18,
TOKI_13,1,OMIYA,,09:13
TOKI_13,2,TAKASAKI,09:38,09:39
TOKI_13,3,NAGAOKA,10:19,10:21
TOKI_13,4,TSUBAME_SANJO,10:31,10:32
TOKI_13,5,NIIGATA,10:43,
TOKI_15,1,OMIYA,,09:33
TOKI_15,2,TAKASAKI,09:58,09:59
TOKI_15,3,NAGAOKA,10:39,10:41
TOKI_15,4,TSUBAME_SANJO,10:51,10:52
TOKI_15,5,NIIGATA,11:03,
TOKI_17,1,OMIYA,,10:23
TOKI_17,2,TAKASAKI,10:48,10:49
TOKI_17,3,NAGAOKA,11:29,11:31
TOKI_17,4,TSUBAME_SANJO,11:41,11:42
TOKI_17,5,NIIGATA,11:53,
TOKI_19,1,OMIYA,,11:33
TOKI_19,2,TAKASAKI,11:58,11:59
TOKI_19,3,NAGAOKA,12:39,12:41
TOKI_19,4,TSUBAME_SANJO,12:51,12:52
TOKI_19,5,NIIGATA,13:03,
TOKI_21,1,OMIYA,,12:23
TOKI_21,2,TAKASAKI,12:48,12:49
TOKI_21,3,NAGAOKA,13:29,13:31
TOKI_21,4,TSUBAME_SANJO,13:41,13:42
TOKI_21,5,NIIGATA,13:53,
TOKI_23,1,OMIYA,,13:23
TOKI_23,2,TAKASAKI,13:48,13:49
TOKI_23,3,NAGAOKA,14:29,14:31
TOKI_23,4,TSUBAME_SANJO,14:41,14:42
TOKI_23,5,NIIGATA,14:53,
TOKI_25,1,OMIYA,,14:23
TOKI_25,2,TAKASAKI,14:48,14:49
TOKI_25,3,NAGAOKA,15:29,15:31
TOKI_25,4,TSUBAME_SANJO,15:41,15:42
TOKI_25,5,NIIGATA,15:53,
TOKI_27,1,OMIYA,,15:23
TOKI_27,2,TAKASAKI,15:48,15:49
TOKI_27,3,NAGAOKA,16:29,16:31
TOKI_27,4,TSUBAME_SANJO,16:41,16:42
TOKI_27,5,NIIGATA,16:53,
TOKI_29,1,OMIYA,,16:23
TOKI_29,2,TAKASAKI,16:48,16:49
TOKI_29,3,NAGAOKA,17:29,17:31
TOKI_29,4,TSUBAME_SANJO,17:41,17:42
TOKI_29,5,NIIGATA,17:53,
TOKI_31,1,OMIYA,,17:13
TOKI_31,2,TAKASAKI,17:38,17:39
TOKI_31,3,NAGAOKA,18:19,18:21
TOKI_31,4,TSUBAME_SANJO,18:31,18:32
TOKI_31,5,NIIGATA,18:43,
TOKI_33,1,OMIYA,,17:33
TOKI_33,2,TAKASAKI,17:58,17:59
TOKI_33,3,NAGAOKA,18:39,18:41
TOKI_33,4,TSUBAME_SANJO,18:51,18:52
TOKI_33,5,NIIGATA,19:03,
TOKI_35,1,OMIYA,,18:23
TOKI_35,2,TAKASAKI,18:48,18:49
TOKI_35,3,NAGAOKA,19:29,19:31
TOKI_35,4,TSUBAME_SANJO,19:41,19:42
TOKI_35,5,NIIGATA,19:53,
TOKI_37,1,OMIYA,,19:23
TOKI_37,2,TAKASAKI,19:48,19:49
TOKI_37,3,NAGAOKA,20:29,20:31
TOKI_37,4,TSUBAME_SANJO,20:41,20:42
TOKI_37,5,NIIGATA,20:53,
TOKI_39,1,OMIYA,,20:23
TOKI_39,2,TAKASAKI,20:48,20:49
TOKI_39,3,NAGAOKA,21:29,21:31
TOKI_39,4,TSUBAME_SANJO,21:41,21:42
TOKI_39,5,NIIGATA,21:53,
TOKI_41,1,OMIYA,,21:23
TOKI_41,2,TAKASAKI,21:48,21:49
TOKI_41,3,NAGAOKA,22:29,22:31
TOKI_41,4,TSUBAME_SANJO,22:41,22:42
TOKI_41,5,NIIGATA,22:53,
TOKI_2,1,NIIGATA,,06:08
TOKI_2,2,TSUBAME_SANJO,06:20,06:21
TOKI_2,3,NAGAOKA,06:31,06:33
TOKI_2,4,TAKASAKI,07:13,07:14
TOKI_2,5,OMIYA,07:38,
TOKI_4,1,NIIGATA,,07:00
TOKI_4,2,TSUBAME_SANJO,07:12,07:13
TOKI_4,3,NAGAOKA,07:23,07:25
TOKI_4,4,TAKASAKI,08:05,08:06
TOKI_4,5,OMIYA,08:30,
TOKI_6,1,NIIGATA,,08:00
TOKI_6,2,TSUBAME_SANJO,08:12,08:13
TOKI_6,3,NAGAOKA,08:23,08:25
TOKI_6,4,TAKASAKI,09:05,09:06
TOKI_6,5,OMIYA,09:30,
TOKI_8,1,NIIGATA,,08:23
TOKI_8,2,TSUBAME_SANJO,08:35,08:36
TOKI_8,3,NAGAOKA,08:46,08:48
TOKI_8,4,TAKASAKI,09:28,09:29
TOKI_8,5,OMIYA,09:53,
TOKI_10,1,NIIGATA,,09:00
TOKI_10,2,TSUBAME_SANJO,09:12,09:13
TOKI_10,3,NAGAOKA,09:23,09:25
TOKI_10,4,TAKASAKI,10:05,10:06
TOKI_10,5,OMIYA,10:30,
TOKI_12,1,NIIGATA,,10:00
TOKI_12,2,TSUBAME_SANJO,10:12,10:13
TOKI_12,3,NAGAOKA,10:23,10:25
TOKI_12,4,TAKASAKI,11:05,11:06
TOKI_12,5,OMIYA,11:30,
TOKI_14,1,NIIGATA,,11:00
TOKI_14,2,TSUBAME_SANJO,11:12,11:13
TOKI_14,3,NAGAOKA,11:23,11:25
TOKI_14,4,TAKASAKI,12:05,12:06
TOKI_14,5,OMIYA,12:30,
TOKI_16,1,NIIGATA,,12:00
TOKI_16,2,TSUBAME_SANJO,12:12,12:13
TOKI_16,3,NAGAOKA,12:23,12:25
TOKI_16,4,TAKASAKI,13:05,13:06
TOKI_16,5,OMIYA,13:30,
TOKI_18,1,NIIGATA,,13:00
TOKI_18,2,TSUBAME_SANJO,13:12,13:13
TOKI_18,3,NAGAOKA,13:23,13:25
TOKI_18,4,TAKASAKI,14:05,14:06
TOKI_18,5,OMIYA,14:30,
TOKI_20,1,NIIGATA,,14:00
TOKI_20,2,TSUBAME_SANJO,14:12,14:13
TOKI_20,3,NAGAOKA,14:23,14:25
TOKI_20,4,TAKASAKI,15:05,15:06
TOKI_20,5,OMIYA,15:30,
TOKI_22,1,NIIGATA,,15:00
TOKI_22,2,TSUBAME_SANJO,15:12,15:13
TOKI_22,3,NAGAOKA,15:23,15:25
TOKI_22,4,TAKASAKI,16:05,16:06
TOKI_22,5,OMIYA,16:30,
TOKI_24,1,NIIGATA,,16:00
TOKI_24,2,TSUBAME_SANJO,16:12,16:13
TOKI_24,3,NAGAOKA,16:23,16:25
TOKI_24,4,TAKASAKI,17:05,17:06
TOKI_24,5,OMIYA,17:30,
TOKI_26,1,NIIGATA,,17:00
TOKI_26,2,TSUBAME_SANJO,17:12,17:13
TOKI_26,3,NAGAOKA,17:23,17:25
TOKI_26,4,TAKASAKI,18:05,18:06
TOKI_26,5,OMIYA,18:30,
TOKI_28,1,NIIGATA,,17:30
TOKI_28,2,TSUBAME_SANJO,17:42,17:43
TOKI_28,3,NAGAOKA,17:53,17:55
TOKI_28,4,TAKASAKI,18:35,18:36
TOKI_28,5,OMIYA,19:00,
TOKI_30,1,NIIGATA,,18:00
TOKI_30,2,TSUBAME_SANJO,18:12,18:13
TOKI_30,3,NAGAOKA,18:23,18:25
TOKI_30,4,TAKASAKI,19:05,19:06
TOKI_30,5,OMIYA,19:30,
TOKI_32,1,NIIGATA,,18:30
TOKI_32,2,TSUBAME_SANJO,18:42,18:43
TOKI_32,3,NAGAOKA,18:53,18:55
TOKI_32,4,TAKASAKI,19:35,19:36
TOKI_32,5,OMIYA,20:00,
TOKI_34,1,NIIGATA,,19:00
TOKI_34,2,TSUBAME_SANJO,19:12,19:13
TOKI_34,3,NAGAOKA,19:23,19:25
TOKI_34,4,TAKASAKI,20:05,20:06
TOKI_34,5,OMIYA,20:30,
TOKI_36,1,NIIGATA,,20:00
TOKI_36,2,TSUBAME_SANJO,20:12,20:13
TOKI_36,3,NAGAOKA,20:23,20:25
TOKI_36,4,TAKASAKI,21:05,21:06
TOKI_36,5,OMIYA,21:30,
TOKI_38,1,NIIGATA,,21:00
TOKI_38,2,TSUBAME_SANJO,21:12,21:13
TOKI_38,3,NAGAOKA,21:23,21:25
TOKI_38,4,TAKASAKI,22:05,22:06
TOKI_38,5,OMIYA,22:30,
TANIGAWA_1,1,OMIYA,,07:08
TANIGAWA_1,2,KUMAGAYA,07:19,07:20
TANIGAWA_1,3,HONJO_WASEDA,07:29,07:30
TANIGAWA_1,4,TAKASAKI,07:39,07:40
TANIGAWA_1,5,JOMOKOGEN,08:00,08:01
TANIGAWA_1,6,ECHIGO_YUZAWA,08:18,
TANIGAWA_3,1,OMIYA,,08:08
TANIGAWA_3,2,KUMAGAYA,08:19,08:20
TANIGAWA_3,3,HONJO_WASEDA,08:29,08:30
TANIGAWA_3,4,TAKASAKI,08:39,08:40
TANIGAWA_3,5,JOMOKOGEN,09:00,09:01
TANIGAWA_3,6,ECHIGO_YUZAWA,09:18,
TANIGAWA_5,1,OMIYA,,09:08
TANIGAWA_5,2,KUMAGAYA,09:19,09:20
TANIGAWA_5,3,HONJO_WASEDA,09:29,09:30
TANIGAWA_5,4,TAKASAKI,09:39,09:40
TANIGAWA_5,5,JOMOKOGEN,10:00,10:01
TANIGAWA_5,6,ECHIGO_YUZAWA,10:18,
TANIGAWA_7,1,OMIYA,,10:48
TANIGAWA_7,2,KUMAGAYA,10:59,11:00
TANIGAWA_7,3,HONJO_WASEDA,11:09,11:10
TANIGAWA_7,4,TAKASAKI,11:19,11:20
TANIGAWA_7,5,JOMOKOGEN,11:40,11:41
TANIGAWA_7,6,ECHIGO_YUZAWA,11:58,
TANIGAWA_9,1,OMIYA,,12:48
TANIGAWA_9,2,KUMAGAYA,12:59,13:00
TANIGAWA_9,3,HONJO_WASEDA,13:09,13:10
TANIGAWA_9,4,TAKASAKI,13:19,13:20
TANIGAWA_9,5,JOMOKOGEN,13:40,13:41
TANIGAWA_9,6,ECHIGO_YUZAWA,13:58,
TANIGAWA_11,1,OMIYA,,14:48
TANIGAWA_11,2,KUMAGAYA,14:59,15:00
TANIGAWA_11,3,HONJO_WASEDA,15:09,15:10
TANIGAWA_11,4,TAKASAKI,15:19,15:20
TANIGAWA_11,5,JOMOKOGEN,15:40,15:41
TANIGAWA_11,6,ECHIGO_YUZAWA,15:58,
TANIGAWA_13,1,OMIYA,,16:48
TANIGAWA_13,2,KUMAGAYA,16:59,17:00
TANIGAWA_13,3,HONJO_WASEDA,17:09,17:10
TANIGAWA_13,4,TAKASAKI,17:19,17:20
TANIGAWA_13,5,JOMOKOGEN,17:40,17:41
TANIGAWA_13,6,ECHIGO_YUZAWA,17:58,
TANIGAWA_15,1,OMIYA,,18:08
TANIGAWA_15,2,KUMAGAYA,18:19,18:20
TANIGAWA_15,3,HONJO_WASEDA,18:29,18:30
TANIGAWA_15,4,TAKASAKI,18:39,18:40
TANIGAWA_15,5,JOMOKOGEN,19:00,19:01
TANIGAWA_15,6,ECHIGO_YUZAWA,19:18,
TANIGAWA_17,1,OMIYA,,19:08
TANIGAWA_17,2,KUMAGAYA,19:19,19:20
TANIGAWA_17,3,HONJO_WASEDA,19:29,19:30
TANIGAWA_17,4,TAKASAKI,19:39,19:40
TANIGAWA_17,5,JOMOKOGEN,20:00,20:01
TANIGAWA_17,6,ECHIGO_YUZAWA,20:18,
TANIGAWA_2,1,ECHIGO_YUZAWA,,06:45
TANIGAWA_2,2,JOMOKOGEN,07:02,07:03
TANIGAWA_2,3,TAKASAKI,07:23,07:24
TANIGAWA_2,4,HONJO_WASEDA,07:33,07:34
TANIGAWA_2,5,KUMAGAYA,07:43,07:44
TANIGAWA_2,6,OMIYA,07:55,
TANIGAWA_4,1,ECHIGO_YUZAWA,,07:45
TANIGAWA_4,2,JOMOKOGEN,08:02,08:03
TANIGAWA_4,3,TAKASAKI,08:23,08:24
TANIGAWA_4,4,HONJO_WASEDA,08:33,08:34
TANIGAWA_4,5,KUMAGAYA,08:43,08:44
TANIGAWA_4,6,OMIYA,08:55,
TANIGAWA_6,1,ECHIGO_YUZAWA,,09:30
TANIGAWA_6,2,JOMOKOGEN,09:47,09:48
TANIGAWA_6,3,TAKASAKI,10:08,10:09
TANIGAWA_6,4,HONJO_WASEDA,10:18,10:19
TANIGAWA_6,5,KUMAGAYA,10:28,10:29
TANIGAWA_6,6,OMIYA,10:40,
TANIGAWA_8,1,ECHIGO_YUZAWA,,11:30
TANIGAWA_8,2,JOMOKOGEN,11:47,11:48
TANIGAWA_8,3,TAKASAKI,12:08,12:09
TANIGAWA_8,4,HONJO_WASEDA,12:18,12:19
TANIGAWA_8,5,KUMAGAYA,12:28,12:29
TANIGAWA_8,6,OMIYA,12:40,
TANIGAWA_10,1,ECHIGO_YUZAWA,,13:30
TANIGAWA_10,2,JOMOKOGEN,13:47,13:48
TANIGAWA_10,3,TAKASAKI,14:08,14:09
TANIGAWA_10,4,HONJO_WASEDA,14:18,14:19
TANIGAWA_10,5,KUMAGAYA,14:28,14:29
TANIGAWA_10,6,OMIYA,14:40,
TANIGAWA_12,1,ECHIGO_YUZAWA,,15:30
TANIGAWA_12,2,JOMOKOGEN,15:47,15:48
TANIGAWA_12,3,TAKASAKI,16:08,16:09
TANIGAWA_12,4,HONJO_WASEDA,16:18,16:19
TANIGAWA_12,5,KUMAGAYA,16:28,16:29
TANIGAWA_12,6,OMIYA,16:40,
TANIGAWA_14,1,ECHIGO_YUZAWA,,17:30
TANIGAWA_14,2,JOMOKOGEN,17:47,17:48
TANIGAWA_14,3,TAKASAKI,18:08,18:09
TANIGAWA_14,4,HONJO_WASEDA,18:18,18:19
TANIGAWA_14,5,KUMAGAYA,18:28,18:29
TANIGAWA_14,6,OMIYA,18:40,
TANIGAWA_16,1,ECHIGO_YUZAWA,,18:30
TANIGAWA_16,2,JOMOKOGEN,18:47,18:48
TANIGAWA_16,3,TAKASAKI,19:08,19:09
TANIGAWA_16,4,HONJO_WASEDA,19:18,19:19
TANIGAWA_16,5,KUMAGAYA,19:28,19:29
TANIGAWA_16,6,OMIYA,19:40,
TANIGAWA_18,1,ECHIGO_YUZAWA,,19:30
TANIGAWA_18,2,JOMOKOGEN,19:47,19:48
TANIGAWA_18,3,TAKASAKI,20:08,20:09
TANIGAWA_18,4,HONJO_WASEDA,20:18,20:19
TANIGAWA_18,5,KUMAGAYA,20:28,20:29
TANIGAWA_18,6,OMIYA,20:40,
