train_id,name,direction
KEIKYU_AIRPORT_1,エアポート快特1,down
KEIKYU_AIRPORT_3,エアポート快特3,down
KEIKYU_AIRPORT_5,エアポート快特5,down
KEIKYU_AIRPORT_7,エアポート快特7,down
KEIKYU_AIRPORT_9,エアポート快特9,down
KEIKYU_AIRPORT_11,エアポート快特11,down
KEIKYU_AIRPORT_13,エアポート快特13,down
KEIKYU_AIRPORT_15,エアポート快特15,down
KEIKYU_AIRPORT_17,エアポート快特17,down
KEIKYU_AIRPORT_19,エアポート快特19,down
KEIKYU_AIRPORT_21,エアポート快特21,down
KEIKYU_AIRPORT_23,エアポート快特23,down
KEIKYU_AIRPORT_25,エアポート快特25,down
KEIKYU_AIRPORT_27,エアポート快特27,down
KEIKYU_AIRPORT_29,エアポート快特29,down
KEIKYU_AIRPORT_31,エアポート快特31,down
KEIKYU_AIRPORT_33,エアポート快特33,down
KEIKYU_AIRPORT_35,エアポート快特35,down
KEIKYU_AIRPORT_37,エアポート快特37,down
KEIKYU_AIRPORT_39,エアポート快特39,down
KEIKYU_AIRPORT_41,エアポート快特41,down
KEIKYU_AIRPORT_43,エアポート快特43,down
KEIKYU_AIRPORT_45,エアポート快特45,down
KEIKYU_AIRPORT_47,エアポート快特47,down
KEIKYU_AIRPORT_49,エアポート快特49,down
KEIKYU_AIRPORT_51,エアポート快特51,down
KEIKYU_AIRPORT_53,エアポート快特53,down
KEIKYU_AIRPORT_55,エアポート快特55,down
KEIKYU_AIRPORT_57,エアポート快特57,down
KEIKYU_AIRPORT_59,エアポート快特59,down
KEIKYU_AIRPORT_61,エアポート快特61,down
KEIKYU_AIRPORT_63,エアポート快特63,down
KEIKYU_AIRPORT_65,エアポート快特65,down
KEIKYU_AIRPORT_67,エアポート快特67,down
KEIKYU_AIRPORT_69,エアポート快特69,down
KEIKYU_AIRPORT_71,エアポート快特71,down
KEIKYU_AIRPORT_73,エアポート快特73,down
KEIKYU_AIRPORT_75,エアポート快特75,down
KEIKYU_AIRPORT_77,エアポート快特77,down
KEIKYU_AIRPORT_79,エアポート快特79,down
KEIKYU_AIRPORT_81,エアポート快特81,down
KEIKYU_AIRPORT_83,エアポート快特83,down
KEIKYU_AIRPORT_85,エアポート快特85,down
KEIKYU_AIRPORT_87,エアポート快特87,down
KEIKYU_AIRPORT_89,エアポート快特89,down
KEIKYU_AIRPORT_91,エアポート快特91,down
KEIKYU_AIRPORT_93,エアポート快特93,down
KEIKYU_AIRPORT_95,エアポート快特95,down
KEIKYU_AIRPORT_97,エアポート快特97,down
KEIKYU_AIRPORT_99,エアポート快特99,down
KEIKYU_AIRPORT_101,エアポート快特101,down
KEIKYU_AIRPORT_2,エアポート快特2,up
KEIKYU_AIRPORT_4,エアポート快特4,up
KEIKYU_AIRPORT_6,エアポート快特6,up
KEIKYU_AIRPORT_8,エアポート快特8,up
KEIKYU_AIRPORT_10,エアポート快特10,up
KEIKYU_AIRPORT_12,エアポート快特12,up
KEIKYU_AIRPORT_14,エアポート快特14,up
KEIKYU_AIRPORT_16,エアポート快特16,up
KEIKYU_AIRPORT_18,エアポート快特18,up
KEIKYU_AIRPORT_20,エアポート快特20,up
KEIKYU_AIRPORT_22,エアポート快特22,up
KEIKYU_AIRPORT_24,エアポート快特24,up
KEIKYU_AIRPORT_26,エアポート快特26,up
KEIKYU_AIRPORT_28,エアポート快特28,up
KEIKYU_AIRPORT_30,エアポート快特30,up
KEIKYU_AIRPORT_32,エアポート快特32,up
KEIKYU_AIRPORT_34,エアポート快特34,up
KEIKYU_AIRPORT_36,エアポート快特36,up
KEIKYU_AIRPORT_38,エアポート快特38,up
KEIKYU_AIRPORT_40,エアポート快特40,up
KEIKYU_AIRPORT_42,エアポート快特42,up
KEIKYU_AIRPORT_44,エアポート快特44,up
KEIKYU_AIRPORT_46,エアポート快特46,up
KEIKYU_AIRPORT_48,エアポート快特48,up
KEIKYU_AIRPORT_50,エアポート快特50,up
KEIKYU_AIRPORT_52,エアポート快特52,up
KEIKYU_AIRPORT_54,エアポート快特54,up
KEIKYU_AIRPORT_56,エアポート快特56,up
KEIKYU_AIRPORT_58,エアポート快特58,up
KEIKYU_AIRPORT_60,エアポート快特60,up
KEIKYU_AIRPORT_62,エアポート快特62,up
KEIKYU_AIRPORT_64,エアポート快特64,up
KEIKYU_AIRPORT_66,エアポート快特66,up
KEIKYU_AIRPORT_68,エアポート快特68,up
KEIKYU_AIRPORT_70,エアポート快特70,up
KEIKYU_AIRPORT_72,エアポート快特72,up
KEIKYU_AIRPORT_74,エアポート快特74,up
KEIKYU_AIRPORT_76,エアポート快特76,up
KEIKYU_AIRPORT_78,エアポート快特78,up
KEIKYU_AIRPORT_80,エアポート快特80,up
KEIKYU_AIRPORT_82,エアポート快特82,up
KEIKYU_AIRPORT_84,エアポート快特84,up
KEIKYU_AIRPORT_86,エアポート快特86,up
KEIKYU_AIRPORT_88,エアポート快特88,up
KEIKYU_AIRPORT_90,エアポート快特90,up
KEIKYU_AIRPORT_92,エアポート快特92,up
KEIKYU_AIRPORT_94,エアポート快特94,up
KEIKYU_AIRPORT_96,エアポート快特96,up
KEIKYU_AIRPORT_98,エアポート快特98,up
KEIKYU_AIRPORT_100,エアポート快特100,up
KEIKYU_AIRPORT_102,エアポート快特102,up
