train_id,stop_order,station_id,arrival,departure
KEIKYU_AIRPORT_1,1,SHINAGAWA,,06:00
KEIKYU_AIRPORT_1,2,KEIKYU_KAMATA,06:09,06:10
KEIKYU_AIRPORT_1,3,HANEDA_T3,06:13,06:14
KEIKYU_AIRPORT_1,4,HANEDA_T1_T2,06:18,
KEIKYU_AIRPORT_3,1,SHINAGAWA,,06:20
KEIKYU_AIRPORT_3,2,KEIKYU_KAMATA,06:29,06:30
KEIKYU_AIRPORT_3,3,HANEDA_T3,06:33,06:34
KEIKYU_AIRPORT_3,4,HANEDA_T1_T2,06:38,
KEIKYU_AIRPORT_5,1,SHINAGAWA,,06:40
KEIKYU_AIRPORT_5,2,KEIKYU_KAMATA,06:49,06:50
KEIKYU_AIRPORT_5,3,HANEDA_T3,06:53,06:54
KEIKYU_AIRPORT_5,4,HANEDA_T1_T2,06:58,
KEIKYU_AIRPORT_7,1,SHINAGAWA,,07:00
KEIKYU_AIRPORT_7,2,KEIKYU_KAMATA,07:09,07:10
KEIKYU_AIRPORT_7,3,HANEDA_T3,07:13,07:14
KEIKYU_AIRPORT_7,4,HANEDA_T1_T2,07:18,
KEIKYU_AIRPORT_9,1,SHINAGAWA,,07:20
KEIKYU_AIRPORT_9,2,KEIKYU_KAMATA,07:29,07:30
KEIKYU_AIRPORT_9,3,HANEDA_T3,07:33,07:34
KEIKYU_AIRPORT_9,4,HANEDA_T1_T2,07:38,
KEIKYU_AIRPORT_11,1,SHINAGAWA,,07:40
KEIKYU_AIRPORT_11,2,KEIKYU_KAMATA,07:49,07:50
KEIKYU_AIRPORT_11,3,HANEDA_T3,07:53,07:54
KEIKYU_AIRPORT_11,4,HANEDA_T1_T2,07:58,
KEIKYU_AIRPORT_13,1,SHINAGAWA,,08:00
KEIKYU_AIRPORT_13,2,KEIKYU_KAMATA,08:09,08:10
KEIKYU_AIRPORT_13,3,HANEDA_T3,08:13,08:14
KEIKYU_AIRPORT_13,4,HANEDA_T1_T2,08:18,
KEIKYU_AIRPORT_15,1,SHINAGAWA,,08:20
KEIKYU_AIRPORT_15,2,KEIKYU_KAMATA,08:29,08:30
KEIKYU_AIRPORT_15,3,HANEDA_T3,08:33,08:34
KEIKYU_AIRPORT_15,4,HANEDA_T1_T2,08:38,
KEIKYU_AIRPORT_17,1,SHINAGAWA,,08:40
KEIKYU_AIRPORT_17,2,KEIKYU_KAMATA,08:49,08:50
KEIKYU_AIRPORT_17,3,HANEDA_T3,08:53,08:54
KEIKYU_AIRPORT_17,4,HANEDA_T1_T2,08:58,
KEIKYU_AIRPORT_19,1,SHINAGAWA,,09:00
KEIKYU_AIRPORT_19,2,KEIKYU_KAMATA,09:09,09:10
KEIKYU_AIRPORT_19,3,HANEDA_T3,09:13,09:14
KEIKYU_AIRPORT_19,4,HANEDA_T1_T2,09:18,
KEIKYU_AIRPORT_21,1,SHINAGAWA,,09:20
KEIKYU_AIRPORT_21,2,KEIKYU_KAMATA,09:29,09:30
KEIKYU_AIRPORT_21,3,HANEDA_T3,09:33,09:34
KEIKYU_AIRPORT_21,4,HANEDA_T1_T2,09:38,
KEIKYU_AIRPORT_23,1,SHINAGAWA,,09:40
KEIKYU_AIRPORT_23,2,KEIKYU_KAMATA,09:49,09:50
KEIKYU_AIRPORT_23,3,HANEDA_T3,09:53,09:54
KEIKYU_AIRPORT_23,4,HANEDA_T1_T2,09:58,
KEIKYU_AIRPORT_25,1,SHINAGAWA,,10:00
KEIKYU_AIRPORT_25,2,KEIKYU_KAMATA,10:09,10:10
KEIKYU_AIRPORT_25,3,HANEDA_T3,10:13,10:14
KEIKYU_AIRPORT_25,4,HANEDA_T1_T2,10:18,
KEIKYU_AIRPORT_27,1,SHINAGAWA,,10:20
KEIKYU_AIRPORT_27,2,KEIKYU_KAMATA,10:29,10:30
KEIKYU_AIRPORT_27,3,HANEDA_T3,10:33,10:34
KEIKYU_AIRPORT_27,4,HANEDA_T1_T2,10:38,
KEIKYU_AIRPORT_29,1,SHINAGAWA,,10:40
KEIKYU_AIRPORT_29,2,KEIKYU_KAMATA,10:49,10:50
KEIKYU_AIRPORT_29,3,HANEDA_T3,10:53,10:54
KEIKYU_AIRPORT_29,4,HANEDA_T1_T2,10:58,
KEIKYU_AIRPORT_31,1,SHINAGAWA,,11:00
KEIKYU_AIRPORT_31,2,KEIKYU_KAMATA,11:09,11:10
KEIKYU_AIRPORT_31,3,HANEDA_T3,11:13,11:14
KEIKYU_AIRPORT_31,4,HANEDA_T1_T2,11:18,
KEIKYU_AIRPORT_33,1,SHINAGAWA,,11:20
KEIKYU_AIRPORT_33,2,KEIKYU_KAMATA,11:29,11:30
KEIKYU_AIRPORT_33,3,HANEDA_T3,11:33,11:34
KEIKYU_AIRPORT_33,4,HANEDA_T1_T2,11:38,
KEIKYU_AIRPORT_35,1,SHINAGAWA,,11:40
KEIKYU_AIRPORT_35,2,KEIKYU_KAMATA,11:49,11:50
KEIKYU_AIRPORT_35,3,HANEDA_T3,11:53,11:54
KEIKYU_AIRPORT_35,4,HANEDA_T1_T2,11:58,
KEIKYU_AIRPORT_37,1,SHINAGAWA,,12:00
KEIKYU_AIRPORT_37,2,KEIKYU_KAMATA,12:09,12:10
KEIKYU_AIRPORT_37,3,HANEDA_T3,12:13,12:14
KEIKYU_AIRPORT_37,4,HANEDA_T1_T2,12:18,
KEIKYU_AIRPORT_39,1,SHINAGAWA,,12:20
KEIKYU_AIRPORT_39,2,KEIKYU_KAMATA,12:29,12:30
KEIKYU_AIRPORT_39,3,HANEDA_T3,12:33,12:34
KEIKYU_AIRPORT_39,4,HANEDA_T1_T2,12:38,
KEIKYU_AIRPORT_41,1,SHINAGAWA,,12:40
KEIKYU_AIRPORT_41,2,KEIKYU_KAMATA,12:49,12:50
KEIKYU_AIRPORT_41,3,HANEDA_T3,12:53,12:54
KEIKYU_AIRPORT_41,4,HANEDA_T1_T2,12:58,
KEIKYU_AIRPORT_43,1,SHINAGAWA,,13:00
KEIKYU_AIRPORT_43,2,KEIKYU_KAMATA,13:09,13:10
KEIKYU_AIRPORT_43,3,HANEDA_T3,13:13,13:14
KEIKYU_AIRPORT_43,4,HANEDA_T1_T2,13:18,
KEIKYU_AIRPORT_45,1,SHINAGAWA,,13:20
KEIKYU_AIRPORT_45,2,KEIKYU_KAMATA,13:29,13:30
KEIKYU_AIRPORT_45,3,HANEDA_T3,13:33,13:34
KEIKYU_AIRPORT_45,4,HANEDA_T1_T2,13:38,
KEIKYU_AIRPORT_47,1,SHINAGAWA,,13:40
KEIKYU_AIRPORT_47,2,KEIKYU_KAMATA,13:49,13:50
KEIKYU_AIRPORT_47,3,HANEDA_T3,13:53,13:54
KEIKYU_AIRPORT_47,4,HANEDA_T1_T2,13:58,
KEIKYU_AIRPORT_49,1,SHINAGAWA,,14:00
KEIKYU_AIRPORT_49,2,KEIKYU_KAMATA,14:09,14:10
KEIKYU_AIRPORT_49,3,HANEDA_T3,14:13,14:14
KEIKYU_AIRPORT_49,4,HANEDA_T1_T2,14:18,
KEIKYU_AIRPORT_51,1,SHINAGAWA,,14:20
KEIKYU_AIRPORT_51,2,KEIKYU_KAMATA,14:29,14:30
KEIKYU_AIRPORT_51,3,HANEDA_T3,14:33,14:34
KEIKYU_AIRPORT_51,4,HANEDA_T1_T2,14:38,
KEIKYU_AIRPORT_53,1,SHINAGAWA,,14:40
KEIKYU_AIRPORT_53,2,KEIKYU_KAMATA,14:49,14:50
KEIKYU_AIRPORT_53,3,HANEDA_T3,14:53,14:54
KEIKYU_AIRPORT_53,4,HANEDA_T1_T2,14:58,
KEIKYU_AIRPORT_55,1,SHINAGAWA,,15:00
KEIKYU_AIRPORT_55,2,KEIKYU_KAMATA,15:09,15:10
KEIKYU_AIRPORT_55,3,HANEDA_T3,15:13,15:14
KEIKYU_AIRPORT_55,4,HANEDA_T1_T2,15:18,
KEIKYU_AIRPORT_57,1,SHINAGAWA,,15:20
KEIKYU_AIRPORT_57,2,KEIKYU_KAMATA,15:29,15:30
KEIKYU_AIRPORT_57,3,HANEDA_T3,15:33,15:34
KEIKYU_AIRPORT_57,4,HANEDA_T1_T2,15:38,
KEIKYU_AIRPORT_59,1,SHINAGAWA,,15:40
KEIKYU_AIRPORT_59,2,KEIKYU_KAMATA,15:49,15:50
KEIKYU_AIRPORT_59,3,HANEDA_T3,15:53,15:54
KEIKYU_AIRPORT_59,4,HANEDA_T1_T2,15:58,
KEIKYU_AIRPORT_61,1,SHINAGAWA,,16:00
KEIKYU_AIRPORT_61,2,KEIKYU_KAMATA,16:09,16:10
KEIKYU_AIRPORT_61,3,HANEDA_T3,16:13,16:14
KEIKYU_AIRPORT_61,4,HANEDA_T1_T2,16:18,
KEIKYU_AIRPORT_63,1,SHINAGAWA,,16:20
KEIKYU_AIRPORT_63,2,KEIKYU_KAMATA,16:29,16:30
KEIKYU_AIRPORT_63,3,HANEDA_T3,16:33,16:34
KEIKYU_AIRPORT_63,4,HANEDA_T1_T2,16:38,
KEIKYU_AIRPORT_65,1,SHINAGAWA,,16:40
KEIKYU_AIRPORT_65,2,KEIKYU_KAMATA,16:49,16:50
KEIKYU_AIRPORT_65,3,HANEDA_T3,16:53,16:54
KEIKYU_AIRPORT_65,4,HANEDA_T1_T2,16:58,
KEIKYU_AIRPORT_67,1,SHINAGAWA,,17:00
KEIKYU_AIRPORT_67,2,KEIKYU_KAMATA,17:09,17:10
