train_id,stop_order,station_id,arrival,departure
KINOSAKI_1,1,KYOTO,,07:34
KINOSAKI_1,2,SONOBE,08:09,08:10
KINOSAKI_1,3,AYABE,08:42,08:43
KINOSAKI_1,4,FUKUCHIYAMA,08:54,08:56
KINOSAKI_1,5,WADAYAMA,09:19,09:20
KINOSAKI_1,6,YOKA,09:34,09:35
KINOSAKI_1,7,TOYOOKA,09:47,09:48
KINOSAKI_1,8,KINOSAKI_ONSEN,09:59,
KINOSAKI_3,1,KYOTO,,09:34
KINOSAKI_3,2,SONOBE,10:09,10:10
KINOSAKI_3,3,AYABE,10:42,10:43
KINOSAKI_3,4,FUKUCHIYAMA,10:54,10:56
KINOSAKI_3,5,WADAYAMA,11:19,11:20
KINOSAKI_3,6,YOKA,11:34,11:35
KINOSAKI_3,7,TOYOOKA,11:47,11:48
KINOSAKI_3,8,KINOSAKI_ONSEN,11:59,
KINOSAKI_5,1,KYOTO,,11:34
KINOSAKI_5,2,SONOBE,12:09,12:10
KINOSAKI_5,3,AYABE,12:42,12:43
KINOSAKI_5,4,FUKUCHIYAMA,12:54,12:56
KINOSAKI_5,5,WADAYAMA,13:19,13:20
KINOSAKI_5,6,YOKA,13:34,13:35
KINOSAKI_5,7,TOYOOKA,13:47,13:48
KINOSAKI_5,8,KINOSAKI_ONSEN,13:59,
KINOSAKI_7,1,KYOTO,,13:34
KINOSAKI_7,2,SONOBE,14:09,14:10
KINOSAKI_7,3,AYABE,14:42,14:43
KINOSAKI_7,4,FUKUCHIYAMA,14:54,14:56
KINOSAKI_7,5,WADAYAMA,15:19,15:20
KINOSAKI_7,6,YOKA,15:34,15:35
KINOSAKI_7,7,TOYOOKA,15:47,15:48
KINOSAKI_7,8,KINOSAKI_ONSEN,15:59,
KINOSAKI_9,1,KYOTO,,15:34
KINOSAKI_9,2,SONOBE,16:09,16:10
KINOSAKI_9,3,AYABE,16:42,16:43
KINOSAKI_9,4,FUKUCHIYAMA,16:54,16:56
KINOSAKI_9,5,WADAYAMA,17:19,17:20
KINOSAKI_9,6,YOKA,17:34,17:35
KINOSAKI_9,7,TOYOOKA,17:47,17:48
KINOSAKI_9,8,KINOSAKI_ONSEN,17:59,
KINOSAKI_11,1,KYOTO,,17:34
KINOSAKI_11,2,SONOBE,18:09,18:10
KINOSAKI_11,3,AYABE,18:42,18:43
KINOSAKI_11,4,FUKUCHIYAMA,18:54,18:56
KINOSAKI_11,5,WADAYAMA,19:19,19:20
KINOSAKI_11,6,YOKA,19:34,19:35
KINOSAKI_11,7,TOYOOKA,19:47,19:48
KINOSAKI_11,8,KINOSAKI_ONSEN,19:59,
KINOSAKI_2,1,KINOSAKI_ONSEN,,06:00
KINOSAKI_2,2,TOYOOKA,06:11,06:12
KINOSAKI_2,3,YOKA,06:24,06:25
KINOSAKI_2,4,WADAYAMA,06:39,06:40
KINOSAKI_2,5,FUKUCHIYAMA,07:03,07:05
KINOSAKI_2,6,AYABE,07:16,07:17
KINOSAKI_2,7,SONOBE,07:49,07:50
KINOSAKI_2,8,KYOTO,08:25,
KINOSAKI_4,1,KINOSAKI_ONSEN,,08:00
KINOSAKI_4,2,TOYOOKA,08:11,08:12
KINOSAKI_4,3,YOKA,08:24,08:25
KINOSAKI_4,4,WADAYAMA,08:39,08:40
KINOSAKI_4,5,FUKUCHIYAMA,09:03,09:05
KINOSAKI_4,6,AYABE,09:16,09:17
KINOSAKI_4,7,SONOBE,09:49,09:50
KINOSAKI_4,8,KYOTO,10:25,
KINOSAKI_6,1,KINOSAKI_ONSEN,,10:00
KINOSAKI_6,2,TOYOOKA,10:11,10:12
KINOSAKI_6,3,YOKA,10:24,10:25
KINOSAKI_6,4,WADAYAMA,10:39,10:40
KINOSAKI_6,5,FUKUCHIYAMA,11:03,11:05
KINOSAKI_6,6,AYABE,11:16,11:17
KINOSAKI_6,7,SONOBE,11:49,11:50
KINOSAKI_6,8,KYOTO,12:25,
KINOSAKI_8,1,KINOSAKI_ONSEN,,14:00
KINOSAKI_8,2,TOYOOKA,14:11,14:12
KINOSAKI_8,3,YOKA,14:24,14:25
KINOSAKI_8,4,WADAYAMA,14:39,14:40
KINOSAKI_8,5,FUKUCHIYAMA,15:03,15:05
KINOSAKI_8,6,AYABE,15:16,15:17
KINOSAKI_8,7,SONOBE,15:49,15:50
KINOSAKI_8,8,KYOTO,16:25,
KINOSAKI_10,1,KINOSAKI_ONSEN,,16:00
KINOSAKI_10,2,TOYOOKA,16:11,16:12
KINOSAKI_10,3,YOKA,16:24,16:25
KINOSAKI_10,4,WADAYAMA,16:39,16:40
KINOSAKI_10,5,FUKUCHIYAMA,17:03,17:05
KINOSAKI_10,6,AYABE,17:16,17:17
KINOSAKI_10,7,SONOBE,17:49,17:50
KINOSAKI_10,8,KYOTO,18:25,
KINOSAKI_12,1,KINOSAKI_ONSEN,,18:00
KINOSAKI_12,2,TOYOOKA,18:11,18:12
KINOSAKI_12,3,YOKA,18:24,18:25
KINOSAKI_12,4,WADAYAMA,18:39,18:40
KINOSAKI_12,5,FUKUCHIYAMA,19:03,19:05
KINOSAKI_12,6,AYABE,19:16,19:17
KINOSAKI_12,7,SONOBE,19:49,19:50
KINOSAKI_12,8,KYOTO,20:25,
