train_id,stop_order,station_id,arrival,departure
KS2_1,1,KYOTO,,08:00
KS2_1,2,SONOBE,08:30,08:31
KS2_1,3,AYABE,09:00,09:01
KS2_1,4,FUKUCHIYAMA,09:15,09:17
KS2_1,5,WADAYAMA,09:50,09:51
KS2_1,6,YOKA,10:05,10:06
KS2_1,7,TOYOOKA,10:25,10:26
KS2_1,8,KINOSAKI_ONSEN,10:35,
KS2_3,1,KYOTO,,10:00
KS2_3,2,SONOBE,10:30,10:31
KS2_3,3,AYABE,11:00,11:01
KS2_3,4,FUKUCHIYAMA,11:15,11:17
KS2_3,5,WADAYAMA,11:50,11:51
KS2_3,6,YOKA,12:05,12:06
KS2_3,7,TOYOOKA,12:25,12:26
KS2_3,8,KINOSAKI_ONSEN,12:35,
KS2_5,1,KYOTO,,13:00
KS2_5,2,SONOBE,13:30,13:31
KS2_5,3,AYABE,14:00,14:01
KS2_5,4,FUKUCHIYAMA,14:15,14:17
KS2_5,5,WADAYAMA,14:50,14:51
KS2_5,6,YOKA,15:05,15:06
KS2_5,7,TOYOOKA,15:25,15:26
KS2_5,8,KINOSAKI_ONSEN,15:35,
KS2_7,1,KYOTO,,17:00
KS2_7,2,SONOBE,17:30,17:31
KS2_7,3,AYABE,18:00,18:01
KS2_7,4,FUKUCHIYAMA,18:15,18:17
KS2_7,5,WADAYAMA,18:50,18:51
KS2_7,6,YOKA,19:05,19:06
KS2_7,7,TOYOOKA,19:25,19:26
KS2_7,8,KINOSAKI_ONSEN,19:35,
KS2_9,1,KYOTO,,19:00
KS2_9,2,SONOBE,19:30,19:31
KS2_9,3,AYABE,20:00,20:01
KS2_9,4,FUKUCHIYAMA,20:15,20:17
KS2_9,5,WADAYAMA,20:50,20:51
KS2_9,6,YOKA,21:05,21:06
KS2_9,7,TOYOOKA,21:25,21:26
KS2_9,8,KINOSAKI_ONSEN,21:35,
KS2_2,1,KINOSAKI_ONSEN,,07:00
KS2_2,2,TOYOOKA,07:09,07:10
KS2_2,3,YOKA,07:29,07:30
KS2_2,4,WADAYAMA,07:44,07:45
KS2_2,5,FUKUCHIYAMA,08:18,08:20
KS2_2,6,AYABE,08:34,08:35
KS2_2,7,SONOBE,09:04,09:05
KS2_2,8,KYOTO,09:35,
KS2_4,1,KINOSAKI_ONSEN,,09:00
KS2_4,2,TOYOOKA,09:09,09:10
KS2_4,3,YOKA,09:29,09:30
KS2_4,4,WADAYAMA,09:44,09:45
KS2_4,5,FUKUCHIYAMA,10:18,10:20
KS2_4,6,AYABE,10:34,10:35
KS2_4,7,SONOBE,11:04,11:05
KS2_4,8,KYOTO,11:35,
KS2_6,1,KINOSAKI_ONSEN,,12:00
KS2_6,2,TOYOOKA,12:09,12:10
KS2_6,3,YOKA,12:29,12:30
KS2_6,4,WADAYAMA,12:44,12:45
KS2_6,5,FUKUCHIYAMA,13:18,13:20
KS2_6,6,AYABE,13:34,13:35
KS2_6,7,SONOBE,14:04,14:05
KS2_6,8,KYOTO,14:35,
KS2_8,1,KINOSAKI_ONSEN,,15:00
KS2_8,2,TOYOOKA,15:09,15:10
KS2_8,3,YOKA,15:29,15:30
KS2_8,4,WADAYAMA,15:44,15:45
KS2_8,5,FUKUCHIYAMA,16:18,16:20
KS2_8,6,AYABE,16:34,16:35
KS2_8,7,SONOBE,17:04,17:05
KS2_8,8,KYOTO,17:35,
KS2_10,1,KINOSAKI_ONSEN,,18:00
KS2_10,2,TOYOOKA,18:09,18:10
KS2_10,3,YOKA,18:29,18:30
KS2_10,4,WADAYAMA,18:44,18:45
KS2_10,5,FUKUCHIYAMA,19:18,19:20
KS2_10,6,AYABE,19:34,19:35
KS2_10,7,SONOBE,20:04,20:05
KS2_10,8,KYOTO,20:35,
