train_id,stop_order,station_id,arrival,departure
KIRISHIMA_1,1,MIYAZAKI,,06:20
KIRISHIMA_1,2,MIYAKONOJO,07:10,07:11
KIRISHIMA_1,3,KOKUBU,07:45,07:46
KIRISHIMA_1,4,HAYATO,07:55,07:56
KIRISHIMA_1,5,KAGOSHIMA,08:20,08:21
KIRISHIMA_1,6,KAGOSHIMA_CHUO,08:30,
KIRISHIMA_3,1,MIYAZAKI,,07:20
KIRISHIMA_3,2,MIYAKONOJO,08:10,08:11
KIRISHIMA_3,3,KOKUBU,08:45,08:46
KIRISHIMA_3,4,HAYATO,08:55,08:56
KIRISHIMA_3,5,KAGOSHIMA,09:20,09:21
KIRISHIMA_3,6,KAGOSHIMA_CHUO,09:30,
KIRISHIMA_5,1,MIYAZAKI,,08:20
KIRISHIMA_5,2,MIYAKONOJO,09:10,09:11
KIRISHIMA_5,3,KOKUBU,09:45,09:46
KIRISHIMA_5,4,HAYATO,09:55,09:56
KIRISHIMA_5,5,KAGOSHIMA,10:20,10:21
KIRISHIMA_5,6,KAGOSHIMA_CHUO,10:30,
KIRISHIMA_7,1,MIYAZAKI,,09:20
KIRISHIMA_7,2,MIYAKONOJO,10:10,10:11
KIRISHIMA_7,3,KOKUBU,10:45,10:46
KIRISHIMA_7,4,HAYATO,10:55,10:56
KIRISHIMA_7,5,KAGOSHIMA,11:20,11:21
KIRISHIMA_7,6,KAGOSHIMA_CHUO,11:30,
KIRISHIMA_9,1,MIYAZAKI,,10:20
KIRISHIMA_9,2,MIYAKONOJO,11:10,11:11
KIRISHIMA_9,3,KOKUBU,11:45,11:46
KIRISHIMA_9,4,HAYATO,11:55,11:56
KIRISHIMA_9,5,KAGOSHIMA,12:20,12:21
KIRISHIMA_9,6,KAGOSHIMA_CHUO,12:30,
KIRISHIMA_11,1,MIYAZAKI,,11:20
KIRISHIMA_11,2,MIYAKONOJO,12:10,12:11
KIRISHIMA_11,3,KOKUBU,12:45,12:46
KIRISHIMA_11,4,HAYATO,12:55,12:56
KIRISHIMA_11,5,KAGOSHIMA,13:20,13:21
KIRISHIMA_11,6,KAGOSHIMA_CHUO,13:30,
KIRISHIMA_13,1,MIYAZAKI,,12:20
KIRISHIMA_13,2,MIYAKONOJO,13:10,13:11
