train_id,name,direction
KIRISHIMA_1,きりしま1,down
KIRISHIMA_3,きりしま3,down
KIRISHIMA_5,きりしま5,down
KIRISHIMA_7,きりしま7,down
KIRISHIMA_9,きりしま9,down
KIRISHIMA_11,きりしま11,down
KIRISHIMA_13,きりしま13,down
KIRISHIMA_15,きりしま15,down
KIRISHIMA_17,きりしま17,down
KIRISHIMA_19,きりしま19,down
KIRISHIMA_21,きりしま21,down
KIRISHIMA_23,きりしま23,down
KIRISHIMA_25,きりしま25,down
KIRISHIMA_27,きりしま27,down
KIRISHIMA_29,きりしま29,down
KIRISHIMA_31,きりしま31,down
KIRISHIMA_2,きりしま2,up
KIRISHIMA_4,きりしま4,up
KIRISHIMA_6,きりしま6,up
KIRISHIMA_8,きりしま8,up
KIRISHIMA_10,きりしま10,up
KIRISHIMA_12,きりしま12,up
KIRISHIMA_14,きりしま14,up
KIRISHIMA_16,きりしま16,up
KIRISHIMA_18,きりしま18,up
KIRISHIMA_20,きりしま20,up
KIRISHIMA_22,きりしま22,up
KIRISHIMA_24,きりしま24,up
KIRISHIMA_26,きりしま26,up
KIRISHIMA_28,きりしま28,up
KIRISHIMA_30,きりしま30,up
KIRISHIMA_32,きりしま32,up
