train_id,stop_order,station_id,arrival,departure
KR_1,1,MIYAZAKI,,06:00
KR_1,2,MIYAKONOJO,06:40,06:41
KR_1,3,KOKUBU,07:20,07:21
KR_1,4,HAYATO,07:25,07:26
KR_1,5,KAGOSHIMA,07:55,07:56
KR_1,6,KAGOSHIMA_CHUO,08:00,
KR_3,1,MIYAZAKI,,08:00
KR_3,2,MIYAKONOJO,08:40,08:41
KR_3,3,KOKUBU,09:20,09:21
KR_3,4,HAYATO,09:25,09:26
KR_3,5,KAGOSHIMA,09:55,09:56
KR_3,6,KAGOSHIMA_CHUO,10:00,
KR_5,1,MIYAZAKI,,09:00
KR_5,2,MIYAKONOJO,09:40,09:41
KR_5,3,KOKUBU,10:20,10:21
KR_5,4,HAYATO,10:25,10:26
KR_5,5,KAGOSHIMA,10:55,10:56
KR_5,6,KAGOSHIMA_CHUO,11:00,
KR_7,1,MIYAZAKI,,11:00
KR_7,2,MIYAKONOJO,11:40,11:41
KR_7,3,KOKUBU,12:20,12:21
KR_7,4,HAYATO,12:25,12:26
KR_7,5,KAGOSHIMA,12:55,12:56
KR_7,6,KAGOSHIMA_CHUO,13:00,
KR_9,1,MIYAZAKI,,12:00
KR_9,2,MIYAKONOJO,12:40,12:41
KR_9,3,KOKUBU,13:20,13:21
KR_9,4,HAYATO,13:25,13:26
KR_9,5,KAGOSHIMA,13:55,13:56
KR_9,6,KAGOSHIMA_CHUO,14:00,
KR_11,1,MIYAZAKI,,14:00
KR_11,2,MIYAKONOJO,14:40,14:41
KR_11,3,KOKUBU,15:20,15:21
KR_11,4,HAYATO,15:25,15:26
KR_11,5,KAGOSHIMA,15:55,15:56
KR_11,6,KAGOSHIMA_CHUO,16:00,
KR_13,1,MIYAZAKI,,15:00
KR_13,2,MIYAKONOJO,15:40,15:41
KR_13,3,KOKUBU,16:20,16:21
KR_13,4,HAYATO,16:25,16:26
KR_13,5,KAGOSHIMA,16:55,16:56
KR_13,6,KAGOSHIMA_CHUO,17:00,
KR_15,1,MIYAZAKI,,17:00
KR_15,2,MIYAKONOJO,17:40,17:41
KR_15,3,KOKUBU,18:20,18:21
KR_15,4,HAYATO,18:25,18:26
KR_15,5,KAGOSHIMA,18:55,18:56
KR_15,6,KAGOSHIMA_CHUO,19:00,
KR_17,1,MIYAZAKI,,18:00
KR_17,2,MIYAKONOJO,18:40,18:41
KR_17,3,KOKUBU,19:20,19:21
KR_17,4,HAYATO,19:25,19:26
KR_17,5,KAGOSHIMA,19:55,19:56
KR_17,6,KAGOSHIMA_CHUO,20:00,
KR_19,1,MIYAZAKI,,20:00
KR_19,2,MIYAKONOJO,20:40,20:41
KR_19,3,KOKUBU,21:20,21:21
KR_19,4,HAYATO,21:25,21:26
KR_19,5,KAGOSHIMA,21:55,21:56
KR_19,6,KAGOSHIMA_CHUO,22:00,
KR_2,1,KAGOSHIMA_CHUO,,06:00
KR_2,2,KAGOSHIMA,06:04,06:05
KR_2,3,HAYATO,06:34,06:35
KR_2,4,KOKUBU,06:39,06:40
KR_2,5,MIYAKONOJO,07:19,07:20
KR_2,6,MIYAZAKI,08:00,
KR_4,1,KAGOSHIMA_CHUO,,07:00
KR_4,2,KAGOSHIMA,07:04,07:05
KR_4,3,HAYATO,07:34,07:35
KR_4,4,KOKUBU,07:39,07:40
KR_4,5,MIYAKONOJO,08:19,08:20
KR_4,6,MIYAZAKI,09:00,
KR_6,1,KAGOSHIMA_CHUO,,09:00
KR_6,2,KAGOSHIMA,09:04,09:05
KR_6,3,HAYATO,09:34,09:35
KR_6,4,KOKUBU,09:39,09:40
KR_6,5,MIYAKONOJO,10:19,10:20
KR_6,6,MIYAZAKI,11:00,
KR_8,1,KAGOSHIMA_CHUO,,10:00
KR_8,2,KAGOSHIMA,10:04,10:05
KR_8,3,HAYATO,10:34,10:35
KR_8,4,KOKUBU,10:39,10:40
