train_id,stop_order,station_id,arrival,departure
KOUNOTORI_F_1,1,SHIN_OSAKA,,07:14
KOUNOTORI_F_1,2,AMAGASAKI,07:22,07:23
KOUNOTORI_F_1,3,TAKARAZUKA,07:36,07:38
KOUNOTORI_F_1,4,SANDA,07:49,07:50
KOUNOTORI_F_1,5,SASAYAMAGUCHI,08:09,08:10
KOUNOTORI_F_1,6,FUKUCHIYAMA,08:39,08:41
KOUNOTORI_F_1,7,WADAYAMA,09:04,09:05
KOUNOTORI_F_1,8,YOKA,09:19,09:20
KOUNOTORI_F_1,9,TOYOOKA,09:32,09:33
KOUNOTORI_F_1,10,KINOSAKI_ONSEN,09:44,
KOUNOTORI_F_3,1,SHIN_OSAKA,,09:14
KOUNOTORI_F_3,2,AMAGASAKI,09:22,09:23
KOUNOTORI_F_3,3,TAKARAZUKA,09:36,09:38
KOUNOTORI_F_3,4,SANDA,09:49,09:50
KOUNOTORI_F_3,5,SASAYAMAGUCHI,10:09,10:10
KOUNOTORI_F_3,6,FUKUCHIYAMA,10:39,10:41
KOUNOTORI_F_3,7,WADAYAMA,11:04,11:05
KOUNOTORI_F_3,8,YOKA,11:19,11:20
KOUNOTORI_F_3,9,TOYOOKA,11:32,11:33
KOUNOTORI_F_3,10,KINOSAKI_ONSEN,11:44,
KOUNOTORI_F_5,1,SHIN_OSAKA,,11:14
KOUNOTORI_F_5,2,AMAGASAKI,11:22,11:23
KOUNOTORI_F_5,3,TAKARAZUKA,11:36,11:38
KOUNOTORI_F_5,4,SANDA,11:49,11:50
KOUNOTORI_F_5,5,SASAYAMAGUCHI,12:09,12:10
KOUNOTORI_F_5,6,FUKUCHIYAMA,12:39,12:41
KOUNOTORI_F_5,7,WADAYAMA,13:04,13:05
KOUNOTORI_F_5,8,YOKA,13:19,13:20
KOUNOTORI_F_5,9,TOYOOKA,13:32,13:33
KOUNOTORI_F_5,10,KINOSAKI_ONSEN,13:44,
KOUNOTORI_F_7,1,SHIN_OSAKA,,14:14
KOUNOTORI_F_7,2,AMAGASAKI,14:22,14:23
KOUNOTORI_F_7,3,TAKARAZUKA,14:36,14:38
KOUNOTORI_F_7,4,SANDA,14:49,14:50
KOUNOTORI_F_7,5,SASAYAMAGUCHI,15:09,15:10
KOUNOTORI_F_7,6,FUKUCHIYAMA,15:39,15:41
KOUNOTORI_F_7,7,WADAYAMA,16:04,16:05
KOUNOTORI_F_7,8,YOKA,16:19,16:20
KOUNOTORI_F_7,9,TOYOOKA,16:32,16:33
KOUNOTORI_F_7,10,KINOSAKI_ONSEN,16:44,
KOUNOTORI_F_9,1,SHIN_OSAKA,,17:14
KOUNOTORI_F_9,2,AMAGASAKI,17:22,17:23
KOUNOTORI_F_9,3,TAKARAZUKA,17:36,17:38
KOUNOTORI_F_9,4,SANDA,17:49,17:50
KOUNOTORI_F_9,5,SASAYAMAGUCHI,18:09,18:10
KOUNOTORI_F_9,6,FUKUCHIYAMA,18:39,18:41
KOUNOTORI_F_9,7,WADAYAMA,19:04,19:05
KOUNOTORI_F_9,8,YOKA,19:19,19:20
KOUNOTORI_F_9,9,TOYOOKA,19:32,19:33
KOUNOTORI_F_9,10,KINOSAKI_ONSEN,19:44,
KOUNOTORI_F_11,1,SHIN_OSAKA,,19:14
KOUNOTORI_F_11,2,AMAGASAKI,19:22,19:23
KOUNOTORI_F_11,3,TAKARAZUKA,19:36,19:38
KOUNOTORI_F_11,4,SANDA,19:49,19:50
KOUNOTORI_F_11,5,SASAYAMAGUCHI,20:09,20:10
KOUNOTORI_F_11,6,FUKUCHIYAMA,20:39,20:41
KOUNOTORI_F_11,7,WADAYAMA,21:04,21:05
KOUNOTORI_F_11,8,YOKA,21:19,21:20
KOUNOTORI_F_11,9,TOYOOKA,21:32,21:33
KOUNOTORI_F_11,10,KINOSAKI_ONSEN,21:44,
KOUNOTORI_F_2,1,KINOSAKI_ONSEN,,06:00
KOUNOTORI_F_2,2,TOYOOKA,06:11,06:12
