train_id,name,direction
KOUNOTORI_F_1,こうのとり(城崎)1,down
KOUNOTORI_F_3,こうのとり(城崎)3,down
KOUNOTORI_F_5,こうのとり(城崎)5,down
KOUNOTORI_F_7,こうのとり(城崎)7,down
KOUNOTORI_F_9,こうのとり(城崎)9,down
KOUNOTORI_F_11,こうのとり(城崎)11,down
KOUNOTORI_F_2,こうのとり(城崎)2,up
KOUNOTORI_F_4,こうのとり(城崎)4,up
KOUNOTORI_F_6,こうのとり(城崎)6,up
KOUNOTORI_F_8,こうのとり(城崎)8,up
KOUNOTORI_F_10,こうのとり(城崎)10,up
KOUNOTORI_F_12,こうのとり(城崎)12,up
KOUNOTORI_S_1,こうのとり(福知山)1,down
KOUNOTORI_S_3,こうのとり(福知山)3,down
KOUNOTORI_S_5,こうのとり(福知山)5,down
KOUNOTORI_S_7,こうのとり(福知山)7,down
KOUNOTORI_S_9,こうのとり(福知山)9,down
KOUNOTORI_S_11,こうのとり(福知山)11,down
KOUNOTORI_S_13,こうのとり(福知山)13,down
KOUNOTORI_S_2,こうのとり(福知山)2,up
KOUNOTORI_S_4,こうのとり(福知山)4,up
KOUNOTORI_S_6,こうのとり(福知山)6,up
KOUNOTORI_S_8,こうのとり(福知山)8,up
KOUNOTORI_S_10,こうのとり(福知山)10,up
KOUNOTORI_S_12,こうのとり(福知山)12,up
KOUNOTORI_S_14,こうのとり(福知山)14,up
