train_id,stop_order,station_id,arrival,departure
KN_1,1,SHIN_OSAKA,,08:00
KN_1,2,AMAGASAKI,08:08,08:09
KN_1,3,TAKARAZUKA,08:20,08:21
KN_1,4,SANDA,08:30,08:31
KN_1,5,SASAYAMAGUCHI,08:45,08:46
KN_1,6,FUKUCHIYAMA,09:15,09:17
KN_1,7,WADAYAMA,09:50,09:51
KN_1,8,YOKA,10:05,10:06
KN_1,9,TOYOOKA,10:28,10:29
KN_1,10,KINOSAKI_ONSEN,10:40,
KN_3,1,SHIN_OSAKA,,11:00
KN_3,2,AMAGASAKI,11:08,11:09
KN_3,3,TAKARAZUKA,11:20,11:21
KN_3,4,SANDA,11:30,11:31
KN_3,5,SASAYAMAGUCHI,11:45,11:46
KN_3,6,FUKUCHIYAMA,12:15,12:17
KN_3,7,WADAYAMA,12:50,12:51
KN_3,8,YOKA,13:05,13:06
KN_3,9,TOYOOKA,13:28,13:29
KN_3,10,KINOSAKI_ONSEN,13:40,
KN_5,1,SHIN_OSAKA,,14:00
KN_5,2,AMAGASAKI,14:08,14:09
KN_5,3,TAKARAZUKA,14:20,14:21
KN_5,4,SANDA,14:30,14:31
KN_5,5,SASAYAMAGUCHI,14:45,14:46
KN_5,6,FUKUCHIYAMA,15:15,15:17
KN_5,7,WADAYAMA,15:50,15:51
KN_5,8,YOKA,16:05,16:06
KN_5,9,TOYOOKA,16:28,16:29
KN_5,10,KINOSAKI_ONSEN,16:40,
KN_7,1,SHIN_OSAKA,,17:00
KN_7,2,AMAGASAKI,17:08,17:09
KN_7,3,TAKARAZUKA,17:20,17:21
KN_7,4,SANDA,17:30,17:31
KN_7,5,SASAYAMAGUCHI,17:45,17:46
KN_7,6,FUKUCHIYAMA,18:15,18:17
KN_7,7,WADAYAMA,18:50,18:51
KN_7,8,YOKA,19:05,19:06
KN_7,9,TOYOOKA,19:28,19:29
KN_7,10,KINOSAKI_ONSEN,19:40,
KN_9,1,SHIN_OSAKA,,07:00
KN_9,2,AMAGASAKI,07:08,07:09
KN_9,3,TAKARAZUKA,07:20,07:21
KN_9,4,SANDA,07:30,07:31
KN_9,5,SASAYAMAGUCHI,07:45,07:46
KN_9,6,FUKUCHIYAMA,08:20,
KN_11,1,SHIN_OSAKA,,09:00
KN_11,2,AMAGASAKI,09:08,09:09
KN_11,3,TAKARAZUKA,09:20,09:21
KN_11,4,SANDA,09:30,09:31
KN_11,5,SASAYAMAGUCHI,09:45,09:46
KN_11,6,FUKUCHIYAMA,10:20,
KN_13,1,SHIN_OSAKA,,10:00
KN_13,2,AMAGASAKI,10:08,10:09
KN_13,3,TAKARAZUKA,10:20,10:21
KN_13,4,SANDA,10:30,10:31
KN_13,5,SASAYAMAGUCHI,10:45,10:46
KN_13,6,FUKUCHIYAMA,11:20,
KN_15,1,SHIN_OSAKA,,12:00
KN_15,2,AMAGASAKI,12:08,12:09
KN_15,3,TAKARAZUKA,12:20,12:21
KN_15,4,SANDA,12:30,12:31
KN_15,5,SASAYAMAGUCHI,12:45,12:46
KN_15,6,FUKUCHIYAMA,13:20,
KN_17,1,SHIN_OSAKA,,13:00
KN_17,2,AMAGASAKI,13:08,13:09
KN_17,3,TAKARAZUKA,13:20,13:21
KN_17,4,SANDA,13:30,13:31
KN_17,5,SASAYAMAGUCHI,13:45,13:46
KN_17,6,FUKUCHIYAMA,14:20,
KN_19,1,SHIN_OSAKA,,15:00
KN_19,2,AMAGASAKI,15:08,15:09
KN_19,3,TAKARAZUKA,15:20,15:21
KN_19,4,SANDA,15:30,15:31
KN_19,5,SASAYAMAGUCHI,15:45,15:46
KN_19,6,FUKUCHIYAMA,16:20,
KN_21,1,SHIN_OSAKA,,16:00
KN_21,2,AMAGASAKI,16:08,16:09
KN_21,3,TAKARAZUKA,16:20,16:21
KN_21,4,SANDA,16:30,16:31
KN_21,5,SASAYAMAGUCHI,16:45,16:46
KN_21,6,FUKUCHIYAMA,17:20,
KN_23,1,SHIN_OSAKA,,18:00
KN_23,2,AMAGASAKI,18:08,18:09
KN_23,3,TAKARAZUKA,18:20,18:21
KN_23,4,SANDA,18:30,18:31
KN_23,5,SASAYAMAGUCHI,18:45,18:46
KN_23,6,FUKUCHIYAMA,19:20,
KN_25,1,SHIN_OSAKA,,19:00
KN_25,2,AMAGASAKI,19:08,19:09
KN_25,3,TAKARAZUKA,19:20,19:21
KN_25,4,SANDA,19:30,19:31
KN_25,5,SASAYAMAGUCHI,19:45,19:46
KN_25,6,FUKUCHIYAMA,20:20,
KN_2,1,KINOSAKI_ONSEN,,06:00
KN_2,2,TOYOOKA,06:11,06:12
KN_2,3,YOKA,06:34,06:35
KN_2,4,WADAYAMA,06:49,06:50
KN_2,5,FUKUCHIYAMA,07:23,07:25
KN_2,6,SASAYAMAGUCHI,07:55,07:56
KN_2,7,SANDA,08:10,08:11
KN_2,8,TAKARAZUKA,08:20,08:21
KN_2,9,AMAGASAKI,08:32,08:33
KN_2,10,SHIN_OSAKA,08:40,
KN_4,1,KINOSAKI_ONSEN,,10:00
KN_4,2,TOYOOKA,10:11,10:12
KN_4,3,YOKA,10:34,10:35
KN_4,4,WADAYAMA,10:49,10:50
KN_4,5,FUKUCHIYAMA,11:23,11:25
KN_4,6,SASAYAMAGUCHI,11:55,11:56
KN_4,7,SANDA,12:10,12:11
KN_4,8,TAKARAZUKA,12:20,12:21
KN_4,9,AMAGASAKI,12:32,12:33
KN_4,10,SHIN_OSAKA,12:40,
KN_6,1,KINOSAKI_ONSEN,,13:00
KN_6,2,TOYOOKA,13:11,13:12
KN_6,3,YOKA,13:34,13:35
KN_6,4,WADAYAMA,13:49,13:50
KN_6,5,FUKUCHIYAMA,14:23,14:25
KN_6,6,SASAYAMAGUCHI,14:55,14:56
KN_6,7,SANDA,15:10,15:11
KN_6,8,TAKARAZUKA,15:20,15:21
KN_6,9,AMAGASAKI,15:32,15:33
KN_6,10,SHIN_OSAKA,15:40,
KN_8,1,KINOSAKI_ONSEN,,16:00
KN_8,2,TOYOOKA,16:11,16:12
KN_8,3,YOKA,16:34,16:35
KN_8,4,WADAYAMA,16:49,16:50
KN_8,5,FUKUCHIYAMA,17:23,17:25
KN_8,6,SASAYAMAGUCHI,17:55,17:56
KN_8,7,SANDA,18:10,18:11
KN_8,8,TAKARAZUKA,18:20,18:21
KN_8,9,AMAGASAKI,18:32,18:33
KN_8,10,SHIN_OSAKA,18:40,
KN_10,1,FUKUCHIYAMA,,07:00
KN_10,2,SASAYAMAGUCHI,07:35,07:36
KN_10,3,SANDA,07:50,07:51
KN_10,4,TAKARAZUKA,08:00,08:01
KN_10,5,AMAGASAKI,08:12,08:13
KN_10,6,SHIN_OSAKA,08:20,
KN_12,1,FUKUCHIYAMA,,08:00
KN_12,2,SASAYAMAGUCHI,08:35,08:36
KN_12,3,SANDA,08:50,08:51
KN_12,4,TAKARAZUKA,09:00,09:01
KN_12,5,AMAGASAKI,09:12,09:13
KN_12,6,SHIN_OSAKA,09:20,
KN_14,1,FUKUCHIYAMA,,11:00
KN_14,2,SASAYAMAGUCHI,11:35,11:36
KN_14,3,SANDA,11:50,11:51
KN_14,4,TAKARAZUKA,12:00,12:01
KN_14,5,AMAGASAKI,12:12,12:13
KN_14,6,SHIN_OSAKA,12:20,
KN_16,1,FUKUCHIYAMA,,12:00
KN_16,2,SASAYAMAGUCHI,12:35,12:36
KN_16,3,SANDA,12:50,12:51
KN_16,4,TAKARAZUKA,13:00,13:01
KN_16,5,AMAGASAKI,13:12,13:13
KN_16,6,SHIN_OSAKA,13:20,
KN_18,1,FUKUCHIYAMA,,14:00
KN_18,2,SASAYAMAGUCHI,14:35,14:36
KN_18,3,SANDA,14:50,14:51
KN_18,4,TAKARAZUKA,15:00,15:01
KN_18,5,AMAGASAKI,15:12,15:13
KN_18,6,SHIN_OSAKA,15:20,
KN_20,1,FUKUCHIYAMA,,15:00
KN_20,2,SASAYAMAGUCHI,15:35,15:36
KN_20,3,SANDA,15:50,15:51
KN_20,4,TAKARAZUKA,16:00,16:01
KN_20,5,AMAGASAKI,16:12,16:13
KN_20,6,SHIN_OSAKA,16:20,
KN_22,1,FUKUCHIYAMA,,17:00
KN_22,2,SASAYAMAGUCHI,17:35,17:36
KN_22,3,SANDA,17:50,17:51
KN_22,4,TAKARAZUKA,18:00,18:01
KN_22,5,AMAGASAKI,18:12,18:13
KN_22,6,SHIN_OSAKA,18:20,
KN_24,1,FUKUCHIYAMA,,19:00
KN_24,2,SASAYAMAGUCHI,19:35,19:36
KN_24,3,SANDA,19:50,19:51
KN_24,4,TAKARAZUKA,20:00,20:01
KN_24,5,AMAGASAKI,20:12,20:13
KN_24,6,SHIN_OSAKA,20:20,
KN_26,1,FUKUCHIYAMA,,20:00
KN_26,2,SASAYAMAGUCHI,20:35,20:36
KN_26,3,SANDA,20:50,20:51
KN_26,4,TAKARAZUKA,21:00,21:01
KN_26,5,AMAGASAKI,21:12,21:13
KN_26,6,SHIN_OSAKA,21:20,
