train_id,stop_order,station_id,arrival,departure
KOYA_1,1,NAMBA,,07:00
KOYA_1,2,SHIN_IMAMIYA,07:03,07:04
KOYA_1,3,TENGACHAYA,07:06,07:07
KOYA_1,4,SAKAITO,07:14,07:15
KOYA_1,5,KAWACHI_NAGANO,07:33,07:34
KOYA_1,6,HASHIMOTO,08:05,08:07
KOYA_1,7,GOKURAKUBASHI,08:40,
KOYA_3,1,NAMBA,,09:00
KOYA_3,2,SHIN_IMAMIYA,09:03,09:04
KOYA_3,3,TENGACHAYA,09:06,09:07
KOYA_3,4,SAKAITO,09:14,09:15
KOYA_3,5,KAWACHI_NAGANO,09:33,09:34
KOYA_3,6,HASHIMOTO,10:05,10:07
KOYA_3,7,GOKURAKUBASHI,10:40,
KOYA_5,1,NAMBA,,11:00
KOYA_5,2,SHIN_IMAMIYA,11:03,11:04
KOYA_5,3,TENGACHAYA,11:06,11:07
KOYA_5,4,SAKAITO,11:14,11:15
KOYA_5,5,KAWACHI_NAGANO,11:33,11:34
KOYA_5,6,HASHIMOTO,12:05,12:07
KOYA_5,7,GOKURAKUBASHI,12:40,
KOYA_7,1,NAMBA,,13:00
KOYA_7,2,SHIN_IMAMIYA,13:03,13:04
KOYA_7,3,TENGACHAYA,13:06,13:07
KOYA_7,4,SAKAITO,13:14,13:15
KOYA_7,5,KAWACHI_NAGANO,13:33,13:34
KOYA_7,6,HASHIMOTO,14:05,14:07
KOYA_7,7,GOKURAKUBASHI,14:40,
KOYA_9,1,NAMBA,,15:00
KOYA_9,2,SHIN_IMAMIYA,15:03,15:04
KOYA_9,3,TENGACHAYA,15:06,15:07
KOYA_9,4,SAKAITO,15:14,15:15
KOYA_9,5,KAWACHI_NAGANO,15:33,15:34
KOYA_9,6,HASHIMOTO,16:05,16:07
KOYA_9,7,GOKURAKUBASHI,16:40,
KOYA_11,1,NAMBA,,17:00
KOYA_11,2,SHIN_IMAMIYA,17:03,17:04
KOYA_11,3,TENGACHAYA,17:06,17:07
KOYA_11,4,SAKAITO,17:14,17:15
KOYA_11,5,KAWACHI_NAGANO,17:33,17:34
KOYA_11,6,HASHIMOTO,18:05,18:07
KOYA_11,7,GOKURAKUBASHI,18:40,
KOYA_13,1,NAMBA,,19:00
KOYA_13,2,SHIN_IMAMIYA,19:03,19:04
KOYA_13,3,TENGACHAYA,19:06,19:07
KOYA_13,4,SAKAITO,19:14,19:15
KOYA_13,5,KAWACHI_NAGANO,19:33,19:34
KOYA_13,6,HASHIMOTO,20:05,20:07
KOYA_13,7,GOKURAKUBASHI,20:40,
KOYA_2,1,GOKURAKUBASHI,,09:30
KOYA_2,2,HASHIMOTO,10:03,10:05
KOYA_2,3,KAWACHI_NAGANO,10:36,10:37
KOYA_2,4,SAKAITO,10:55,10:56
KOYA_2,5,TENGACHAYA,11:03,11:04
KOYA_2,6,SHIN_IMAMIYA,11:06,11:07
KOYA_2,7,NAMBA,11:10,
KOYA_4,1,GOKURAKUBASHI,,11:30
KOYA_4,2,HASHIMOTO,12:03,12:05
KOYA_4,3,KAWACHI_NAGANO,12:36,12:37
KOYA_4,4,SAKAITO,12:55,12:56
KOYA_4,5,TENGACHAYA,13:03,13:04
KOYA_4,6,SHIN_IMAMIYA,13:06,13:07
KOYA_4,7,NAMBA,13:10,
KOYA_6,1,GOKURAKUBASHI,,13:30
KOYA_6,2,HASHIMOTO,14:03,14:05
KOYA_6,3,KAWACHI_NAGANO,14:36,14:37
KOYA_6,4,SAKAITO,14:55,14:56
KOYA_6,5,TENGACHAYA,15:03,15:04
KOYA_6,6,SHIN_IMAMIYA,15:06,15:07
KOYA_6,7,NAMBA,15:10,
KOYA_8,1,GOKURAKUBASHI,,15:30
KOYA_8,2,HASHIMOTO,16:03,16:05
KOYA_8,3,KAWACHI_NAGANO,16:36,16:37
KOYA_8,4,SAKAITO,16:55,16:56
KOYA_8,5,TENGACHAYA,17:03,17:04
KOYA_8,6,SHIN_IMAMIYA,17:06,17:07
KOYA_8,7,NAMBA,17:10,
KOYA_10,1,GOKURAKUBASHI,,17:30
KOYA_10,2,HASHIMOTO,18:03,18:05
KOYA_10,3,KAWACHI_NAGANO,18:36,18:37
KOYA_10,4,SAKAITO,18:55,18:56
KOYA_10,5,TENGACHAYA,19:03,19:04
KOYA_10,6,SHIN_IMAMIYA,19:06,19:07
KOYA_10,7,NAMBA,19:10,
KOYA_12,1,GOKURAKUBASHI,,19:30
KOYA_12,2,HASHIMOTO,20:03,20:05
KOYA_12,3,KAWACHI_NAGANO,20:36,20:37
KOYA_12,4,SAKAITO,20:55,20:56
KOYA_12,5,TENGACHAYA,21:03,21:04
KOYA_12,6,SHIN_IMAMIYA,21:06,21:07
KOYA_12,7,NAMBA,21:10,
KOYA_14,1,GOKURAKUBASHI,,21:30
KOYA_14,2,HASHIMOTO,22:03,22:05
KOYA_14,3,KAWACHI_NAGANO,22:36,22:37
KOYA_14,4,SAKAITO,22:55,22:56
KOYA_14,5,TENGACHAYA,23:03,23:04
KOYA_14,6,SHIN_IMAMIYA,23:06,23:07
KOYA_14,7,NAMBA,23:10,
