train_id,stop_order,station_id,arrival,departure
KUROSHIO_S_1,1,SHIN_OSAKA,,07:15
KUROSHIO_S_1,2,TENNOJI,07:30,07:32
KUROSHIO_S_1,3,WAKAYAMA,08:05,08:07
KUROSHIO_S_1,4,KAINAN,08:15,08:16
KUROSHIO_S_1,5,GOBO,08:45,08:46
KUROSHIO_S_1,6,KII_TANABE,09:30,09:32
KUROSHIO_S_1,7,SHIRAHAMA,09:40,09:42
KUROSHIO_S_1,8,SUSAMI,10:02,10:03
KUROSHIO_S_1,9,KUSHIMOTO,10:30,10:31
KUROSHIO_S_1,10,KII_KATSUURA,10:55,10:56
KUROSHIO_S_1,11,SHINGU,11:15,
KUROSHIO_S_3,1,SHIN_OSAKA,,09:15
KUROSHIO_S_3,2,TENNOJI,09:30,09:32
KUROSHIO_S_3,3,WAKAYAMA,10:05,10:07
KUROSHIO_S_3,4,KAINAN,10:15,10:16
KUROSHIO_S_3,5,GOBO,10:45,10:46
KUROSHIO_S_3,6,KII_TANABE,11:30,11:32
KUROSHIO_S_3,7,SHIRAHAMA,11:40,11:42
KUROSHIO_S_3,8,SUSAMI,12:02,12:03
KUROSHIO_S_3,9,KUSHIMOTO,12:30,12:31
KUROSHIO_S_3,10,KII_KATSUURA,12:55,12:56
KUROSHIO_S_3,11,SHINGU,13:15,
KUROSHIO_S_5,1,SHIN_OSAKA,,11:15
KUROSHIO_S_5,2,TENNOJI,11:30,11:32
KUROSHIO_S_5,3,WAKAYAMA,12:05,12:07
KUROSHIO_S_5,4,KAINAN,12:15,12:16
KUROSHIO_S_5,5,GOBO,12:45,12:46
KUROSHIO_S_5,6,KII_TANABE,13:30,13:32
KUROSHIO_S_5,7,SHIRAHAMA,13:40,13:42
KUROSHIO_S_5,8,SUSAMI,14:02,14:03
KUROSHIO_S_5,9,KUSHIMOTO,14:30,14:31
KUROSHIO_S_5,10,KII_KATSUURA,14:55,14:56
KUROSHIO_S_5,11,SHINGU,15:15,
KUROSHIO_S_7,1,SHIN_OSAKA,,13:15
KUROSHIO_S_7,2,TENNOJI,13:30,13:32
KUROSHIO_S_7,3,WAKAYAMA,14:05,14:07
KUROSHIO_S_7,4,KAINAN,14:15,14:16
KUROSHIO_S_7,5,GOBO,14:45,14:46
KUROSHIO_S_7,6,KII_TANABE,15:30,15:32
KUROSHIO_S_7,7,SHIRAHAMA,15:40,15:42
KUROSHIO_S_7,8,SUSAMI,16:02,16:03
KUROSHIO_S_7,9,KUSHIMOTO,16:30,16:31
