train_id,name,direction
KUROSHIO_S_1,くろしお(新宮)1,down
KUROSHIO_S_3,くろしお(新宮)3,down
KUROSHIO_S_5,くろしお(新宮)5,down
KUROSHIO_S_7,くろしお(新宮)7,down
KUROSHIO_S_9,くろしお(新宮)9,down
KUROSHIO_S_2,くろしお(新宮)2,up
KUROSHIO_S_4,くろしお(新宮)4,up
KUROSHIO_S_6,くろしお(新宮)6,up
KUROSHIO_S_8,くろしお(新宮)8,up
KUROSHIO_S_10,くろしお(新宮)10,up
KUROSHIO_H_1,くろしお(白浜)1,down
KUROSHIO_H_3,くろしお(白浜)3,down
KUROSHIO_H_5,くろしお(白浜)5,down
KUROSHIO_H_7,くろしお(白浜)7,down
KUROSHIO_H_9,くろしお(白浜)9,down
KUROSHIO_H_11,くろしお(白浜)11,down
KUROSHIO_H_13,くろしお(白浜)13,down
KUROSHIO_H_15,くろしお(白浜)15,down
KUROSHIO_H_17,くろしお(白浜)17,down
KUROSHIO_H_19,くろしお(白浜)19,down
KUROSHIO_H_21,くろしお(白浜)21,down
KUROSHIO_H_23,くろしお(白浜)23,down
KUROSHIO_H_25,くろしお(白浜)25,down
KUROSHIO_H_27,くろしお(白浜)27,down
KUROSHIO_H_29,くろしお(白浜)29,down
KUROSHIO_H_2,くろしお(白浜)2,up
KUROSHIO_H_4,くろしお(白浜)4,up
KUROSHIO_H_6,くろしお(白浜)6,up
KUROSHIO_H_8,くろしお(白浜)8,up
KUROSHIO_H_10,くろしお(白浜)10,up
KUROSHIO_H_12,くろしお(白浜)12,up
KUROSHIO_H_14,くろしお(白浜)14,up
KUROSHIO_H_16,くろしお(白浜)16,up
KUROSHIO_H_18,くろしお(白浜)18,up
KUROSHIO_H_20,くろしお(白浜)20,up
KUROSHIO_H_22,くろしお(白浜)22,up
KUROSHIO_H_24,くろしお(白浜)24,up
KUROSHIO_H_26,くろしお(白浜)26,up
KUROSHIO_H_28,くろしお(白浜)28,up
KUROSHIO_H_30,くろしお(白浜)30,up
