train_id,stop_order,station_id,arrival,departure
KS_1,1,SHIN_OSAKA,,07:00
KS_1,2,TENNOJI,07:15,07:16
KS_1,3,WAKAYAMA,08:00,08:01
KS_1,4,KAINAN,08:13,08:14
KS_1,5,GOBO,08:37,08:38
KS_1,6,KII_TANABE,09:10,09:11
KS_1,7,SHIRAHAMA,09:20,09:21
KS_1,8,SUSAMI,09:40,09:41
KS_1,9,KUSHIMOTO,10:20,10:21
KS_1,10,KII_KATSUURA,10:45,10:46
KS_1,11,SHINGU,11:05,
KS_3,1,SHIN_OSAKA,,11:00
KS_3,2,TENNOJI,11:15,11:16
KS_3,3,WAKAYAMA,12:00,12:01
KS_3,4,KAINAN,12:13,12:14
KS_3,5,GOBO,12:37,12:38
KS_3,6,KII_TANABE,13:10,13:11
KS_3,7,SHIRAHAMA,13:20,13:21
KS_3,8,SUSAMI,13:40,13:41
KS_3,9,KUSHIMOTO,14:20,14:21
KS_3,10,KII_KATSUURA,14:45,14:46
KS_3,11,SHINGU,15:05,
KS_5,1,SHIN_OSAKA,,16:00
KS_5,2,TENNOJI,16:15,16:16
KS_5,3,WAKAYAMA,17:00,17:01
KS_5,4,KAINAN,17:13,17:14
KS_5,5,GOBO,17:37,17:38
KS_5,6,KII_TANABE,18:10,18:11
KS_5,7,SHIRAHAMA,18:20,18:21
KS_5,8,SUSAMI,18:40,18:41
KS_5,9,KUSHIMOTO,19:20,19:21
KS_5,10,KII_KATSUURA,19:45,19:46
KS_5,11,SHINGU,20:05,
KS_7,1,SHIN_OSAKA,,08:00
KS_7,2,TENNOJI,08:15,08:16
KS_7,3,WAKAYAMA,09:00,09:01
KS_7,4,KAINAN,09:13,09:14
KS_7,5,GOBO,09:37,09:38
KS_7,6,KII_TANABE,10:10,10:11
KS_7,7,SHIRAHAMA,10:20,
KS_9,1,SHIN_OSAKA,,09:00
KS_9,2,TENNOJI,09:15,09:16
KS_9,3,WAKAYAMA,10:00,10:01
KS_9,4,KAINAN,10:13,10:14
KS_9,5,GOBO,10:37,10:38
KS_9,6,KII_TANABE,11:10,11:11
KS_9,7,SHIRAHAMA,11:20,
KS_11,1,SHIN_OSAKA,,10:00
KS_11,2,TENNOJI,10:15,10:16
KS_11,3,WAKAYAMA,11:00,11:01
KS_11,4,KAINAN,11:13,11:14
KS_11,5,GOBO,11:37,11:38
KS_11,6,KII_TANABE,12:10,12:11
KS_11,7,SHIRAHAMA,12:20,
KS_13,1,SHIN_OSAKA,,12:00
KS_13,2,TENNOJI,12:15,12:16
KS_13,3,WAKAYAMA,13:00,13:01
KS_13,4,KAINAN,13:13,13:14
KS_13,5,GOBO,13:37,13:38
KS_13,6,KII_TANABE,14:10,14:11
