train_id,stop_order,station_id,arrival,departure
KO_1,1,KUMAMOTO,,09:56
KO_1,2,SHIN_SUIZENJI,10:02,10:03
KO_1,3,HIGO_OZU,10:18,10:19
KO_1,4,TATENO,10:36,10:37
KO_1,5,ASO,10:54,10:55
KO_1,6,MIYAJI,10:58,10:59
KO_1,7,BUNGO_OGI,11:21,11:22
KO_1,8,BUNGO_TAKETA,11:32,11:33
KO_1,9,OGATA,11:43,11:44
KO_1,10,MIE_MACHI,11:54,11:55
KO_1,11,OITA,12:21,
KO_3,1,KUMAMOTO,,11:51
KO_3,2,SHIN_SUIZENJI,11:57,11:58
KO_3,3,HIGO_OZU,12:13,12:14
KO_3,4,TATENO,12:31,12:32
KO_3,5,ASO,12:49,12:50
KO_3,6,MIYAJI,12:53,12:54
KO_3,7,BUNGO_OGI,13:16,13:17
KO_3,8,BUNGO_TAKETA,13:27,13:28
KO_3,9,OGATA,13:38,13:39
KO_3,10,MIE_MACHI,13:49,13:50
KO_3,11,OITA,14:16,
KO_4,1,OITA,,12:09
KO_4,2,MIE_MACHI,12:36,12:37
KO_4,3,OGATA,12:47,12:48
KO_4,4,BUNGO_TAKETA,12:58,12:59
KO_4,5,BUNGO_OGI,13:09,13:10
KO_4,6,MIYAJI,13:32,13:33
KO_4,7,ASO,13:36,13:37
KO_4,8,TATENO,13:54,13:55
KO_4,9,HIGO_OZU,14:12,14:13
KO_4,10,SHIN_SUIZENJI,14:28,14:29
KO_4,11,KUMAMOTO,14:34,
KO_6,1,OITA,,15:32
KO_6,2,MIE_MACHI,15:59,16:00
KO_6,3,OGATA,16:10,16:11
KO_6,4,BUNGO_TAKETA,16:21,16:22
KO_6,5,BUNGO_OGI,16:32,16:33
KO_6,6,MIYAJI,16:55,16:56
KO_6,7,ASO,16:59,17:00
KO_6,8,TATENO,17:17,17:18
KO_6,9,HIGO_OZU,17:35,17:36
KO_6,10,SHIN_SUIZENJI,17:51,17:52
KO_6,11,KUMAMOTO,17:57,
KO_B_5,1,KUMAMOTO,,15:23
KO_B_5,2,SHIN_SUIZENJI,15:29,15:30
KO_B_5,3,HIGO_OZU,15:45,15:46
KO_B_5,4,TATENO,16:03,16:04
KO_B_5,5,ASO,16:21,16:22
KO_B_5,6,MIYAJI,16:25,16:26
KO_B_5,7,BUNGO_OGI,16:48,16:49
KO_B_5,8,BUNGO_TAKETA,16:59,17:00
KO_B_5,9,OGATA,17:10,17:11
KO_B_5,10,MIE_MACHI,17:21,17:22
KO_B_5,11,OITA,17:48,17:50
KO_B_5,12,BEPPU,18:03,
KO_B_2,1,BEPPU,,07:52
KO_B_2,2,OITA,08:05,08:07
KO_B_2,3,MIE_MACHI,08:34,08:35
KO_B_2,4,OGATA,08:45,08:46
KO_B_2,5,BUNGO_TAKETA,08:56,08:57
KO_B_2,6,BUNGO_OGI,09:07,09:08
KO_B_2,7,MIYAJI,09:30,09:31
KO_B_2,8,ASO,09:34,09:35
KO_B_2,9,TATENO,09:52,09:53
KO_B_2,10,HIGO_OZU,10:10,10:11
KO_B_2,11,SHIN_SUIZENJI,10:26,10:27
KO_B_2,12,KUMAMOTO,10:32,
