train_id,stop_order,station_id,arrival,departure
KYUSHU_1,1,HAKATA,,06:00
KYUSHU_1,2,SHIN_TOSU,06:12,06:13
KYUSHU_1,3,KURUME,06:18,06:19
KYUSHU_1,4,KUMAMOTO,06:50,06:52
KYUSHU_1,5,KAGOSHIMA_CHUO,07:30,
KYUSHU_3,1,HAKATA,,06:32
KYUSHU_3,2,SHIN_TOSU,06:44,06:45
KYUSHU_3,3,KURUME,06:50,06:51
KYUSHU_3,4,KUMAMOTO,07:22,07:24
KYUSHU_3,5,KAGOSHIMA_CHUO,08:02,
KYUSHU_5,1,HAKATA,,07:00
KYUSHU_5,2,SHIN_TOSU,07:12,07:13
KYUSHU_5,3,KURUME,07:18,07:19
KYUSHU_5,4,KUMAMOTO,07:50,07:52
KYUSHU_5,5,KAGOSHIMA_CHUO,08:30,
KYUSHU_7,1,HAKATA,,07:30
KYUSHU_7,2,SHIN_TOSU,07:42,07:43
KYUSHU_7,3,KURUME,07:48,07:49
KYUSHU_7,4,KUMAMOTO,08:20,08:22
KYUSHU_7,5,KAGOSHIMA_CHUO,09:00,
KYUSHU_9,1,HAKATA,,08:13
KYUSHU_9,2,SHIN_TOSU,08:25,08:26
KYUSHU_9,3,KURUME,08:31,08:32
KYUSHU_9,4,KUMAMOTO,09:03,09:05
KYUSHU_9,5,KAGOSHIMA_CHUO,09:43,
KYUSHU_11,1,HAKATA,,08:30
KYUSHU_11,2,SHIN_TOSU,08:42,08:43
KYUSHU_11,3,KURUME,08:48,08:49
KYUSHU_11,4,KUMAMOTO,09:20,09:22
KYUSHU_11,5,KAGOSHIMA_CHUO,10:00,
KYUSHU_13,1,HAKATA,,09:00
KYUSHU_13,2,SHIN_TOSU,09:12,09:13
KYUSHU_13,3,KURUME,09:18,09:19
KYUSHU_13,4,KUMAMOTO,09:50,09:52
KYUSHU_13,5,KAGOSHIMA_CHUO,10:30,
KYUSHU_15,1,HAKATA,,09:30
KYUSHU_15,2,SHIN_TOSU,09:42,09:43
KYUSHU_15,3,KURUME,09:48,09:49
KYUSHU_15,4,KUMAMOTO,10:20,10:22
KYUSHU_15,5,KAGOSHIMA_CHUO,11:00,
KYUSHU_17,1,HAKATA,,10:00
KYUSHU_17,2,SHIN_TOSU,10:12,10:13
KYUSHU_17,3,KURUME,10:18,10:19
KYUSHU_17,4,KUMAMOTO,10:50,10:52
KYUSHU_17,5,KAGOSHIMA_CHUO,11:30,
KYUSHU_19,1,HAKATA,,10:30
KYUSHU_19,2,SHIN_TOSU,10:42,10:43
KYUSHU_19,3,KURUME,10:48,10:49
KYUSHU_19,4,KUMAMOTO,11:20,11:22
KYUSHU_19,5,KAGOSHIMA_CHUO,12:00,
KYUSHU_21,1,HAKATA,,11:00
KYUSHU_21,2,SHIN_TOSU,11:12,11:13
KYUSHU_21,3,KURUME,11:18,11:19
KYUSHU_21,4,KUMAMOTO,11:50,11:52
KYUSHU_21,5,KAGOSHIMA_CHUO,12:30,
KYUSHU_23,1,HAKATA,,11:30
KYUSHU_23,2,SHIN_TOSU,11:42,11:43
KYUSHU_23,3,KURUME,11:48,11:49
KYUSHU_23,4,KUMAMOTO,12:20,12:22
KYUSHU_23,5,KAGOSHIMA_CHUO,13:00,
KYUSHU_25,1,HAKATA,,12:00
KYUSHU_25,2,SHIN_TOSU,12:12,12:13
KYUSHU_25,3,KURUME,12:18,12:19
KYUSHU_25,4,KUMAMOTO,12:50,12:52
KYUSHU_25,5,KAGOSHIMA_CHUO,13:30,
KYUSHU_27,1,HAKATA,,12:30
KYUSHU_27,2,SHIN_TOSU,12:42,12:43
KYUSHU_27,3,KURUME,12:48,12:49
KYUSHU_27,4,KUMAMOTO,13:20,13:22
KYUSHU_27,5,KAGOSHIMA_CHUO,14:00,
KYUSHU_29,1,HAKATA,,13:00
KYUSHU_29,2,SHIN_TOSU,13:12,13:13
KYUSHU_29,3,KURUME,13:18,13:19
KYUSHU_29,4,KUMAMOTO,13:50,13:52
KYUSHU_29,5,KAGOSHIMA_CHUO,14:30,
KYUSHU_31,1,HAKATA,,13:30
KYUSHU_31,2,SHIN_TOSU,13:42,13:43
KYUSHU_31,3,KURUME,13:48,13:49
KYUSHU_31,4,KUMAMOTO,14:20,14:22
KYUSHU_31,5,KAGOSHIMA_CHUO,15:00,
KYUSHU_33,1,HAKATA,,14:00
KYUSHU_33,2,SHIN_TOSU,14:12,14:13
KYUSHU_33,3,KURUME,14:18,14:19
KYUSHU_33,4,KUMAMOTO,14:50,14:52
KYUSHU_33,5,KAGOSHIMA_CHUO,15:30,
KYUSHU_35,1,HAKATA,,14:30
KYUSHU_35,2,SHIN_TOSU,14:42,14:43
KYUSHU_35,3,KURUME,14:48,14:49
KYUSHU_35,4,KUMAMOTO,15:20,15:22
KYUSHU_35,5,KAGOSHIMA_CHUO,16:00,
KYUSHU_37,1,HAKATA,,15:00
KYUSHU_37,2,SHIN_TOSU,15:12,15:13
KYUSHU_37,3,KURUME,15:18,15:19
KYUSHU_37,4,KUMAMOTO,15:50,15:52
KYUSHU_37,5,KAGOSHIMA_CHUO,16:30,
KYUSHU_39,1,HAKATA,,15:30
KYUSHU_39,2,SHIN_TOSU,15:42,15:43
KYUSHU_39,3,KURUME,15:48,15:49
KYUSHU_39,4,KUMAMOTO,16:20,16:22
KYUSHU_39,5,KAGOSHIMA_CHUO,17:00,
KYUSHU_41,1,HAKATA,,16:00
KYUSHU_41,2,SHIN_TOSU,16:12,16:13
KYUSHU_41,3,KURUME,16:18,16:19
KYUSHU_41,4,KUMAMOTO,16:50,16:52
KYUSHU_41,5,KAGOSHIMA_CHUO,17:30,
KYUSHU_43,1,HAKATA,,16:30
KYUSHU_43,2,SHIN_TOSU,16:42,16:43
KYUSHU_43,3,KURUME,16:48,16:49
KYUSHU_43,4,KUMAMOTO,17:20,17:22
KYUSHU_43,5,KAGOSHIMA_CHUO,18:00,
KYUSHU_45,1,HAKATA,,17:00
KYUSHU_45,2,SHIN_TOSU,17:12,17:13
KYUSHU_45,3,KURUME,17:18,17:19
KYUSHU_45,4,KUMAMOTO,17:50,17:52
KYUSHU_45,5,KAGOSHIMA_CHUO,18:30,
KYUSHU_47,1,HAKATA,,17:30
KYUSHU_47,2,SHIN_TOSU,17:42,17:43
KYUSHU_47,3,KURUME,17:48,17:49
KYUSHU_47,4,KUMAMOTO,18:20,18:22
KYUSHU_47,5,KAGOSHIMA_CHUO,19:00,
KYUSHU_49,1,HAKATA,,18:00
KYUSHU_49,2,SHIN_TOSU,18:12,18:13
KYUSHU_49,3,KURUME,18:18,18:19
KYUSHU_49,4,KUMAMOTO,18:50,18:52
KYUSHU_49,5,KAGOSHIMA_CHUO,19:30,
KYUSHU_51,1,HAKATA,,18:30
KYUSHU_51,2,SHIN_TOSU,18:42,18:43
KYUSHU_51,3,KURUME,18:48,18:49
KYUSHU_51,4,KUMAMOTO,19:20,19:22
KYUSHU_51,5,KAGOSHIMA_CHUO,20:00,
KYUSHU_53,1,HAKATA,,19:00
KYUSHU_53,2,SHIN_TOSU,19:12,19:13
KYUSHU_53,3,KURUME,19:18,19:19
KYUSHU_53,4,KUMAMOTO,19:50,19:52
KYUSHU_53,5,KAGOSHIMA_CHUO,20:30,
KYUSHU_55,1,HAKATA,,19:30
KYUSHU_55,2,SHIN_TOSU,19:42,19:43
KYUSHU_55,3,KURUME,19:48,19:49
KYUSHU_55,4,KUMAMOTO,20:20,20:22
KYUSHU_55,5,KAGOSHIMA_CHUO,21:00,
KYUSHU_57,1,HAKATA,,20:00
KYUSHU_57,2,SHIN_TOSU,20:12,20:13
