train_id,name,direction
KYUSHU_1,みずほ/さくら1,down
KYUSHU_3,みずほ/さくら3,down
KYUSHU_5,みずほ/さくら5,down
KYUSHU_7,みずほ/さくら7,down
KYUSHU_9,みずほ/さくら9,down
KYUSHU_11,みずほ/さくら11,down
KYUSHU_13,みずほ/さくら13,down
KYUSHU_15,みずほ/さくら15,down
KYUSHU_17,みずほ/さくら17,down
KYUSHU_19,みずほ/さくら19,down
KYUSHU_21,みずほ/さくら21,down
KYUSHU_23,みずほ/さくら23,down
KYUSHU_25,みずほ/さくら25,down
KYUSHU_27,みずほ/さくら27,down
KYUSHU_29,みずほ/さくら29,down
KYUSHU_31,みずほ/さくら31,down
KYUSHU_33,みずほ/さくら33,down
KYUSHU_35,みずほ/さくら35,down
KYUSHU_37,みずほ/さくら37,down
KYUSHU_39,みずほ/さくら39,down
KYUSHU_41,みずほ/さくら41,down
KYUSHU_43,みずほ/さくら43,down
KYUSHU_45,みずほ/さくら45,down
KYUSHU_47,みずほ/さくら47,down
KYUSHU_49,みずほ/さくら49,down
KYUSHU_51,みずほ/さくら51,down
KYUSHU_53,みずほ/さくら53,down
KYUSHU_55,みずほ/さくら55,down
KYUSHU_57,みずほ/さくら57,down
KYUSHU_59,みずほ/さくら59,down
KYUSHU_61,みずほ/さくら61,down
KYUSHU_63,みずほ/さくら63,down
KYUSHU_65,みずほ/さくら65,down
KYUSHU_67,みずほ/さくら67,down
KYUSHU_69,みずほ/さくら69,down
KYUSHU_71,みずほ/さくら71,down
KYUSHU_73,みずほ/さくら73,down
KYUSHU_75,みずほ/さくら75,down
KYUSHU_2,みずほ/さくら2,up
KYUSHU_4,みずほ/さくら4,up
KYUSHU_6,みずほ/さくら6,up
KYUSHU_8,みずほ/さくら8,up
KYUSHU_10,みずほ/さくら10,up
KYUSHU_12,みずほ/さくら12,up
KYUSHU_14,みずほ/さくら14,up
KYUSHU_16,みずほ/さくら16,up
KYUSHU_18,みずほ/さくら18,up
KYUSHU_20,みずほ/さくら20,up
KYUSHU_22,みずほ/さくら22,up
KYUSHU_24,みずほ/さくら24,up
KYUSHU_26,みずほ/さくら26,up
KYUSHU_28,みずほ/さくら28,up
KYUSHU_30,みずほ/さくら30,up
KYUSHU_32,みずほ/さくら32,up
KYUSHU_34,みずほ/さくら34,up
KYUSHU_36,みずほ/さくら36,up
KYUSHU_38,みずほ/さくら38,up
KYUSHU_40,みずほ/さくら40,up
KYUSHU_42,みずほ/さくら42,up
KYUSHU_44,みずほ/さくら44,up
KYUSHU_46,みずほ/さくら46,up
KYUSHU_48,みずほ/さくら48,up
KYUSHU_50,みずほ/さくら50,up
KYUSHU_52,みずほ/さくら52,up
KYUSHU_54,みずほ/さくら54,up
KYUSHU_56,みずほ/さくら56,up
KYUSHU_58,みずほ/さくら58,up
KYUSHU_60,みずほ/さくら60,up
KYUSHU_62,みずほ/さくら62,up
TSUBAME_1,つばめ1,down
TSUBAME_3,つばめ3,down
TSUBAME_5,つばめ5,down
TSUBAME_7,つばめ7,down
TSUBAME_9,つばめ9,down
TSUBAME_11,つばめ11,down
TSUBAME_13,つばめ13,down
TSUBAME_15,つばめ15,down
TSUBAME_17,つばめ17,down
TSUBAME_19,つばめ19,down
TSUBAME_21,つばめ21,down
TSUBAME_23,つばめ23,down
TSUBAME_25,つばめ25,down
TSUBAME_27,つばめ27,down
TSUBAME_2,つばめ2,up
TSUBAME_4,つばめ4,up
TSUBAME_6,つばめ6,up
TSUBAME_8,つばめ8,up
TSUBAME_10,つばめ10,up
TSUBAME_12,つばめ12,up
TSUBAME_14,つばめ14,up
TSUBAME_16,つばめ16,up
TSUBAME_18,つばめ18,up
TSUBAME_20,つばめ20,up
TSUBAME_22,つばめ22,up
TSUBAME_24,つばめ24,up
TSUBAME_26,つばめ26,up
TSUBAME_28,つばめ28,up
