train_id,stop_order,station_id,arrival,departure
KYUSHU_1,1,HAKATA,,06:00
KYUSHU_1,2,KURUME,06:17,06:18
KYUSHU_1,3,KUMAMOTO,06:48,06:49
KYUSHU_1,4,KAGOSHIMA_CHUO,07:20,
KYUSHU_3,1,HAKATA,,07:00
KYUSHU_3,2,KURUME,07:17,07:18
KYUSHU_3,3,KUMAMOTO,07:48,07:49
KYUSHU_3,4,KAGOSHIMA_CHUO,08:20,
KYUSHU_5,1,HAKATA,,07:30
KYUSHU_5,2,KURUME,07:47,07:48
KYUSHU_5,3,KUMAMOTO,08:18,08:19
KYUSHU_5,4,KAGOSHIMA_CHUO,08:50,
KYUSHU_7,1,HAKATA,,08:00
KYUSHU_7,2,KURUME,08:17,08:18
KYUSHU_7,3,KUMAMOTO,08:48,08:49
KYUSHU_7,4,KAGOSHIMA_CHUO,09:20,
KYUSHU_9,1,HAKATA,,08:30
KYUSHU_9,2,KURUME,08:47,08:48
KYUSHU_9,3,KUMAMOTO,09:18,09:19
KYUSHU_9,4,KAGOSHIMA_CHUO,09:50,
KYUSHU_11,1,HAKATA,,09:00
KYUSHU_11,2,KURUME,09:17,09:18
KYUSHU_11,3,KUMAMOTO,09:48,09:49
KYUSHU_11,4,KAGOSHIMA_CHUO,10:20,
KYUSHU_13,1,HAKATA,,09:30
KYUSHU_13,2,KURUME,09:47,09:48
KYUSHU_13,3,KUMAMOTO,10:18,10:19
KYUSHU_13,4,KAGOSHIMA_CHUO,10:50,
KYUSHU_15,1,HAKATA,,10:00
KYUSHU_15,2,KURUME,10:17,10:18
KYUSHU_15,3,KUMAMOTO,10:48,10:49
KYUSHU_15,4,KAGOSHIMA_CHUO,11:20,
KYUSHU_17,1,HAKATA,,10:30
KYUSHU_17,2,KURUME,10:47,10:48
KYUSHU_17,3,KUMAMOTO,11:18,11:19
KYUSHU_17,4,KAGOSHIMA_CHUO,11:50,
KYUSHU_19,1,HAKATA,,11:00
KYUSHU_19,2,KURUME,11:17,11:18
KYUSHU_19,3,KUMAMOTO,11:48,11:49
KYUSHU_19,4,KAGOSHIMA_CHUO,12:20,
KYUSHU_21,1,HAKATA,,11:30
KYUSHU_21,2,KURUME,11:47,11:48
