train_id,stop_order,station_id,arrival,departure
LAVIEW_H_C_1,1,IKEBUKURO,,06:50
LAVIEW_H_C_1,2,TOKOROZAWA,07:11,07:12
LAVIEW_H_C_1,3,IRUMASHI,07:29,07:30
LAVIEW_H_C_1,4,HANNO,07:37,07:39
LAVIEW_H_C_1,5,YOKOZE,08:03,08:04
LAVIEW_H_C_1,6,SEIBU_CHICHIBU,08:07,
LAVIEW_H_C_3,1,IKEBUKURO,,07:30
LAVIEW_H_C_3,2,TOKOROZAWA,07:51,07:52
LAVIEW_H_C_3,3,IRUMASHI,08:09,08:10
LAVIEW_H_C_3,4,HANNO,08:17,08:19
LAVIEW_H_C_3,5,YOKOZE,08:43,08:44
LAVIEW_H_C_3,6,SEIBU_CHICHIBU,08:47,
LAVIEW_H_C_5,1,IKEBUKURO,,08:30
LAVIEW_H_C_5,2,TOKOROZAWA,08:51,08:52
LAVIEW_H_C_5,3,IRUMASHI,09:09,09:10
LAVIEW_H_C_5,4,HANNO,09:17,09:19
LAVIEW_H_C_5,5,YOKOZE,09:43,09:44
LAVIEW_H_C_5,6,SEIBU_CHICHIBU,09:47,
LAVIEW_H_C_7,1,IKEBUKURO,,09:30
LAVIEW_H_C_7,2,TOKOROZAWA,09:51,09:52
LAVIEW_H_C_7,3,IRUMASHI,10:09,10:10
LAVIEW_H_C_7,4,HANNO,10:17,10:19
LAVIEW_H_C_7,5,YOKOZE,10:43,10:44
LAVIEW_H_C_7,6,SEIBU_CHICHIBU,10:47,
LAVIEW_H_C_9,1,IKEBUKURO,,10:30
LAVIEW_H_C_9,2,TOKOROZAWA,10:51,10:52
LAVIEW_H_C_9,3,IRUMASHI,11:09,11:10
LAVIEW_H_C_9,4,HANNO,11:17,11:19
LAVIEW_H_C_9,5,YOKOZE,11:43,11:44
LAVIEW_H_C_9,6,SEIBU_CHICHIBU,11:47,
LAVIEW_H_C_11,1,IKEBUKURO,,11:30
LAVIEW_H_C_11,2,TOKOROZAWA,11:51,11:52
LAVIEW_H_C_11,3,IRUMASHI,12:09,12:10
LAVIEW_H_C_11,4,HANNO,12:17,12:19
LAVIEW_H_C_11,5,YOKOZE,12:43,12:44
LAVIEW_H_C_11,6,SEIBU_CHICHIBU,12:47,
LAVIEW_H_C_13,1,IKEBUKURO,,12:30
LAVIEW_H_C_13,2,TOKOROZAWA,12:51,12:52
LAVIEW_H_C_13,3,IRUMASHI,13:09,13:10
LAVIEW_H_C_13,4,HANNO,13:17,13:19
LAVIEW_H_C_13,5,YOKOZE,13:43,13:44
LAVIEW_H_C_13,6,SEIBU_CHICHIBU,13:47,
LAVIEW_H_C_15,1,IKEBUKURO,,13:30
LAVIEW_H_C_15,2,TOKOROZAWA,13:51,13:52
LAVIEW_H_C_15,3,IRUMASHI,14:09,14:10
LAVIEW_H_C_15,4,HANNO,14:17,14:19
LAVIEW_H_C_15,5,YOKOZE,14:43,14:44
LAVIEW_H_C_15,6,SEIBU_CHICHIBU,14:47,
LAVIEW_H_C_17,1,IKEBUKURO,,14:30
LAVIEW_H_C_17,2,TOKOROZAWA,14:51,14:52
LAVIEW_H_C_17,3,IRUMASHI,15:09,15:10
LAVIEW_H_C_17,4,HANNO,15:17,15:19
LAVIEW_H_C_17,5,YOKOZE,15:43,15:44
LAVIEW_H_C_17,6,SEIBU_CHICHIBU,15:47,
LAVIEW_H_C_19,1,IKEBUKURO,,15:30
LAVIEW_H_C_19,2,TOKOROZAWA,15:51,15:52
LAVIEW_H_C_19,3,IRUMASHI,16:09,16:10
LAVIEW_H_C_19,4,HANNO,16:17,16:19
LAVIEW_H_C_19,5,YOKOZE,16:43,16:44
LAVIEW_H_C_19,6,SEIBU_CHICHIBU,16:47,
LAVIEW_H_C_21,1,IKEBUKURO,,16:30
LAVIEW_H_C_21,2,TOKOROZAWA,16:51,16:52
LAVIEW_H_C_21,3,IRUMASHI,17:09,17:10
LAVIEW_H_C_21,4,HANNO,17:17,17:19
LAVIEW_H_C_21,5,YOKOZE,17:43,17:44
LAVIEW_H_C_21,6,SEIBU_CHICHIBU,17:47,
LAVIEW_H_C_23,1,IKEBUKURO,,17:08
LAVIEW_H_C_23,2,TOKOROZAWA,17:29,17:30
LAVIEW_H_C_23,3,IRUMASHI,17:47,17:48
LAVIEW_H_C_23,4,HANNO,17:55,17:57
LAVIEW_H_C_23,5,YOKOZE,18:21,18:22
LAVIEW_H_C_23,6,SEIBU_CHICHIBU,18:25,
LAVIEW_H_C_25,1,IKEBUKURO,,17:30
LAVIEW_H_C_25,2,TOKOROZAWA,17:51,17:52
LAVIEW_H_C_25,3,IRUMASHI,18:09,18:10
LAVIEW_H_C_25,4,HANNO,18:17,18:19
LAVIEW_H_C_25,5,YOKOZE,18:43,18:44
