train_id,name,direction
LAVIEW_W_C_1,ちちぶ1号,down
LAVIEW_W_C_3,ちちぶ3号,down
LAVIEW_W_C_5,ちちぶ5号,down
LAVIEW_W_C_7,ちちぶ7号,down
LAVIEW_W_C_9,ちちぶ9号,down
LAVIEW_W_C_11,ちちぶ11号,down
LAVIEW_W_C_13,ちちぶ13号,down
LAVIEW_W_C_15,ちちぶ15号,down
LAVIEW_W_C_17,ちちぶ17号,down
LAVIEW_W_C_19,ちちぶ19号,down
LAVIEW_W_C_21,ちちぶ21号,down
LAVIEW_W_C_23,ちちぶ23号,down
LAVIEW_W_C_25,ちちぶ25号,down
LAVIEW_W_C_27,ちちぶ27号,down
LAVIEW_W_C_29,ちちぶ29号,down
LAVIEW_W_C_31,ちちぶ31号,down
LAVIEW_W_C_33,ちちぶ33号,down
LAVIEW_W_C_35,ちちぶ35号,down
LAVIEW_W_C_2,ちちぶ2号,up
LAVIEW_W_C_4,ちちぶ4号,up
LAVIEW_W_C_6,ちちぶ6号,up
LAVIEW_W_C_8,ちちぶ8号,up
LAVIEW_W_C_10,ちちぶ10号,up
LAVIEW_W_C_12,ちちぶ12号,up
LAVIEW_W_C_14,ちちぶ14号,up
LAVIEW_W_C_16,ちちぶ16号,up
LAVIEW_W_C_18,ちちぶ18号,up
LAVIEW_W_C_20,ちちぶ20号,up
LAVIEW_W_C_22,ちちぶ22号,up
LAVIEW_W_C_24,ちちぶ24号,up
LAVIEW_W_C_26,ちちぶ26号,up
LAVIEW_W_C_28,ちちぶ28号,up
LAVIEW_W_C_30,ちちぶ30号,up
LAVIEW_W_C_32,ちちぶ32号,up
LAVIEW_W_M_1,むさし1号,down
LAVIEW_W_M_3,むさし3号,down
LAVIEW_W_M_5,むさし5号,down
LAVIEW_W_M_7,むさし7号,down
LAVIEW_W_M_9,むさし9号,down
LAVIEW_W_M_11,むさし11号,down
LAVIEW_W_M_13,むさし13号,down
LAVIEW_W_M_15,むさし15号,down
LAVIEW_W_M_2,むさし2号,up
LAVIEW_W_M_4,むさし4号,up
LAVIEW_W_M_6,むさし6号,up
LAVIEW_W_M_8,むさし8号,up
LAVIEW_W_M_10,むさし10号,up
LAVIEW_W_M_12,むさし12号,up
LAVIEW_W_M_14,むさし14号,up
LAVIEW_W_M_16,むさし16号,up
LAVIEW_H_C_1,ちちぶ1号,down
LAVIEW_H_C_3,ちちぶ3号,down
LAVIEW_H_C_5,ちちぶ5号,down
LAVIEW_H_C_7,ちちぶ7号,down
LAVIEW_H_C_9,ちちぶ9号,down
LAVIEW_H_C_11,ちちぶ11号,down
LAVIEW_H_C_13,ちちぶ13号,down
LAVIEW_H_C_15,ちちぶ15号,down
LAVIEW_H_C_17,ちちぶ17号,down
LAVIEW_H_C_19,ちちぶ19号,down
LAVIEW_H_C_21,ちちぶ21号,down
LAVIEW_H_C_23,ちちぶ23号,down
LAVIEW_H_C_25,ちちぶ25号,down
LAVIEW_H_C_27,ちちぶ27号,down
LAVIEW_H_C_29,ちちぶ29号,down
LAVIEW_H_C_31,ちちぶ31号,down
LAVIEW_H_C_33,ちちぶ33号,down
LAVIEW_H_C_35,ちちぶ35号,down
LAVIEW_H_C_2,ちちぶ2号,up
LAVIEW_H_C_4,ちちぶ4号,up
LAVIEW_H_C_6,ちちぶ6号,up
LAVIEW_H_C_8,ちちぶ8号,up
LAVIEW_H_C_10,ちちぶ10号,up
LAVIEW_H_C_12,ちちぶ12号,up
LAVIEW_H_C_14,ちちぶ14号,up
LAVIEW_H_C_16,ちちぶ16号,up
LAVIEW_H_C_18,ちちぶ18号,up
LAVIEW_H_C_20,ちちぶ20号,up
LAVIEW_H_C_22,ちちぶ22号,up
LAVIEW_H_C_24,ちちぶ24号,up
LAVIEW_H_C_26,ちちぶ26号,up
LAVIEW_H_C_28,ちちぶ28号,up
LAVIEW_H_C_30,ちちぶ30号,up
LAVIEW_H_C_32,ちちぶ32号,up
LAVIEW_H_M_1,むさし1号,down
LAVIEW_H_M_3,むさし3号,down
LAVIEW_H_M_5,むさし5号,down
LAVIEW_H_M_7,むさし7号,down
LAVIEW_H_M_9,むさし9号,down
LAVIEW_H_M_11,むさし11号,down
LAVIEW_H_M_13,むさし13号,down
LAVIEW_H_M_15,むさし15号,down
LAVIEW_H_M_2,むさし2号,up
LAVIEW_H_M_4,むさし4号,up
LAVIEW_H_M_6,むさし6号,up
LAVIEW_H_M_8,むさし8号,up
LAVIEW_H_M_10,むさし10号,up
LAVIEW_H_M_12,むさし12号,up
LAVIEW_H_M_14,むさし14号,up
LAVIEW_H_M_16,むさし16号,up
