train_id,stop_order,station_id,arrival,departure
LAVIEW_1,1,IKEBUKURO,,07:00
LAVIEW_1,2,TOKOROZAWA,07:21,07:22
LAVIEW_1,3,IRUMASHI,07:39,07:40
LAVIEW_1,4,HANNO,07:47,07:49
LAVIEW_1,5,YOKOZE,08:13,08:14
LAVIEW_1,6,SEIBU_CHICHIBU,08:17,
LAVIEW_3,1,IKEBUKURO,,07:30
LAVIEW_3,2,TOKOROZAWA,07:51,07:52
LAVIEW_3,3,IRUMASHI,08:09,08:10
LAVIEW_3,4,HANNO,08:17,08:19
LAVIEW_3,5,YOKOZE,08:43,08:44
LAVIEW_3,6,SEIBU_CHICHIBU,08:47,
LAVIEW_5,1,IKEBUKURO,,08:00
LAVIEW_5,2,TOKOROZAWA,08:21,08:22
LAVIEW_5,3,IRUMASHI,08:39,08:40
LAVIEW_5,4,HANNO,08:47,08:49
LAVIEW_5,5,YOKOZE,09:13,09:14
LAVIEW_5,6,SEIBU_CHICHIBU,09:17,
LAVIEW_7,1,IKEBUKURO,,08:30
LAVIEW_7,2,TOKOROZAWA,08:51,08:52
LAVIEW_7,3,IRUMASHI,09:09,09:10
LAVIEW_7,4,HANNO,09:17,09:19
LAVIEW_7,5,YOKOZE,09:43,09:44
LAVIEW_7,6,SEIBU_CHICHIBU,09:47,
LAVIEW_9,1,IKEBUKURO,,09:00
LAVIEW_9,2,TOKOROZAWA,09:21,09:22
LAVIEW_9,3,IRUMASHI,09:39,09:40
LAVIEW_9,4,HANNO,09:47,09:49
LAVIEW_9,5,YOKOZE,10:13,10:14
LAVIEW_9,6,SEIBU_CHICHIBU,10:17,
LAVIEW_11,1,IKEBUKURO,,09:30
LAVIEW_11,2,TOKOROZAWA,09:51,09:52
LAVIEW_11,3,IRUMASHI,10:09,10:10
LAVIEW_11,4,HANNO,10:17,10:19
LAVIEW_11,5,YOKOZE,10:43,10:44
LAVIEW_11,6,SEIBU_CHICHIBU,10:47,
LAVIEW_13,1,IKEBUKURO,,10:00
LAVIEW_13,2,TOKOROZAWA,10:21,10:22
LAVIEW_13,3,IRUMASHI,10:39,10:40
LAVIEW_13,4,HANNO,10:47,10:49
LAVIEW_13,5,YOKOZE,11:13,11:14
