train_id,stop_order,station_id,arrival,departure
LIBERTY_1,1,ASAKUSA,,08:00
LIBERTY_1,2,TOKYO_SKYTREE,08:03,08:04
LIBERTY_1,3,KITASENJU,08:12,08:13
LIBERTY_1,4,KASUKABE,08:30,08:31
LIBERTY_1,5,TOCHIGI,09:05,09:06
LIBERTY_1,6,SHIN_KANUMA,09:25,09:26
LIBERTY_1,7,SHIMOIMAICHI,09:38,09:39
LIBERTY_1,8,KINUGAWA_ONSEN,09:55,09:57
LIBERTY_1,9,SHIN_FUJIWARA,10:10,10:11
LIBERTY_1,10,AIZU_KOGEN_OZE,10:40,10:41
LIBERTY_1,11,AIZU_TAJIMA,11:20,
LIBERTY_3,1,ASAKUSA,,11:00
LIBERTY_3,2,TOKYO_SKYTREE,11:03,11:04
LIBERTY_3,3,KITASENJU,11:12,11:13
LIBERTY_3,4,KASUKABE,11:30,11:31
LIBERTY_3,5,TOCHIGI,12:05,12:06
LIBERTY_3,6,SHIN_KANUMA,12:25,12:26
LIBERTY_3,7,SHIMOIMAICHI,12:38,12:39
LIBERTY_3,8,KINUGAWA_ONSEN,12:55,12:57
LIBERTY_3,9,SHIN_FUJIWARA,13:10,13:11
LIBERTY_3,10,AIZU_KOGEN_OZE,13:40,13:41
LIBERTY_3,11,AIZU_TAJIMA,14:20,
LIBERTY_5,1,ASAKUSA,,14:00
LIBERTY_5,2,TOKYO_SKYTREE,14:03,14:04
LIBERTY_5,3,KITASENJU,14:12,14:13
LIBERTY_5,4,KASUKABE,14:30,14:31
LIBERTY_5,5,TOCHIGI,15:05,15:06
LIBERTY_5,6,SHIN_KANUMA,15:25,15:26
LIBERTY_5,7,SHIMOIMAICHI,15:38,15:39
LIBERTY_5,8,KINUGAWA_ONSEN,15:55,15:57
LIBERTY_5,9,SHIN_FUJIWARA,16:10,16:11
LIBERTY_5,10,AIZU_KOGEN_OZE,16:40,16:41
LIBERTY_5,11,AIZU_TAJIMA,17:20,
LIBERTY_7,1,ASAKUSA,,17:00
LIBERTY_7,2,TOKYO_SKYTREE,17:03,17:04
LIBERTY_7,3,KITASENJU,17:12,17:13
LIBERTY_7,4,KASUKABE,17:30,17:31
LIBERTY_7,5,TOCHIGI,18:05,18:06
LIBERTY_7,6,SHIN_KANUMA,18:25,18:26
LIBERTY_7,7,SHIMOIMAICHI,18:38,18:39
LIBERTY_7,8,KINUGAWA_ONSEN,18:55,18:57
LIBERTY_7,9,SHIN_FUJIWARA,19:10,19:11
LIBERTY_7,10,AIZU_KOGEN_OZE,19:40,19:41
LIBERTY_7,11,AIZU_TAJIMA,20:20,
LIBERTY_2,1,AIZU_TAJIMA,,09:00
LIBERTY_2,2,AIZU_KOGEN_OZE,09:39,09:40
LIBERTY_2,3,SHIN_FUJIWARA,10:09,10:10
LIBERTY_2,4,KINUGAWA_ONSEN,10:23,10:25
LIBERTY_2,5,SHIMOIMAICHI,10:41,10:42
LIBERTY_2,6,SHIN_KANUMA,10:54,10:55
LIBERTY_2,7,TOCHIGI,11:14,11:15
LIBERTY_2,8,KASUKABE,11:49,11:50
LIBERTY_2,9,KITASENJU,12:07,12:08
LIBERTY_2,10,TOKYO_SKYTREE,12:16,12:17
LIBERTY_2,11,ASAKUSA,12:20,
LIBERTY_4,1,AIZU_TAJIMA,,12:00
LIBERTY_4,2,AIZU_KOGEN_OZE,12:39,12:40
LIBERTY_4,3,SHIN_FUJIWARA,13:09,13:10
LIBERTY_4,4,KINUGAWA_ONSEN,13:23,13:25
LIBERTY_4,5,SHIMOIMAICHI,13:41,13:42
LIBERTY_4,6,SHIN_KANUMA,13:54,13:55
LIBERTY_4,7,TOCHIGI,14:14,14:15
LIBERTY_4,8,KASUKABE,14:49,14:50
LIBERTY_4,9,KITASENJU,15:07,15:08
LIBERTY_4,10,TOKYO_SKYTREE,15:16,15:17
LIBERTY_4,11,ASAKUSA,15:20,
LIBERTY_6,1,AIZU_TAJIMA,,15:00
LIBERTY_6,2,AIZU_KOGEN_OZE,15:39,15:40
LIBERTY_6,3,SHIN_FUJIWARA,16:09,16:10
LIBERTY_6,4,KINUGAWA_ONSEN,16:23,16:25
LIBERTY_6,5,SHIMOIMAICHI,16:41,16:42
LIBERTY_6,6,SHIN_KANUMA,16:54,16:55
LIBERTY_6,7,TOCHIGI,17:14,17:15
LIBERTY_6,8,KASUKABE,17:49,17:50
LIBERTY_6,9,KITASENJU,18:07,18:08
LIBERTY_6,10,TOKYO_SKYTREE,18:16,18:17
LIBERTY_6,11,ASAKUSA,18:20,
LIBERTY_8,1,AIZU_TAJIMA,,18:00
LIBERTY_8,2,AIZU_KOGEN_OZE,18:39,18:40
LIBERTY_8,3,SHIN_FUJIWARA,19:09,19:10
LIBERTY_8,4,KINUGAWA_ONSEN,19:23,19:25
LIBERTY_8,5,SHIMOIMAICHI,19:41,19:42
LIBERTY_8,6,SHIN_KANUMA,19:54,19:55
LIBERTY_8,7,TOCHIGI,20:14,20:15
LIBERTY_8,8,KASUKABE,20:49,20:50
LIBERTY_8,9,KITASENJU,21:07,21:08
LIBERTY_8,10,TOKYO_SKYTREE,21:16,21:17
LIBERTY_8,11,ASAKUSA,21:20,
