train_id,stop_order,station_id,arrival,departure
LILAC_KAMUI_1,1,SAPPORO,,06:00
LILAC_KAMUI_1,2,IWAMIZAWA,06:27,06:28
LILAC_KAMUI_1,3,BIBAI,06:42,06:43
LILAC_KAMUI_1,4,SUNAGAWA,06:50,06:51
LILAC_KAMUI_1,5,TAKIKAWA,06:57,06:58
LILAC_KAMUI_1,6,FUKAGAWA,07:13,07:14
LILAC_KAMUI_1,7,ASAHIKAWA,07:25,
LILAC_KAMUI_3,1,SAPPORO,,06:30
LILAC_KAMUI_3,2,IWAMIZAWA,06:57,06:58
LILAC_KAMUI_3,3,BIBAI,07:12,07:13
LILAC_KAMUI_3,4,SUNAGAWA,07:20,07:21
LILAC_KAMUI_3,5,TAKIKAWA,07:27,07:28
LILAC_KAMUI_3,6,FUKAGAWA,07:43,07:44
LILAC_KAMUI_3,7,ASAHIKAWA,07:55,
LILAC_KAMUI_5,1,SAPPORO,,07:00
LILAC_KAMUI_5,2,IWAMIZAWA,07:27,07:28
LILAC_KAMUI_5,3,BIBAI,07:42,07:43
LILAC_KAMUI_5,4,SUNAGAWA,07:50,07:51
LILAC_KAMUI_5,5,TAKIKAWA,07:57,07:58
LILAC_KAMUI_5,6,FUKAGAWA,08:13,08:14
LILAC_KAMUI_5,7,ASAHIKAWA,08:25,
LILAC_KAMUI_7,1,SAPPORO,,07:30
LILAC_KAMUI_7,2,IWAMIZAWA,07:57,07:58
LILAC_KAMUI_7,3,BIBAI,08:12,08:13
LILAC_KAMUI_7,4,SUNAGAWA,08:20,08:21
LILAC_KAMUI_7,5,TAKIKAWA,08:27,08:28
LILAC_KAMUI_7,6,FUKAGAWA,08:43,08:44
LILAC_KAMUI_7,7,ASAHIKAWA,08:55,
LILAC_KAMUI_9,1,SAPPORO,,08:00
LILAC_KAMUI_9,2,IWAMIZAWA,08:27,08:28
LILAC_KAMUI_9,3,BIBAI,08:42,08:43
LILAC_KAMUI_9,4,SUNAGAWA,08:50,08:51
LILAC_KAMUI_9,5,TAKIKAWA,08:57,08:58
LILAC_KAMUI_9,6,FUKAGAWA,09:13,09:14
LILAC_KAMUI_9,7,ASAHIKAWA,09:25,
LILAC_KAMUI_11,1,SAPPORO,,08:30
LILAC_KAMUI_11,2,IWAMIZAWA,08:57,08:58
LILAC_KAMUI_11,3,BIBAI,09:12,09:13
LILAC_KAMUI_11,4,SUNAGAWA,09:20,09:21
LILAC_KAMUI_11,5,TAKIKAWA,09:27,09:28
LILAC_KAMUI_11,6,FUKAGAWA,09:43,09:44
LILAC_KAMUI_11,7,ASAHIKAWA,09:55,
LILAC_KAMUI_13,1,SAPPORO,,09:00
LILAC_KAMUI_13,2,IWAMIZAWA,09:27,09:28
LILAC_KAMUI_13,3,BIBAI,09:42,09:43
LILAC_KAMUI_13,4,SUNAGAWA,09:50,09:51
LILAC_KAMUI_13,5,TAKIKAWA,09:57,09:58
LILAC_KAMUI_13,6,FUKAGAWA,10:13,10:14
LILAC_KAMUI_13,7,ASAHIKAWA,10:25,
LILAC_KAMUI_15,1,SAPPORO,,09:30
LILAC_KAMUI_15,2,IWAMIZAWA,09:57,09:58
LILAC_KAMUI_15,3,BIBAI,10:12,10:13
LILAC_KAMUI_15,4,SUNAGAWA,10:20,10:21
LILAC_KAMUI_15,5,TAKIKAWA,10:27,10:28
LILAC_KAMUI_15,6,FUKAGAWA,10:43,10:44
LILAC_KAMUI_15,7,ASAHIKAWA,10:55,
LILAC_KAMUI_17,1,SAPPORO,,10:00
LILAC_KAMUI_17,2,IWAMIZAWA,10:27,10:28
