train_id,name,direction
LILAC_KAMUI_1,ライラック/カムイ1,down
LILAC_KAMUI_3,ライラック/カムイ3,down
LILAC_KAMUI_5,ライラック/カムイ5,down
LILAC_KAMUI_7,ライラック/カムイ7,down
LILAC_KAMUI_9,ライラック/カムイ9,down
LILAC_KAMUI_11,ライラック/カムイ11,down
LILAC_KAMUI_13,ライラック/カムイ13,down
LILAC_KAMUI_15,ライラック/カムイ15,down
LILAC_KAMUI_17,ライラック/カムイ17,down
LILAC_KAMUI_19,ライラック/カムイ19,down
LILAC_KAMUI_21,ライラック/カムイ21,down
LILAC_KAMUI_23,ライラック/カムイ23,down
LILAC_KAMUI_25,ライラック/カムイ25,down
LILAC_KAMUI_27,ライラック/カムイ27,down
LILAC_KAMUI_29,ライラック/カムイ29,down
LILAC_KAMUI_31,ライラック/カムイ31,down
LILAC_KAMUI_33,ライラック/カムイ33,down
LILAC_KAMUI_35,ライラック/カムイ35,down
LILAC_KAMUI_37,ライラック/カムイ37,down
LILAC_KAMUI_39,ライラック/カムイ39,down
LILAC_KAMUI_41,ライラック/カムイ41,down
LILAC_KAMUI_43,ライラック/カムイ43,down
LILAC_KAMUI_45,ライラック/カムイ45,down
LILAC_KAMUI_47,ライラック/カムイ47,down
LILAC_KAMUI_49,ライラック/カムイ49,down
LILAC_KAMUI_51,ライラック/カムイ51,down
LILAC_KAMUI_53,ライラック/カムイ53,down
LILAC_KAMUI_55,ライラック/カムイ55,down
LILAC_KAMUI_57,ライラック/カムイ57,down
LILAC_KAMUI_59,ライラック/カムイ59,down
LILAC_KAMUI_61,ライラック/カムイ61,down
LILAC_KAMUI_63,ライラック/カムイ63,down
LILAC_KAMUI_2,ライラック/カムイ2,up
LILAC_KAMUI_4,ライラック/カムイ4,up
LILAC_KAMUI_6,ライラック/カムイ6,up
LILAC_KAMUI_8,ライラック/カムイ8,up
LILAC_KAMUI_10,ライラック/カムイ10,up
LILAC_KAMUI_12,ライラック/カムイ12,up
LILAC_KAMUI_14,ライラック/カムイ14,up
LILAC_KAMUI_16,ライラック/カムイ16,up
LILAC_KAMUI_18,ライラック/カムイ18,up
LILAC_KAMUI_20,ライラック/カムイ20,up
LILAC_KAMUI_22,ライラック/カムイ22,up
LILAC_KAMUI_24,ライラック/カムイ24,up
LILAC_KAMUI_26,ライラック/カムイ26,up
LILAC_KAMUI_28,ライラック/カムイ28,up
LILAC_KAMUI_30,ライラック/カムイ30,up
LILAC_KAMUI_32,ライラック/カムイ32,up
LILAC_KAMUI_34,ライラック/カムイ34,up
LILAC_KAMUI_36,ライラック/カムイ36,up
LILAC_KAMUI_38,ライラック/カムイ38,up
LILAC_KAMUI_40,ライラック/カムイ40,up
LILAC_KAMUI_42,ライラック/カムイ42,up
LILAC_KAMUI_44,ライラック/カムイ44,up
LILAC_KAMUI_46,ライラック/カムイ46,up
LILAC_KAMUI_48,ライラック/カムイ48,up
LILAC_KAMUI_50,ライラック/カムイ50,up
LILAC_KAMUI_52,ライラック/カムイ52,up
LILAC_KAMUI_54,ライラック/カムイ54,up
LILAC_KAMUI_56,ライラック/カムイ56,up
LILAC_KAMUI_58,ライラック/カムイ58,up
LILAC_KAMUI_60,ライラック/カムイ60,up
LILAC_KAMUI_62,ライラック/カムイ62,up
LILAC_KAMUI_64,ライラック/カムイ64,up
