train_id,stop_order,station_id,arrival,departure
LK_1,1,SAPPORO,,06:00
LK_1,2,IWAMIZAWA,06:25,06:26
LK_1,3,BIBAI,06:35,06:36
LK_1,4,SUNAGAWA,06:47,06:48
LK_1,5,TAKIKAWA,06:57,06:58
LK_1,6,FUKAGAWA,07:10,07:11
LK_1,7,ASAHIKAWA,07:25,
LK_3,1,SAPPORO,,07:00
LK_3,2,IWAMIZAWA,07:25,07:26
LK_3,3,BIBAI,07:35,07:36
LK_3,4,SUNAGAWA,07:47,07:48
LK_3,5,TAKIKAWA,07:57,07:58
LK_3,6,FUKAGAWA,08:10,08:11
LK_3,7,ASAHIKAWA,08:25,
LK_5,1,SAPPORO,,07:30
LK_5,2,IWAMIZAWA,07:55,07:56
LK_5,3,BIBAI,08:05,08:06
LK_5,4,SUNAGAWA,08:17,08:18
LK_5,5,TAKIKAWA,08:27,08:28
LK_5,6,FUKAGAWA,08:40,08:41
LK_5,7,ASAHIKAWA,08:55,
LK_7,1,SAPPORO,,08:00
LK_7,2,IWAMIZAWA,08:25,08:26
LK_7,3,BIBAI,08:35,08:36
LK_7,4,SUNAGAWA,08:47,08:48
LK_7,5,TAKIKAWA,08:57,08:58
LK_7,6,FUKAGAWA,09:10,09:11
LK_7,7,ASAHIKAWA,09:25,
LK_9,1,SAPPORO,,08:30
LK_9,2,IWAMIZAWA,08:55,08:56
LK_9,3,BIBAI,09:05,09:06
LK_9,4,SUNAGAWA,09:17,09:18
LK_9,5,TAKIKAWA,09:27,09:28
LK_9,6,FUKAGAWA,09:40,09:41
LK_9,7,ASAHIKAWA,09:55,
LK_11,1,SAPPORO,,09:00
LK_11,2,IWAMIZAWA,09:25,09:26
LK_11,3,BIBAI,09:35,09:36
LK_11,4,SUNAGAWA,09:47,09:48
LK_11,5,TAKIKAWA,09:57,09:58
LK_11,6,FUKAGAWA,10:10,10:11
LK_11,7,ASAHIKAWA,10:25,
LK_13,1,SAPPORO,,10:00
LK_13,2,IWAMIZAWA,10:25,10:26
LK_13,3,BIBAI,10:35,10:36
LK_13,4,SUNAGAWA,10:47,10:48
LK_13,5,TAKIKAWA,10:57,10:58
LK_13,6,FUKAGAWA,11:10,11:11
LK_13,7,ASAHIKAWA,11:25,
LK_15,1,SAPPORO,,11:00
LK_15,2,IWAMIZAWA,11:25,11:26
LK_15,3,BIBAI,11:35,11:36
LK_15,4,SUNAGAWA,11:47,11:48
LK_15,5,TAKIKAWA,11:57,11:58
LK_15,6,FUKAGAWA,12:10,12:11
LK_15,7,ASAHIKAWA,12:25,
LK_17,1,SAPPORO,,12:00
LK_17,2,IWAMIZAWA,12:25,12:26
LK_17,3,BIBAI,12:35,12:36
LK_17,4,SUNAGAWA,12:47,12:48
LK_17,5,TAKIKAWA,12:57,12:58
LK_17,6,FUKAGAWA,13:10,13:11
LK_17,7,ASAHIKAWA,13:25,
LK_19,1,SAPPORO,,13:00
LK_19,2,IWAMIZAWA,13:25,13:26
LK_19,3,BIBAI,13:35,13:36
LK_19,4,SUNAGAWA,13:47,13:48
LK_19,5,TAKIKAWA,13:57,13:58
LK_19,6,FUKAGAWA,14:10,14:11
LK_19,7,ASAHIKAWA,14:25,
LK_21,1,SAPPORO,,14:00
LK_21,2,IWAMIZAWA,14:25,14:26
LK_21,3,BIBAI,14:35,14:36
LK_21,4,SUNAGAWA,14:47,14:48
LK_21,5,TAKIKAWA,14:57,14:58
LK_21,6,FUKAGAWA,15:10,15:11
LK_21,7,ASAHIKAWA,15:25,
LK_23,1,SAPPORO,,15:00
LK_23,2,IWAMIZAWA,15:25,15:26
LK_23,3,BIBAI,15:35,15:36
LK_23,4,SUNAGAWA,15:47,15:48
LK_23,5,TAKIKAWA,15:57,15:58
LK_23,6,FUKAGAWA,16:10,16:11
LK_23,7,ASAHIKAWA,16:25,
LK_25,1,SAPPORO,,16:00
LK_25,2,IWAMIZAWA,16:25,16:26
LK_25,3,BIBAI,16:35,16:36
LK_25,4,SUNAGAWA,16:47,16:48
LK_25,5,TAKIKAWA,16:57,16:58
LK_25,6,FUKAGAWA,17:10,17:11
LK_25,7,ASAHIKAWA,17:25,
LK_27,1,SAPPORO,,17:00
LK_27,2,IWAMIZAWA,17:25,17:26
LK_27,3,BIBAI,17:35,17:36
LK_27,4,SUNAGAWA,17:47,17:48
LK_27,5,TAKIKAWA,17:57,17:58
LK_27,6,FUKAGAWA,18:10,18:11
LK_27,7,ASAHIKAWA,18:25,
LK_29,1,SAPPORO,,17:30
LK_29,2,IWAMIZAWA,17:55,17:56
LK_29,3,BIBAI,18:05,18:06
LK_29,4,SUNAGAWA,18:17,18:18
LK_29,5,TAKIKAWA,18:27,18:28
LK_29,6,FUKAGAWA,18:40,18:41
LK_29,7,ASAHIKAWA,18:55,
LK_31,1,SAPPORO,,18:00
LK_31,2,IWAMIZAWA,18:25,18:26
LK_31,3,BIBAI,18:35,18:36
LK_31,4,SUNAGAWA,18:47,18:48
LK_31,5,TAKIKAWA,18:57,18:58
LK_31,6,FUKAGAWA,19:10,19:11
LK_31,7,ASAHIKAWA,19:25,
LK_33,1,SAPPORO,,18:30
LK_33,2,IWAMIZAWA,18:55,18:56
LK_33,3,BIBAI,19:05,19:06
LK_33,4,SUNAGAWA,19:17,19:18
LK_33,5,TAKIKAWA,19:27,19:28
LK_33,6,FUKAGAWA,19:40,19:41
LK_33,7,ASAHIKAWA,19:55,
LK_35,1,SAPPORO,,19:00
LK_35,2,IWAMIZAWA,19:25,19:26
LK_35,3,BIBAI,19:35,19:36
LK_35,4,SUNAGAWA,19:47,19:48
LK_35,5,TAKIKAWA,19:57,19:58
LK_35,6,FUKAGAWA,20:10,20:11
LK_35,7,ASAHIKAWA,20:25,
LK_37,1,SAPPORO,,20:00
LK_37,2,IWAMIZAWA,20:25,20:26
LK_37,3,BIBAI,20:35,20:36
LK_37,4,SUNAGAWA,20:47,20:48
LK_37,5,TAKIKAWA,20:57,20:58
LK_37,6,FUKAGAWA,21:10,21:11
LK_37,7,ASAHIKAWA,21:25,
LK_39,1,SAPPORO,,21:00
LK_39,2,IWAMIZAWA,21:25,21:26
LK_39,3,BIBAI,21:35,21:36
LK_39,4,SUNAGAWA,21:47,21:48
LK_39,5,TAKIKAWA,21:57,21:58
LK_39,6,FUKAGAWA,22:10,22:11
LK_39,7,ASAHIKAWA,22:25,
LK_2,1,ASAHIKAWA,,06:00
LK_2,2,FUKAGAWA,06:15,06:16
LK_2,3,TAKIKAWA,06:28,06:29
LK_2,4,SUNAGAWA,06:38,06:39
LK_2,5,BIBAI,06:50,06:51
LK_2,6,IWAMIZAWA,07:00,07:01
LK_2,7,SAPPORO,07:25,
LK_4,1,ASAHIKAWA,,07:00
LK_4,2,FUKAGAWA,07:15,07:16
LK_4,3,TAKIKAWA,07:28,07:29
LK_4,4,SUNAGAWA,07:38,07:39
LK_4,5,BIBAI,07:50,07:51
LK_4,6,IWAMIZAWA,08:00,08:01
LK_4,7,SAPPORO,08:25,
LK_6,1,ASAHIKAWA,,07:30
LK_6,2,FUKAGAWA,07:45,07:46
LK_6,3,TAKIKAWA,07:58,07:59
LK_6,4,SUNAGAWA,08:08,08:09
LK_6,5,BIBAI,08:20,08:21
LK_6,6,IWAMIZAWA,08:30,08:31
LK_6,7,SAPPORO,08:55,
LK_8,1,ASAHIKAWA,,08:00
LK_8,2,FUKAGAWA,08:15,08:16
LK_8,3,TAKIKAWA,08:28,08:29
LK_8,4,SUNAGAWA,08:38,08:39
LK_8,5,BIBAI,08:50,08:51
LK_8,6,IWAMIZAWA,09:00,09:01
LK_8,7,SAPPORO,09:25,
LK_10,1,ASAHIKAWA,,08:30
LK_10,2,FUKAGAWA,08:45,08:46
LK_10,3,TAKIKAWA,08:58,08:59
LK_10,4,SUNAGAWA,09:08,09:09
LK_10,5,BIBAI,09:20,09:21
LK_10,6,IWAMIZAWA,09:30,09:31
LK_10,7,SAPPORO,09:55,
LK_12,1,ASAHIKAWA,,09:00
LK_12,2,FUKAGAWA,09:15,09:16
LK_12,3,TAKIKAWA,09:28,09:29
LK_12,4,SUNAGAWA,09:38,09:39
LK_12,5,BIBAI,09:50,09:51
LK_12,6,IWAMIZAWA,10:00,10:01
LK_12,7,SAPPORO,10:25,
LK_14,1,ASAHIKAWA,,10:00
LK_14,2,FUKAGAWA,10:15,10:16
LK_14,3,TAKIKAWA,10:28,10:29
LK_14,4,SUNAGAWA,10:38,10:39
LK_14,5,BIBAI,10:50,10:51
LK_14,6,IWAMIZAWA,11:00,11:01
LK_14,7,SAPPORO,11:25,
LK_16,1,ASAHIKAWA,,11:00
LK_16,2,FUKAGAWA,11:15,11:16
LK_16,3,TAKIKAWA,11:28,11:29
LK_16,4,SUNAGAWA,11:38,11:39
LK_16,5,BIBAI,11:50,11:51
LK_16,6,IWAMIZAWA,12:00,12:01
LK_16,7,SAPPORO,12:25,
LK_18,1,ASAHIKAWA,,12:00
LK_18,2,FUKAGAWA,12:15,12:16
LK_18,3,TAKIKAWA,12:28,12:29
LK_18,4,SUNAGAWA,12:38,12:39
LK_18,5,BIBAI,12:50,12:51
LK_18,6,IWAMIZAWA,13:00,13:01
LK_18,7,SAPPORO,13:25,
LK_20,1,ASAHIKAWA,,13:00
LK_20,2,FUKAGAWA,13:15,13:16
LK_20,3,TAKIKAWA,13:28,13:29
LK_20,4,SUNAGAWA,13:38,13:39
LK_20,5,BIBAI,13:50,13:51
LK_20,6,IWAMIZAWA,14:00,14:01
LK_20,7,SAPPORO,14:25,
LK_22,1,ASAHIKAWA,,14:00
LK_22,2,FUKAGAWA,14:15,14:16
LK_22,3,TAKIKAWA,14:28,14:29
LK_22,4,SUNAGAWA,14:38,14:39
LK_22,5,BIBAI,14:50,14:51
LK_22,6,IWAMIZAWA,15:00,15:01
LK_22,7,SAPPORO,15:25,
LK_24,1,ASAHIKAWA,,15:00
LK_24,2,FUKAGAWA,15:15,15:16
LK_24,3,TAKIKAWA,15:28,15:29
LK_24,4,SUNAGAWA,15:38,15:39
LK_24,5,BIBAI,15:50,15:51
LK_24,6,IWAMIZAWA,16:00,16:01
LK_24,7,SAPPORO,16:25,
LK_26,1,ASAHIKAWA,,16:00
LK_26,2,FUKAGAWA,16:15,16:16
LK_26,3,TAKIKAWA,16:28,16:29
LK_26,4,SUNAGAWA,16:38,16:39
LK_26,5,BIBAI,16:50,16:51
LK_26,6,IWAMIZAWA,17:00,17:01
LK_26,7,SAPPORO,17:25,
LK_28,1,ASAHIKAWA,,17:00
LK_28,2,FUKAGAWA,17:15,17:16
LK_28,3,TAKIKAWA,17:28,17:29
LK_28,4,SUNAGAWA,17:38,17:39
LK_28,5,BIBAI,17:50,17:51
LK_28,6,IWAMIZAWA,18:00,18:01
LK_28,7,SAPPORO,18:25,
LK_30,1,ASAHIKAWA,,17:30
LK_30,2,FUKAGAWA,17:45,17:46
LK_30,3,TAKIKAWA,17:58,17:59
LK_30,4,SUNAGAWA,18:08,18:09
LK_30,5,BIBAI,18:20,18:21
LK_30,6,IWAMIZAWA,18:30,18:31
LK_30,7,SAPPORO,18:55,
LK_32,1,ASAHIKAWA,,18:00
LK_32,2,FUKAGAWA,18:15,18:16
LK_32,3,TAKIKAWA,18:28,18:29
LK_32,4,SUNAGAWA,18:38,18:39
LK_32,5,BIBAI,18:50,18:51
LK_32,6,IWAMIZAWA,19:00,19:01
LK_32,7,SAPPORO,19:25,
LK_34,1,ASAHIKAWA,,18:30
LK_34,2,FUKAGAWA,18:45,18:46
LK_34,3,TAKIKAWA,18:58,18:59
LK_34,4,SUNAGAWA,19:08,19:09
LK_34,5,BIBAI,19:20,19:21
LK_34,6,IWAMIZAWA,19:30,19:31
LK_34,7,SAPPORO,19:55,
LK_36,1,ASAHIKAWA,,19:00
LK_36,2,FUKAGAWA,19:15,19:16
LK_36,3,TAKIKAWA,19:28,19:29
LK_36,4,SUNAGAWA,19:38,19:39
LK_36,5,BIBAI,19:50,19:51
LK_36,6,IWAMIZAWA,20:00,20:01
LK_36,7,SAPPORO,20:25,
LK_38,1,ASAHIKAWA,,20:00
LK_38,2,FUKAGAWA,20:15,20:16
LK_38,3,TAKIKAWA,20:28,20:29
LK_38,4,SUNAGAWA,20:38,20:39
LK_38,5,BIBAI,20:50,20:51
LK_38,6,IWAMIZAWA,21:00,21:01
LK_38,7,SAPPORO,21:25,
LK_40,1,ASAHIKAWA,,21:00
LK_40,2,FUKAGAWA,21:15,21:16
LK_40,3,TAKIKAWA,21:28,21:29
LK_40,4,SUNAGAWA,21:38,21:39
LK_40,5,BIBAI,21:50,21:51
LK_40,6,IWAMIZAWA,22:00,22:01
LK_40,7,SAPPORO,22:25,
