train_id,stop_order,station_id,arrival,departure
LINEAR_EXP_D_0600,1,SHINAGAWA,,06:00
LINEAR_EXP_D_0600,2,NAGOYA,06:40,
LINEAR_EXP_D_0615,1,SHINAGAWA,,06:15
LINEAR_EXP_D_0615,2,NAGOYA,06:55,
LINEAR_EXP_D_0630,1,SHINAGAWA,,06:30
LINEAR_EXP_D_0630,2,NAGOYA,07:10,
LINEAR_EXP_D_0645,1,SHINAGAWA,,06:45
LINEAR_EXP_D_0645,2,NAGOYA,07:25,
LINEAR_EXP_D_0700,1,SHINAGAWA,,07:00
LINEAR_EXP_D_0700,2,NAGOYA,07:40,
LINEAR_EXP_D_0715,1,SHINAGAWA,,07:15
LINEAR_EXP_D_0715,2,NAGOYA,07:55,
LINEAR_EXP_D_0730,1,SHINAGAWA,,07:30
LINEAR_EXP_D_0730,2,NAGOYA,08:10,
LINEAR_EXP_D_0745,1,SHINAGAWA,,07:45
LINEAR_EXP_D_0745,2,NAGOYA,08:25,
LINEAR_EXP_D_0800,1,SHINAGAWA,,08:00
LINEAR_EXP_D_0800,2,NAGOYA,08:40,
LINEAR_EXP_D_0815,1,SHINAGAWA,,08:15
LINEAR_EXP_D_0815,2,NAGOYA,08:55,
LINEAR_EXP_D_0830,1,SHINAGAWA,,08:30
LINEAR_EXP_D_0830,2,NAGOYA,09:10,
LINEAR_EXP_D_0845,1,SHINAGAWA,,08:45
LINEAR_EXP_D_0845,2,NAGOYA,09:25,
LINEAR_EXP_D_0900,1,SHINAGAWA,,09:00
LINEAR_EXP_D_0900,2,NAGOYA,09:40,
LINEAR_EXP_D_0915,1,SHINAGAWA,,09:15
LINEAR_EXP_D_0915,2,NAGOYA,09:55,
LINEAR_EXP_D_0930,1,SHINAGAWA,,09:30
LINEAR_EXP_D_0930,2,NAGOYA,10:10,
LINEAR_EXP_D_0945,1,SHINAGAWA,,09:45
LINEAR_EXP_D_0945,2,NAGOYA,10:25,
LINEAR_EXP_D_1000,1,SHINAGAWA,,10:00
LINEAR_EXP_D_1000,2,NAGOYA,10:40,
LINEAR_EXP_D_1015,1,SHINAGAWA,,10:15
LINEAR_EXP_D_1015,2,NAGOYA,10:55,
LINEAR_EXP_D_1030,1,SHINAGAWA,,10:30
LINEAR_EXP_D_1030,2,NAGOYA,11:10,
LINEAR_EXP_D_1045,1,SHINAGAWA,,10:45
LINEAR_EXP_D_1045,2,NAGOYA,11:25,
LINEAR_EXP_D_1100,1,SHINAGAWA,,11:00
LINEAR_EXP_D_1100,2,NAGOYA,11:40,
LINEAR_EXP_D_1115,1,SHINAGAWA,,11:15
LINEAR_EXP_D_1115,2,NAGOYA,11:55,
LINEAR_EXP_D_1130,1,SHINAGAWA,,11:30
LINEAR_EXP_D_1130,2,NAGOYA,12:10,
LINEAR_EXP_D_1145,1,SHINAGAWA,,11:45
LINEAR_EXP_D_1145,2,NAGOYA,12:25,
LINEAR_EXP_D_1200,1,SHINAGAWA,,12:00
LINEAR_EXP_D_1200,2,NAGOYA,12:40,
LINEAR_EXP_D_1215,1,SHINAGAWA,,12:15
LINEAR_EXP_D_1215,2,NAGOYA,12:55,
LINEAR_EXP_D_1230,1,SHINAGAWA,,12:30
LINEAR_EXP_D_1230,2,NAGOYA,13:10,
LINEAR_EXP_D_1245,1,SHINAGAWA,,12:45
LINEAR_EXP_D_1245,2,NAGOYA,13:25,
LINEAR_EXP_D_1300,1,SHINAGAWA,,13:00
LINEAR_EXP_D_1300,2,NAGOYA,13:40,
LINEAR_EXP_D_1315,1,SHINAGAWA,,13:15
LINEAR_EXP_D_1315,2,NAGOYA,13:55,
LINEAR_EXP_D_1330,1,SHINAGAWA,,13:30
LINEAR_EXP_D_1330,2,NAGOYA,14:10,
LINEAR_EXP_D_1345,1,SHINAGAWA,,13:45
LINEAR_EXP_D_1345,2,NAGOYA,14:25,
LINEAR_EXP_D_1400,1,SHINAGAWA,,14:00
LINEAR_EXP_D_1400,2,NAGOYA,14:40,
LINEAR_EXP_D_1415,1,SHINAGAWA,,14:15
LINEAR_EXP_D_1415,2,NAGOYA,14:55,
LINEAR_EXP_D_1430,1,SHINAGAWA,,14:30
LINEAR_EXP_D_1430,2,NAGOYA,15:10,
LINEAR_EXP_D_1445,1,SHINAGAWA,,14:45
LINEAR_EXP_D_1445,2,NAGOYA,15:25,
LINEAR_EXP_D_1500,1,SHINAGAWA,,15:00
LINEAR_EXP_D_1500,2,NAGOYA,15:40,
LINEAR_EXP_D_1515,1,SHINAGAWA,,15:15
LINEAR_EXP_D_1515,2,NAGOYA,15:55,
LINEAR_EXP_D_1530,1,SHINAGAWA,,15:30
LINEAR_EXP_D_1530,2,NAGOYA,16:10,
LINEAR_EXP_D_1545,1,SHINAGAWA,,15:45
LINEAR_EXP_D_1545,2,NAGOYA,16:25,
LINEAR_EXP_D_1600,1,SHINAGAWA,,16:00
LINEAR_EXP_D_1600,2,NAGOYA,16:40,
LINEAR_EXP_D_1615,1,SHINAGAWA,,16:15
LINEAR_EXP_D_1615,2,NAGOYA,16:55,
LINEAR_EXP_D_1630,1,SHINAGAWA,,16:30
LINEAR_EXP_D_1630,2,NAGOYA,17:10,
LINEAR_EXP_D_1645,1,SHINAGAWA,,16:45
LINEAR_EXP_D_1645,2,NAGOYA,17:25,
LINEAR_EXP_D_1700,1,SHINAGAWA,,17:00
LINEAR_EXP_D_1700,2,NAGOYA,17:40,
LINEAR_EXP_D_1715,1,SHINAGAWA,,17:15
LINEAR_EXP_D_1715,2,NAGOYA,17:55,
LINEAR_EXP_D_1730,1,SHINAGAWA,,17:30
LINEAR_EXP_D_1730,2,NAGOYA,18:10,
LINEAR_EXP_D_1745,1,SHINAGAWA,,17:45
LINEAR_EXP_D_1745,2,NAGOYA,18:25,
LINEAR_EXP_D_1800,1,SHINAGAWA,,18:00
LINEAR_EXP_D_1800,2,NAGOYA,18:40,
LINEAR_EXP_D_1815,1,SHINAGAWA,,18:15
LINEAR_EXP_D_1815,2,NAGOYA,18:55,
LINEAR_EXP_D_1830,1,SHINAGAWA,,18:30
LINEAR_EXP_D_1830,2,NAGOYA,19:10,
LINEAR_EXP_D_1845,1,SHINAGAWA,,18:45
LINEAR_EXP_D_1845,2,NAGOYA,19:25,
LINEAR_EXP_D_1900,1,SHINAGAWA,,19:00
LINEAR_EXP_D_1900,2,NAGOYA,19:40,
LINEAR_EXP_D_1915,1,SHINAGAWA,,19:15
LINEAR_EXP_D_1915,2,NAGOYA,19:55,
LINEAR_EXP_D_1930,1,SHINAGAWA,,19:30
LINEAR_EXP_D_1930,2,NAGOYA,20:10,
LINEAR_EXP_D_1945,1,SHINAGAWA,,19:45
LINEAR_EXP_D_1945,2,NAGOYA,20:25,
LINEAR_EXP_D_2000,1,SHINAGAWA,,20:00
LINEAR_EXP_D_2000,2,NAGOYA,20:40,
LINEAR_EXP_D_2015,1,SHINAGAWA,,20:15
LINEAR_EXP_D_2015,2,NAGOYA,20:55,
LINEAR_EXP_D_2030,1,SHINAGAWA,,20:30
LINEAR_EXP_D_2030,2,NAGOYA,21:10,
LINEAR_EXP_D_2045,1,SHINAGAWA,,20:45
LINEAR_EXP_D_2045,2,NAGOYA,21:25,
LINEAR_EXP_D_2100,1,SHINAGAWA,,21:00
LINEAR_EXP_D_2100,2,NAGOYA,21:40,
LINEAR_EXP_D_2115,1,SHINAGAWA,,21:15
LINEAR_EXP_D_2115,2,NAGOYA,21:55,
LINEAR_EXP_D_2130,1,SHINAGAWA,,21:30
LINEAR_EXP_D_2130,2,NAGOYA,22:10,
LINEAR_EXP_D_2145,1,SHINAGAWA,,21:45
LINEAR_EXP_D_2145,2,NAGOYA,22:25,
LINEAR_EXP_D_2200,1,SHINAGAWA,,22:00
LINEAR_EXP_D_2200,2,NAGOYA,22:40,
LINEAR_EXP_D_2215,1,SHINAGAWA,,22:15
LINEAR_EXP_D_2215,2,NAGOYA,22:55,
LINEAR_EXP_D_2230,1,SHINAGAWA,,22:30
LINEAR_EXP_D_2230,2,NAGOYA,23:10,
LINEAR_EXP_D_2245,1,SHINAGAWA,,22:45
LINEAR_EXP_D_2245,2,NAGOYA,23:25,
LINEAR_LOC_D_0608,1,SHINAGAWA,,06:08
LINEAR_LOC_D_0608,2,LINEAR_KANAGAWA,06:16,06:22
LINEAR_LOC_D_0608,3,LINEAR_YAMANASHI,06:35,06:37
LINEAR_LOC_D_0608,4,LINEAR_NAGANO,06:50,06:57
LINEAR_LOC_D_0608,5,LINEAR_GIFU,07:06,07:08
LINEAR_LOC_D_0608,6,NAGOYA,07:20,
LINEAR_LOC_D_0708,1,SHINAGAWA,,07:08
LINEAR_LOC_D_0708,2,LINEAR_KANAGAWA,07:16,07:22
LINEAR_LOC_D_0708,3,LINEAR_YAMANASHI,07:35,07:37
LINEAR_LOC_D_0708,4,LINEAR_NAGANO,07:50,07:57
LINEAR_LOC_D_0708,5,LINEAR_GIFU,08:06,08:08
