train_id,name,direction
LINEAR_EXP_D_0600,リニア速達（想定）06:00発 名古屋行き,down
LINEAR_EXP_D_0615,リニア速達（想定）06:15発 名古屋行き,down
LINEAR_EXP_D_0630,リニア速達（想定）06:30発 名古屋行き,down
LINEAR_EXP_D_0645,リニア速達（想定）06:45発 名古屋行き,down
LINEAR_EXP_D_0700,リニア速達（想定）07:00発 名古屋行き,down
LINEAR_EXP_D_0715,リニア速達（想定）07:15発 名古屋行き,down
LINEAR_EXP_D_0730,リニア速達（想定）07:30発 名古屋行き,down
LINEAR_EXP_D_0745,リニア速達（想定）07:45発 名古屋行き,down
LINEAR_EXP_D_0800,リニア速達（想定）08:00発 名古屋行き,down
LINEAR_EXP_D_0815,リニア速達（想定）08:15発 名古屋行き,down
LINEAR_EXP_D_0830,リニア速達（想定）08:30発 名古屋行き,down
LINEAR_EXP_D_0845,リニア速達（想定）08:45発 名古屋行き,down
LINEAR_EXP_D_0900,リニア速達（想定）09:00発 名古屋行き,down
LINEAR_EXP_D_0915,リニア速達（想定）09:15発 名古屋行き,down
LINEAR_EXP_D_0930,リニア速達（想定）09:30発 名古屋行き,down
LINEAR_EXP_D_0945,リニア速達（想定）09:45発 名古屋行き,down
LINEAR_EXP_D_1000,リニア速達（想定）10:00発 名古屋行き,down
LINEAR_EXP_D_1015,リニア速達（想定）10:15発 名古屋行き,down
LINEAR_EXP_D_1030,リニア速達（想定）10:30発 名古屋行き,down
LINEAR_EXP_D_1045,リニア速達（想定）10:45発 名古屋行き,down
LINEAR_EXP_D_1100,リニア速達（想定）11:00発 名古屋行き,down
LINEAR_EXP_D_1115,リニア速達（想定）11:15発 名古屋行き,down
LINEAR_EXP_D_1130,リニア速達（想定）11:30発 名古屋行き,down
LINEAR_EXP_D_1145,リニア速達（想定）11:45発 名古屋行き,down
LINEAR_EXP_D_1200,リニア速達（想定）12:00発 名古屋行き,down
LINEAR_EXP_D_1215,リニア速達（想定）12:15発 名古屋行き,down
LINEAR_EXP_D_1230,リニア速達（想定）12:30発 名古屋行き,down
LINEAR_EXP_D_1245,リニア速達（想定）12:45発 名古屋行き,down
LINEAR_EXP_D_1300,リニア速達（想定）13:00発 名古屋行き,down
LINEAR_EXP_D_1315,リニア速達（想定）13:15発 名古屋行き,down
