train_id,stop_order,station_id,arrival,departure
MAIZURU_1,1,KYOTO,,07:08
MAIZURU_1,2,SONOBE,07:43,07:44
MAIZURU_1,3,AYABE,08:16,08:17
MAIZURU_1,4,NISHI_MAIZURU,08:33,08:34
MAIZURU_1,5,HIGASHI_MAIZURU,08:43,
MAIZURU_3,1,KYOTO,,09:08
MAIZURU_3,2,SONOBE,09:43,09:44
MAIZURU_3,3,AYABE,10:16,10:17
MAIZURU_3,4,NISHI_MAIZURU,10:33,10:34
MAIZURU_3,5,HIGASHI_MAIZURU,10:43,
MAIZURU_5,1,KYOTO,,11:08
MAIZURU_5,2,SONOBE,11:43,11:44
MAIZURU_5,3,AYABE,12:16,12:17
MAIZURU_5,4,NISHI_MAIZURU,12:33,12:34
MAIZURU_5,5,HIGASHI_MAIZURU,12:43,
MAIZURU_7,1,KYOTO,,13:08
MAIZURU_7,2,SONOBE,13:43,13:44
MAIZURU_7,3,AYABE,14:16,14:17
MAIZURU_7,4,NISHI_MAIZURU,14:33,14:34
MAIZURU_7,5,HIGASHI_MAIZURU,14:43,
MAIZURU_9,1,KYOTO,,17:08
MAIZURU_9,2,SONOBE,17:43,17:44
MAIZURU_9,3,AYABE,18:16,18:17
MAIZURU_9,4,NISHI_MAIZURU,18:33,18:34
MAIZURU_9,5,HIGASHI_MAIZURU,18:43,
MAIZURU_11,1,KYOTO,,19:08
MAIZURU_11,2,SONOBE,19:43,19:44
MAIZURU_11,3,AYABE,20:16,20:17
MAIZURU_11,4,NISHI_MAIZURU,20:33,20:34
MAIZURU_11,5,HIGASHI_MAIZURU,20:43,
MAIZURU_2,1,HIGASHI_MAIZURU,,06:30
MAIZURU_2,2,NISHI_MAIZURU,06:40,06:41
MAIZURU_2,3,AYABE,06:56,06:57
MAIZURU_2,4,SONOBE,07:30,07:31
MAIZURU_2,5,KYOTO,08:05,
MAIZURU_4,1,HIGASHI_MAIZURU,,08:30
MAIZURU_4,2,NISHI_MAIZURU,08:40,08:41
MAIZURU_4,3,AYABE,08:56,08:57
MAIZURU_4,4,SONOBE,09:30,09:31
MAIZURU_4,5,KYOTO,10:05,
MAIZURU_6,1,HIGASHI_MAIZURU,,12:30
MAIZURU_6,2,NISHI_MAIZURU,12:40,12:41
MAIZURU_6,3,AYABE,12:56,12:57
MAIZURU_6,4,SONOBE,13:30,13:31
MAIZURU_6,5,KYOTO,14:05,
MAIZURU_8,1,HIGASHI_MAIZURU,,14:30
MAIZURU_8,2,NISHI_MAIZURU,14:40,14:41
MAIZURU_8,3,AYABE,14:56,14:57
MAIZURU_8,4,SONOBE,15:30,15:31
MAIZURU_8,5,KYOTO,16:05,
MAIZURU_10,1,HIGASHI_MAIZURU,,16:30
MAIZURU_10,2,NISHI_MAIZURU,16:40,16:41
MAIZURU_10,3,AYABE,16:56,16:57
MAIZURU_10,4,SONOBE,17:30,17:31
MAIZURU_10,5,KYOTO,18:05,
MAIZURU_12,1,HIGASHI_MAIZURU,,18:30
MAIZURU_12,2,NISHI_MAIZURU,18:40,18:41
MAIZURU_12,3,AYABE,18:56,18:57
MAIZURU_12,4,SONOBE,19:30,19:31
MAIZURU_12,5,KYOTO,20:05,
