train_id,stop_order,station_id,arrival,departure
MZ_1,1,KYOTO,,07:00
MZ_1,2,SONOBE,07:30,07:31
MZ_1,3,AYABE,08:00,08:01
MZ_1,4,NISHI_MAIZURU,08:25,08:26
MZ_1,5,HIGASHI_MAIZURU,08:35,
MZ_3,1,KYOTO,,09:00
MZ_3,2,SONOBE,09:30,09:31
MZ_3,3,AYABE,10:00,10:01
MZ_3,4,NISHI_MAIZURU,10:25,10:26
MZ_3,5,HIGASHI_MAIZURU,10:35,
MZ_5,1,KYOTO,,13:00
MZ_5,2,SONOBE,13:30,13:31
MZ_5,3,AYABE,14:00,14:01
MZ_5,4,NISHI_MAIZURU,14:25,14:26
MZ_5,5,HIGASHI_MAIZURU,14:35,
MZ_7,1,KYOTO,,16:00
MZ_7,2,SONOBE,16:30,16:31
MZ_7,3,AYABE,17:00,17:01
MZ_7,4,NISHI_MAIZURU,17:25,17:26
MZ_7,5,HIGASHI_MAIZURU,17:35,
MZ_9,1,KYOTO,,19:00
MZ_9,2,SONOBE,19:30,19:31
MZ_9,3,AYABE,20:00,20:01
MZ_9,4,NISHI_MAIZURU,20:25,20:26
MZ_9,5,HIGASHI_MAIZURU,20:35,
MZ_2,1,HIGASHI_MAIZURU,,06:00
MZ_2,2,NISHI_MAIZURU,06:09,06:10
MZ_2,3,AYABE,06:34,06:35
MZ_2,4,SONOBE,07:04,07:05
MZ_2,5,KYOTO,07:35,
MZ_4,1,HIGASHI_MAIZURU,,10:00
MZ_4,2,NISHI_MAIZURU,10:09,10:10
MZ_4,3,AYABE,10:34,10:35
MZ_4,4,SONOBE,11:04,11:05
MZ_4,5,KYOTO,11:35,
MZ_6,1,HIGASHI_MAIZURU,,12:00
MZ_6,2,NISHI_MAIZURU,12:09,12:10
MZ_6,3,AYABE,12:34,12:35
MZ_6,4,SONOBE,13:04,13:05
MZ_6,5,KYOTO,13:35,
MZ_8,1,HIGASHI_MAIZURU,,15:00
MZ_8,2,NISHI_MAIZURU,15:09,15:10
MZ_8,3,AYABE,15:34,15:35
MZ_8,4,SONOBE,16:04,16:05
MZ_8,5,KYOTO,16:35,
MZ_10,1,HIGASHI_MAIZURU,,18:00
MZ_10,2,NISHI_MAIZURU,18:09,18:10
MZ_10,3,AYABE,18:34,18:35
MZ_10,4,SONOBE,19:04,19:05
MZ_10,5,KYOTO,19:35,
