train_id,stop_order,station_id,arrival,departure
MIDORI_1,1,HAKATA,,06:10
MIDORI_1,2,TOSU,06:40,06:41
MIDORI_1,3,SAGA,07:00,07:01
MIDORI_1,4,KOGI,07:25,07:26
MIDORI_1,5,SASEBO,08:00,
MIDORI_3,1,HAKATA,,07:10
MIDORI_3,2,TOSU,07:40,07:41
MIDORI_3,3,SAGA,08:00,08:01
MIDORI_3,4,KOGI,08:25,08:26
MIDORI_3,5,SASEBO,09:00,
MIDORI_5,1,HAKATA,,08:10
MIDORI_5,2,TOSU,08:40,08:41
MIDORI_5,3,SAGA,09:00,09:01
MIDORI_5,4,KOGI,09:25,09:26
MIDORI_5,5,SASEBO,10:00,
MIDORI_7,1,HAKATA,,09:10
MIDORI_7,2,TOSU,09:40,09:41
MIDORI_7,3,SAGA,10:00,10:01
MIDORI_7,4,KOGI,10:25,10:26
MIDORI_7,5,SASEBO,11:00,
MIDORI_9,1,HAKATA,,10:10
MIDORI_9,2,TOSU,10:40,10:41
MIDORI_9,3,SAGA,11:00,11:01
MIDORI_9,4,KOGI,11:25,11:26
MIDORI_9,5,SASEBO,12:00,
MIDORI_11,1,HAKATA,,11:10
MIDORI_11,2,TOSU,11:40,11:41
MIDORI_11,3,SAGA,12:00,12:01
MIDORI_11,4,KOGI,12:25,12:26
MIDORI_11,5,SASEBO,13:00,
MIDORI_13,1,HAKATA,,12:10
MIDORI_13,2,TOSU,12:40,12:41
MIDORI_13,3,SAGA,13:00,13:01
MIDORI_13,4,KOGI,13:25,13:26
MIDORI_13,5,SASEBO,14:00,
MIDORI_15,1,HAKATA,,13:10
MIDORI_15,2,TOSU,13:40,13:41
MIDORI_15,3,SAGA,14:00,14:01
MIDORI_15,4,KOGI,14:25,14:26
MIDORI_15,5,SASEBO,15:00,
MIDORI_17,1,HAKATA,,14:10
MIDORI_17,2,TOSU,14:40,14:41
MIDORI_17,3,SAGA,15:00,15:01
MIDORI_17,4,KOGI,15:25,15:26
MIDORI_17,5,SASEBO,16:00,
MIDORI_19,1,HAKATA,,15:10
MIDORI_19,2,TOSU,15:40,15:41
MIDORI_19,3,SAGA,16:00,16:01
MIDORI_19,4,KOGI,16:25,16:26
MIDORI_19,5,SASEBO,17:00,
MIDORI_21,1,HAKATA,,16:10
MIDORI_21,2,TOSU,16:40,16:41
MIDORI_21,3,SAGA,17:00,17:01
MIDORI_21,4,KOGI,17:25,17:26
MIDORI_21,5,SASEBO,18:00,
MIDORI_23,1,HAKATA,,17:10
MIDORI_23,2,TOSU,17:40,17:41
MIDORI_23,3,SAGA,18:00,18:01
MIDORI_23,4,KOGI,18:25,18:26
MIDORI_23,5,SASEBO,19:00,
MIDORI_25,1,HAKATA,,18:10
MIDORI_25,2,TOSU,18:40,18:41
MIDORI_25,3,SAGA,19:00,19:01
MIDORI_25,4,KOGI,19:25,19:26
MIDORI_25,5,SASEBO,20:00,
MIDORI_27,1,HAKATA,,19:10
MIDORI_27,2,TOSU,19:40,19:41
MIDORI_27,3,SAGA,20:00,20:01
MIDORI_27,4,KOGI,20:25,20:26
MIDORI_27,5,SASEBO,21:00,
MIDORI_29,1,HAKATA,,20:10
MIDORI_29,2,TOSU,20:40,20:41
MIDORI_29,3,SAGA,21:00,21:01
MIDORI_29,4,KOGI,21:25,21:26
MIDORI_29,5,SASEBO,22:00,
MIDORI_31,1,HAKATA,,21:10
MIDORI_31,2,TOSU,21:40,21:41
MIDORI_31,3,SAGA,22:00,22:01
MIDORI_31,4,KOGI,22:25,22:26
MIDORI_31,5,SASEBO,23:00,
MIDORI_2,1,SASEBO,,06:40
MIDORI_2,2,KOGI,07:14,07:15
MIDORI_2,3,SAGA,07:39,07:40
MIDORI_2,4,TOSU,07:59,08:00
MIDORI_2,5,HAKATA,08:30,
MIDORI_4,1,SASEBO,,07:40
MIDORI_4,2,KOGI,08:14,08:15
MIDORI_4,3,SAGA,08:39,08:40
