train_id,name,direction
MIDORI_1,みどり1,down
MIDORI_3,みどり3,down
MIDORI_5,みどり5,down
MIDORI_7,みどり7,down
MIDORI_9,みどり9,down
MIDORI_11,みどり11,down
MIDORI_13,みどり13,down
MIDORI_15,みどり15,down
MIDORI_17,みどり17,down
MIDORI_19,みどり19,down
MIDORI_21,みどり21,down
MIDORI_23,みどり23,down
MIDORI_25,みどり25,down
MIDORI_27,みどり27,down
MIDORI_29,みどり29,down
MIDORI_31,みどり31,down
MIDORI_2,みどり2,up
MIDORI_4,みどり4,up
MIDORI_6,みどり6,up
MIDORI_8,みどり8,up
MIDORI_10,みどり10,up
MIDORI_12,みどり12,up
MIDORI_14,みどり14,up
MIDORI_16,みどり16,up
MIDORI_18,みどり18,up
MIDORI_20,みどり20,up
MIDORI_22,みどり22,up
MIDORI_24,みどり24,up
MIDORI_26,みどり26,up
MIDORI_28,みどり28,up
MIDORI_30,みどり30,up
MIDORI_32,みどり32,up
