train_id,stop_order,station_id,arrival,departure
MD_1,1,HAKATA,,07:00
MD_1,2,TOSU,07:25,07:26
MD_1,3,SAGA,07:45,07:46
MD_1,4,KOGI,08:00,08:01
MD_1,5,SASEBO,08:50,
MD_3,1,HAKATA,,08:30
MD_3,2,TOSU,08:55,08:56
MD_3,3,SAGA,09:15,09:16
MD_3,4,KOGI,09:30,09:31
MD_3,5,SASEBO,10:20,
MD_5,1,HAKATA,,10:00
MD_5,2,TOSU,10:25,10:26
MD_5,3,SAGA,10:45,10:46
MD_5,4,KOGI,11:00,11:01
MD_5,5,SASEBO,11:50,
MD_7,1,HAKATA,,11:30
MD_7,2,TOSU,11:55,11:56
MD_7,3,SAGA,12:15,12:16
MD_7,4,KOGI,12:30,12:31
MD_7,5,SASEBO,13:20,
MD_9,1,HAKATA,,13:00
MD_9,2,TOSU,13:25,13:26
MD_9,3,SAGA,13:45,13:46
MD_9,4,KOGI,14:00,14:01
MD_9,5,SASEBO,14:50,
MD_11,1,HAKATA,,14:30
MD_11,2,TOSU,14:55,14:56
MD_11,3,SAGA,15:15,15:16
MD_11,4,KOGI,15:30,15:31
MD_11,5,SASEBO,16:20,
MD_13,1,HAKATA,,16:00
MD_13,2,TOSU,16:25,16:26
MD_13,3,SAGA,16:45,16:46
MD_13,4,KOGI,17:00,17:01
MD_13,5,SASEBO,17:50,
MD_15,1,HAKATA,,17:30
MD_15,2,TOSU,17:55,17:56
MD_15,3,SAGA,18:15,18:16
MD_15,4,KOGI,18:30,18:31
MD_15,5,SASEBO,19:20,
MD_17,1,HAKATA,,19:00
MD_17,2,TOSU,19:25,19:26
MD_17,3,SAGA,19:45,19:46
MD_17,4,KOGI,20:00,20:01
MD_17,5,SASEBO,20:50,
MD_19,1,HAKATA,,20:30
MD_19,2,TOSU,20:55,20:56
MD_19,3,SAGA,21:15,21:16
MD_19,4,KOGI,21:30,21:31
MD_19,5,SASEBO,22:20,
MD_2,1,SASEBO,,06:30
MD_2,2,KOGI,07:19,07:20
MD_2,3,SAGA,07:34,07:35
MD_2,4,TOSU,07:54,07:55
MD_2,5,HAKATA,08:20,
MD_4,1,SASEBO,,08:00
MD_4,2,KOGI,08:49,08:50
MD_4,3,SAGA,09:04,09:05
MD_4,4,TOSU,09:24,09:25
MD_4,5,HAKATA,09:50,
MD_6,1,SASEBO,,09:30
MD_6,2,KOGI,10:19,10:20
MD_6,3,SAGA,10:34,10:35
MD_6,4,TOSU,10:54,10:55
MD_6,5,HAKATA,11:20,
MD_8,1,SASEBO,,11:00
MD_8,2,KOGI,11:49,11:50
MD_8,3,SAGA,12:04,12:05
MD_8,4,TOSU,12:24,12:25
MD_8,5,HAKATA,12:50,
MD_10,1,SASEBO,,12:30
MD_10,2,KOGI,13:19,13:20
MD_10,3,SAGA,13:34,13:35
MD_10,4,TOSU,13:54,13:55
MD_10,5,HAKATA,14:20,
MD_12,1,SASEBO,,14:00
MD_12,2,KOGI,14:49,14:50
MD_12,3,SAGA,15:04,15:05
MD_12,4,TOSU,15:24,15:25
MD_12,5,HAKATA,15:50,
MD_14,1,SASEBO,,15:30
MD_14,2,KOGI,16:19,16:20
MD_14,3,SAGA,16:34,16:35
MD_14,4,TOSU,16:54,16:55
MD_14,5,HAKATA,17:20,
MD_16,1,SASEBO,,17:00
MD_16,2,KOGI,17:49,17:50
MD_16,3,SAGA,18:04,18:05
MD_16,4,TOSU,18:24,18:25
MD_16,5,HAKATA,18:50,
MD_18,1,SASEBO,,18:30
MD_18,2,KOGI,19:19,19:20
MD_18,3,SAGA,19:34,19:35
MD_18,4,TOSU,19:54,19:55
MD_18,5,HAKATA,20:20,
MD_20,1,SASEBO,,20:00
MD_20,2,KOGI,20:49,20:50
MD_20,3,SAGA,21:04,21:05
MD_20,4,TOSU,21:24,21:25
MD_20,5,HAKATA,21:50,
