train_id,stop_order,station_id,arrival,departure
MU_SKY_1,1,MEITETSU_GIFU,,07:30
MU_SKY_1,2,MEITETSU_ICHINOMIYA,07:39,07:40
MU_SKY_1,3,MEITETSU_NAGOYA,07:53,07:54
MU_SKY_1,4,KANAYAMA,07:58,07:59
MU_SKY_1,5,JINGUMAE,08:02,08:03
MU_SKY_1,6,CENTRAIR,08:35,
MU_SKY_3,1,MEITETSU_GIFU,,08:00
MU_SKY_3,2,MEITETSU_ICHINOMIYA,08:09,08:10
MU_SKY_3,3,MEITETSU_NAGOYA,08:23,08:24
MU_SKY_3,4,KANAYAMA,08:28,08:29
MU_SKY_3,5,JINGUMAE,08:32,08:33
MU_SKY_3,6,CENTRAIR,09:05,
MU_SKY_5,1,MEITETSU_GIFU,,08:30
MU_SKY_5,2,MEITETSU_ICHINOMIYA,08:39,08:40
MU_SKY_5,3,MEITETSU_NAGOYA,08:53,08:54
MU_SKY_5,4,KANAYAMA,08:58,08:59
MU_SKY_5,5,JINGUMAE,09:02,09:03
MU_SKY_5,6,CENTRAIR,09:35,
MU_SKY_7,1,MEITETSU_GIFU,,09:00
MU_SKY_7,2,MEITETSU_ICHINOMIYA,09:09,09:10
MU_SKY_7,3,MEITETSU_NAGOYA,09:23,09:24
MU_SKY_7,4,KANAYAMA,09:28,09:29
MU_SKY_7,5,JINGUMAE,09:32,09:33
MU_SKY_7,6,CENTRAIR,10:05,
MU_SKY_9,1,MEITETSU_GIFU,,09:30
MU_SKY_9,2,MEITETSU_ICHINOMIYA,09:39,09:40
MU_SKY_9,3,MEITETSU_NAGOYA,09:53,09:54
MU_SKY_9,4,KANAYAMA,09:58,09:59
MU_SKY_9,5,JINGUMAE,10:02,10:03
MU_SKY_9,6,CENTRAIR,10:35,
MU_SKY_11,1,MEITETSU_GIFU,,10:00
MU_SKY_11,2,MEITETSU_ICHINOMIYA,10:09,10:10
MU_SKY_11,3,MEITETSU_NAGOYA,10:23,10:24
MU_SKY_11,4,KANAYAMA,10:28,10:29
MU_SKY_11,5,JINGUMAE,10:32,10:33
MU_SKY_11,6,CENTRAIR,11:05,
MU_SKY_13,1,MEITETSU_GIFU,,10:30
MU_SKY_13,2,MEITETSU_ICHINOMIYA,10:39,10:40
MU_SKY_13,3,MEITETSU_NAGOYA,10:53,10:54
MU_SKY_13,4,KANAYAMA,10:58,10:59
MU_SKY_13,5,JINGUMAE,11:02,11:03
MU_SKY_13,6,CENTRAIR,11:35,
MU_SKY_15,1,MEITETSU_GIFU,,11:00
MU_SKY_15,2,MEITETSU_ICHINOMIYA,11:09,11:10
MU_SKY_15,3,MEITETSU_NAGOYA,11:23,11:24
MU_SKY_15,4,KANAYAMA,11:28,11:29
MU_SKY_15,5,JINGUMAE,11:32,11:33
MU_SKY_15,6,CENTRAIR,12:05,
MU_SKY_17,1,MEITETSU_GIFU,,11:30
MU_SKY_17,2,MEITETSU_ICHINOMIYA,11:39,11:40
MU_SKY_17,3,MEITETSU_NAGOYA,11:53,11:54
MU_SKY_17,4,KANAYAMA,11:58,11:59
MU_SKY_17,5,JINGUMAE,12:02,12:03
MU_SKY_17,6,CENTRAIR,12:35,
MU_SKY_19,1,MEITETSU_GIFU,,12:00
MU_SKY_19,2,MEITETSU_ICHINOMIYA,12:09,12:10
MU_SKY_19,3,MEITETSU_NAGOYA,12:23,12:24
MU_SKY_19,4,KANAYAMA,12:28,12:29
MU_SKY_19,5,JINGUMAE,12:32,12:33
MU_SKY_19,6,CENTRAIR,13:05,
MU_SKY_21,1,MEITETSU_GIFU,,12:30
MU_SKY_21,2,MEITETSU_ICHINOMIYA,12:39,12:40
MU_SKY_21,3,MEITETSU_NAGOYA,12:53,12:54
MU_SKY_21,4,KANAYAMA,12:58,12:59
MU_SKY_21,5,JINGUMAE,13:02,13:03
MU_SKY_21,6,CENTRAIR,13:35,
MU_SKY_23,1,MEITETSU_GIFU,,13:00
MU_SKY_23,2,MEITETSU_ICHINOMIYA,13:09,13:10
MU_SKY_23,3,MEITETSU_NAGOYA,13:23,13:24
MU_SKY_23,4,KANAYAMA,13:28,13:29
MU_SKY_23,5,JINGUMAE,13:32,13:33
MU_SKY_23,6,CENTRAIR,14:05,
